ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,def_int,def_int_yds,def_int_td
1,1970,1970-09-19,1,24.075,NYG,,CHI,L 16-24,,,,,,,,,,
2,1970,1970-09-27,2,24.083,NYG,@,DAL,L 10-28,,,,,,,,,,
3,1970,1970-10-04,3,24.090,NYG,@,NOR,L 10-14,,,,,,,,,,
4,1970,1970-10-11,4,24.097,NYG,,PHI,W 30-23,,,,,,,,,,
5,1970,1970-10-18,5,24.104,NYG,@,BOS,W 16-0,,,,,,,,,,
6,1970,1970-10-25,6,24.111,NYG,,STL,W 35-17,,,,,,,,,,
7,1970,1970-11-01,7,24.118,NYG,@,NYJ,W 22-10,,,,,,,,,,
8,1970,1970-11-08,8,24.125,NYG,,DAL,W 23-20,,,,,,,,,,
9,1970,1970-11-15,9,24.132,NYG,,WAS,W 35-33,,,,,,,,,,
10,1970,1970-11-23,10,24.140,NYG,@,PHI,L 20-23,,,,,,,,,,
11,1970,1970-11-29,11,24.146,NYG,@,WAS,W 27-24,,,,,,,,,,
12,1970,1970-12-06,12,24.153,NYG,,BUF,W 20-6,,,,,,,,,,
13,1970,1970-12-13,13,24.160,NYG,@,STL,W 34-17,,,,,,,,,,
14,1970,1970-12-20,14,24.167,NYG,,RAM,L 3-31,,,,,,,,,,
15,1971,1971-09-19,1,25.075,NYG,@,GNB,W 42-40,,,,,,,,,,
16,1971,1971-09-26,2,25.082,NYG,,WAS,L 3-30,1,0,0.00,0,,0,0,0,0,0
17,1971,1971-10-03,3,25.089,NYG,@,STL,W 21-20,,,,,,,,,,
18,1971,1971-10-11,4,25.097,NYG,@,DAL,L 13-20,,,,,,,,,,
19,1971,1971-10-17,5,25.103,NYG,,BAL,L 7-31,,,,,,,,,,
20,1971,1971-10-24,6,25.110,NYG,@,PHI,L 7-23,,,,,,,,,,
21,1971,1971-10-31,7,25.117,NYG,,MIN,L 10-17,,,,,,,,,,
22,1971,1971-11-07,8,25.124,NYG,,SDG,W 35-17,,,,,,,,,,
23,1971,1971-11-14,9,25.131,NYG,@,ATL,W 21-17,,,,,,,,,,
24,1971,1971-11-21,10,25.138,NYG,@,PIT,L 13-17,,,,,,,,,,
25,1971,1971-11-28,11,25.145,NYG,,STL,L 7-24,,,,,,,,,,
26,1971,1971-12-05,12,25.152,NYG,@,WAS,L 7-23,,,,,,,,,,
27,1971,1971-12-12,13,25.159,NYG,,DAL,L 14-42,,,,,,,,,,
28,1971,1971-12-19,14,25.166,NYG,,PHI,L 28-41,,,,,,,,,,
29,1972,1972-09-17,1,26.073,RAM,,NOR,W 34-14,,,,,,,,,,
30,1972,1972-09-24,2,26.080,RAM,@,CHI,T 13-13,,,,,,,,,,
31,1972,1972-10-01,3,26.087,RAM,@,ATL,L 3-31,,,,,,,,,,
32,1972,1972-10-08,4,26.094,RAM,,SFO,W 31-7,,,,,,,,,,
33,1972,1972-10-15,5,26.101,RAM,@,PHI,W 34-3,,,,,,,,,,
34,1972,1972-10-22,6,26.108,RAM,,CIN,W 15-12,,,,,,,,,,
35,1972,1972-10-29,7,26.115,RAM,@,OAK,L 17-45,,,,,,,,,,
36,1972,1972-11-05,8,26.122,RAM,,ATL,W 20-7,,,,,,,,,,
37,1972,1972-11-12,9,26.129,RAM,,DEN,L 10-16,,,,,,,,,,
38,1972,1972-11-19,10,26.136,RAM,,MIN,L 41-45,,,,,,,,,,
39,1972,1972-11-26,11,26.143,RAM,@,NOR,L 16-19,,,,,,,,,,
40,1972,1972-12-04,12,26.151,RAM,@,SFO,W 26-16,,,,,,,,,,
41,1972,1972-12-10,13,26.157,RAM,@,STL,L 14-24,,,,,,,,,,
42,1972,1972-12-17,14,26.164,RAM,,DET,L 17-34,,,,,,,,,,
43,1973,1973-09-16,1,27.072,RAM,@,KAN,W 23-13,,,,,,,,,,
44,1973,1973-09-23,2,27.079,RAM,,ATL,W 31-0,,,,,,,,,,
45,1973,1973-09-30,3,27.086,RAM,@,SFO,W 40-20,,,,,,,,,,
46,1973,1973-10-07,4,27.093,RAM,@,HOU,W 31-26,,,,,,,,,,
47,1973,1973-10-14,5,27.100,RAM,,DAL,W 37-31,,,,,,,,,,
48,1973,1973-10-21,6,27.107,RAM,,GNB,W 24-7,0,0,,0,2,0,4,0,0,0
49,1973,1973-10-28,7,27.114,RAM,@,MIN,L 9-10,,,,,,,,,,
50,1973,1973-11-04,8,27.121,RAM,@,ATL,L 13-15,,,,,,,,,,
51,1973,1973-11-11,9,27.128,RAM,,NOR,W 29-7,,,,,,,,,,
52,1973,1973-11-18,10,27.135,RAM,,SFO,W 31-13,,,,,,,,,,
53,1973,1973-11-25,11,27.142,RAM,@,NOR,W 24-13,,,,,,,,,,
54,1973,1973-12-02,12,27.149,RAM,@,CHI,W 26-0,,,,,,,,,,
55,1973,1973-12-10,13,27.157,RAM,,NYG,W 40-6,,,,,,,,,,
56,1973,1973-12-16,14,27.163,RAM,,CLE,W 30-17,,,,,,,,,,
57,1974,1974-09-15,1,28.071,RAM,@,DEN,W 17-10,,,,,,,,,,
58,1974,1974-09-22,2,28.078,RAM,,NOR,W 24-0,,,,,,,,,,
59,1974,1974-09-29,3,28.085,RAM,@,NWE,L 14-20,,,,,,,,,,
60,1974,1974-10-06,4,28.092,RAM,,DET,W 16-13,,,,,,,,,,
61,1974,1974-10-13,5,28.099,RAM,@,GNB,L 6-17,,,,,,,,,,
62,1974,1974-10-20,6,28.106,RAM,,SFO,W 37-14,,,,,,,,,,
63,1974,1974-10-27,7,28.113,RAM,@,NYJ,W 20-13,,,,,,,,,,
64,1974,1974-11-04,8,28.121,RAM,@,SFO,W 15-13,,,,,,,,,,
65,1974,1974-11-10,9,28.127,RAM,,ATL,W 21-0,,,,,,,,,,
66,1974,1974-11-17,10,28.134,RAM,@,NOR,L 7-20,,,,,,,,,,
67,1974,1974-11-24,11,28.141,RAM,,MIN,W 20-17,,,,,,,,,,
68,1974,1974-12-01,12,28.148,RAM,@,ATL,W 30-7,,,,,,,,,,
69,1974,1974-12-09,13,28.156,RAM,,WAS,L 17-23,,,,,,,,,,
70,1974,1974-12-15,14,28.162,RAM,,BUF,W 19-14,,,,,,,,,,
71,1975,1975-09-21,1,29.077,RAM,@,DAL,L 7-18,,,,,,,,,,
72,1975,1975-09-28,2,29.084,RAM,@,SFO,W 23-14,,,,,,,,,,
73,1975,1975-10-05,3,29.091,RAM,,BAL,W 24-13,,,,,,,,,,
74,1975,1975-10-12,4,29.098,RAM,@,SDG,W 13-10,,,,,,,,,,
75,1975,1975-10-19,5,29.105,RAM,,ATL,W 22-7,,,,,,,,,,
76,1975,1975-10-26,6,29.112,RAM,,NOR,W 38-14,,,,,,,,,,
77,1975,1975-11-03,7,29.120,RAM,@,PHI,W 42-3,0,0,,0,,1,6,1,20,1
