ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1956,1956-09-30,1,25.136,CHI,@,BAL,L 21-28,6,42,7.00,0,2,6,3.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
2,1956,1956-10-07,2,25.143,CHI,@,GNB,W 37-21,9,38,4.22,0,1,23,23.00,0,0,0,,0,0,,,,,,
3,1956,1956-10-14,3,25.150,CHI,,SFO,W 31-7,9,86,9.56,0,0,0,,0,0,0,,0,0,,,,,,
4,1956,1956-10-21,4,25.157,CHI,,BAL,W 58-27,8,22,2.75,0,1,8,8.00,0,0,0,,0,0,,,,,,
5,1956,1956-10-28,5,25.164,CHI,@,SFO,W 38-21,16,108,6.75,0,1,15,15.00,0,0,0,,0,0,,,,,,
6,1956,1956-11-04,6,25.171,CHI,@,RAM,W 35-24,12,20,1.67,2,0,0,,0,0,0,,0,0,,,,,,
7,1957,1957-09-29,1,26.135,CHI,@,GNB,L 17-21,2,7,3.50,0,0,0,,0,0,0,,0,0,,,,,,
8,1957,1957-10-05,2,26.141,CHI,@,BAL,L 10-21,1,-7,-7.00,0,1,11,11.00,0,0,0,,0,0,,,,,,
9,1957,1957-10-13,3,26.149,CHI,,SFO,L 17-21,5,4,0.80,0,1,-2,-2.00,0,0,0,,0,0,,,,,,
10,1957,1957-10-20,4,26.156,CHI,,RAM,W 34-26,1,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,
11,1957,1957-12-15,12,26.212,CHI,,DET,L 13-21,1,7,7.00,0,0,0,,0,0,0,,0,0,,,,,,
