ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1957,1957-09-29,1,21.248,WAS,@,PIT,L 7-28,9,39,4.33,0,1,5,5.00,0,0,0,,0,0,,,,,,,0,
2,1957,1957-10-06,2,21.255,WAS,@,CRD,W 37-14,16,67,4.19,1,1,20,20.00,0,0,0,,0,0,,,,,,,1,
3,1957,1957-10-13,3,21.262,WAS,,NYG,L 20-24,10,29,2.90,0,3,21,7.00,0,0,0,,0,0,,,,,,,0,
4,1957,1957-10-20,4,21.269,WAS,,CRD,L 14-44,12,39,3.25,0,1,25,25.00,0,0,0,,0,0,,,,,,,0,
5,1957,1957-10-27,5,21.276,WAS,@,NYG,W 31-14,13,68,5.23,1,0,0,,0,0,0,,0,0,,,,,,,1,
6,1957,1957-11-03,6,21.283,WAS,@,CLE,L 17-21,15,58,3.87,0,1,4,4.00,0,0,0,,0,0,,,,,,,0,
7,1957,1957-11-10,7,21.290,WAS,,BAL,L 17-21,15,81,5.40,1,3,20,6.67,0,0,0,,0,0,,,,,,,1,
8,1957,1957-11-17,8,21.297,WAS,,CLE,T 30-30,17,48,2.82,1,1,7,7.00,0,0,0,,0,0,,,,,,,1,
9,1957,1957-11-24,9,21.304,WAS,@,PHI,L 12-21,16,65,4.06,0,5,31,6.20,0,0,0,,0,0,,,,,,,0,
10,1957,1957-12-01,10,21.311,WAS,@,CHI,W 14-3,17,68,4.00,0,1,14,14.00,0,0,0,,0,0,,,,,,,0,
11,1957,1957-12-08,11,21.318,WAS,,PHI,W 42-7,15,75,5.00,3,0,0,,0,0,0,,0,0,,,,,,,3,
12,1957,1957-12-15,12,21.325,WAS,,PIT,W 10-3,12,36,3.00,0,2,5,2.50,0,0,0,,0,0,,,,,,,0,
13,1958,1958-09-28,1,22.247,WAS,@,PHI,W 24-14,15,43,2.87,1,2,5,2.50,0,0,0,,0,0,,,,,,,1,
14,1958,1958-10-04,2,22.253,WAS,@,CRD,L 10-37,5,18,3.60,0,1,6,6.00,0,0,0,,0,0,,,,,,,0,
15,1958,1958-10-12,3,22.261,WAS,,NYG,L 14-21,8,26,3.25,0,1,28,28.00,0,0,0,,0,0,,,,,,,0,
16,1958,1958-11-02,6,22.282,WAS,@,PIT,L 16-24,14,40,2.86,0,5,38,7.60,0,0,0,,0,0,,,,,,,0,
17,1958,1958-11-09,7,22.289,WAS,,CRD,W 45-31,5,11,2.20,0,1,9,9.00,0,0,0,,0,0,,,,,,,0,
18,1958,1958-11-16,8,22.296,WAS,,CLE,L 10-20,3,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
19,1958,1958-11-23,9,22.303,WAS,@,NYG,L 0-30,4,32,8.00,0,2,-1,-0.50,0,0,0,,0,0,,,,,,,0,
20,1958,1958-11-30,10,22.310,WAS,@,CLE,L 14-21,14,71,5.07,1,1,10,10.00,0,0,0,,0,0,,,,,,,1,
21,1958,1958-12-07,11,22.317,WAS,,PIT,T 14-14,25,145,5.80,2,0,0,,0,0,0,,0,0,,,,,,,2,
22,1958,1958-12-14,12,22.324,WAS,,PHI,W 20-0,16,89,5.56,0,1,6,6.00,0,0,0,,0,0,,,,,,,0,
23,1959,1959-09-27,1,23.246,WAS,@,CRD,L 21-49,9,89,9.89,0,3,13,4.33,0,0,0,,0,0,,,,,,,0,
24,1959,1959-10-04,2,23.253,WAS,@,PIT,W 23-17,11,39,3.55,0,2,5,2.50,0,0,0,,0,0,,,,,,,0,
25,1959,1959-10-11,3,23.260,WAS,,CRD,W 23-14,10,27,2.70,1,2,4,2.00,0,0,0,,0,0,,,,,,,1,
26,1959,1959-10-18,4,23.267,WAS,,PIT,L 6-27,18,136,7.56,0,1,2,2.00,0,0,0,,0,0,,,,,,,0,
27,1959,1959-10-25,5,23.274,WAS,@,CLE,L 7-34,15,60,4.00,0,1,7,7.00,0,0,0,,0,0,,,,,,,0,
28,1959,1959-11-01,6,23.281,WAS,@,PHI,L 23-30,23,168,7.30,2,0,0,,0,0,0,,0,0,,,,,,,2,
29,1959,1959-11-08,7,23.288,WAS,,BAL,W 27-24,7,20,2.86,0,0,0,,0,0,0,,0,0,,,,,,,0,
30,1959,1959-11-22,9,23.302,WAS,@,GNB,L 0-21,19,80,4.21,0,1,6,6.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,
31,1959,1959-11-29,10,23.309,WAS,@,NYG,L 14-45,7,25,3.57,0,1,10,10.00,0,0,0,,0,0,,,,,,,0,
32,1960,1960-09-25,1,24.245,WAS,@,BAL,L 0-20,7,10,1.43,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
33,1960,1960-10-09,2,24.259,WAS,,DAL,W 26-14,15,71,4.73,0,1,50,50.00,0,0,0,,0,0,0,,0,0,,,0,0
34,1960,1960-10-16,3,24.266,WAS,@,NYG,T 24-24,6,22,3.67,1,1,6,6.00,0,0,0,,0,0,0,,0,0,,,1,6
35,1960,1960-10-23,4,24.273,WAS,,PIT,T 27-27,13,41,3.15,0,2,11,5.50,0,0,0,,0,0,0,,0,0,,,0,0
36,1960,1960-10-30,5,24.280,WAS,,CLE,L 10-31,11,34,3.09,1,2,15,7.50,0,0,0,,0,0,0,,0,0,,,1,6
37,1960,1960-11-13,7,24.294,WAS,@,PHI,L 13-19,6,24,4.00,0,2,4,2.00,0,0,0,,0,0,0,,0,0,,,0,0
38,1960,1960-11-20,8,24.301,WAS,,STL,L 14-26,3,9,3.00,0,2,4,2.00,0,0,0,,0,0,0,,0,0,,,0,0
