ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1973,1973-09-16,1,23.125,DET,@,PIT,L 10-24,,,,
2,1973,1973-09-23,2,23.132,DET,@,GNB,T 13-13,,,,
3,1973,1973-10-01,3,23.140,DET,,ATL,W 31-6,1,0,0.00,0
4,1973,1973-10-07,4,23.146,DET,,MIN,L 9-23,,,,
5,1973,1973-10-14,5,23.153,DET,@,NOR,L 13-20,,,,
6,1973,1973-10-21,6,23.160,DET,,BAL,L 27-29,,,,
7,1973,1973-10-28,7,23.167,DET,,GNB,W 34-0,,,,
8,1973,1973-11-04,8,23.174,DET,,SFO,W 30-20,,,,
9,1973,1973-11-11,9,23.181,DET,@,MIN,L 7-28,,,,
10,1973,1973-11-18,10,23.188,DET,@,CHI,W 30-7,,,,
11,1973,1973-11-22,11,23.192,DET,,WAS,L 0-20,,,,
12,1973,1973-12-02,12,23.202,DET,@,STL,W 20-16,,,,
13,1973,1973-12-09,13,23.209,DET,,CHI,W 40-7,,,,
14,1973,1973-12-15,14,23.215,DET,@,MIA,L 7-34,,,,
