ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,2005,2005-09-25,3,22.343,MIN,,NOR,W 33-16,,,,,,
2,2005,2005-10-02,4,22.350,MIN,@,ATL,L 10-30,,,,,,
3,2005,2005-10-16,5,22.364,MIN,@,CHI,L 3-28,,,,,,
4,2005,2005-11-06,8,23.020,MIN,,DET,W 27-14,,,,,,
5,2005,2005-11-13,9,23.027,MIN,@,NYG,W 24-21,,,,,,
6,2005,2005-11-21,10,23.035,MIN,@,GNB,W 20-17,,1,6,1,51,1
7,2005,2005-11-27,11,23.041,MIN,,CLE,W 24-12,,,,,,
8,2005,2005-12-04,12,23.048,MIN,@,DET,W 21-16,,,,,,
9,2005,2005-12-11,13,23.055,MIN,,STL,W 27-13,,,,,,
10,2005,2005-12-18,14,23.062,MIN,,PIT,L 3-18,,,,,,
11,2005,2005-12-25,15,23.069,MIN,@,BAL,L 23-30,,,,,,
12,2005,2006-01-01,16,23.076,MIN,,CHI,W 34-10,,,,,,
13,2007,2007-11-11,9,25.025,DET,@,ARI,L 21-31,,,,,,
14,2007,2007-12-09,13,25.053,DET,,DAL,L 27-28,,,,,,
15,2007,2007-12-16,14,25.060,DET,@,SDG,L 14-51,,,,,,
16,2007,2007-12-23,15,25.067,DET,,KAN,W 25-20,,,,,,
17,2007,2007-12-30,16,25.074,DET,@,GNB,L 13-34,,,,,,
