ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
65,2016,2016-12-18,14,29.254,BAL,,PHI,W 27-26,*,0.0,1,1,0,0,0
66,2016,2016-12-25,15,29.261,BAL,@,PIT,L 27-31,*,0.0,2,1,0,0,0
67,2016,2017-01-01,16,29.268,BAL,@,CIN,L 10-27,*,0.0,2,2,0,0,0
68,2017,2017-09-10,1,30.155,BUF,,NYJ,W 21-12,,0.0,0,0,0,0,0
69,2017,2017-09-17,2,30.162,BUF,@,CAR,L 3-9,,0.0,0,0,0,0,0
70,2017,2017-09-24,3,30.169,BUF,,DEN,W 26-16,,0.0,0,0,0,0,0
71,2017,2017-10-01,4,30.176,BUF,@,ATL,W 23-17,,0.0,3,0,0,0,0
72,2017,2017-10-08,5,30.183,BUF,@,CIN,L 16-20,*,0.0,8,3,0,0,0
73,2017,2017-10-22,6,30.197,BUF,,TAM,W 30-27,,0.0,5,0,0,0,0
74,2017,2017-10-29,7,30.204,BUF,,OAK,W 34-14,*,0.0,4,0,0,0,0
75,2017,2017-11-02,8,30.208,BUF,@,NYJ,L 21-34,*,0.0,3,1,0,0,0
76,2017,2017-11-12,9,30.218,BUF,,NOR,L 10-47,*,0.0,5,1,0,0,0
77,2017,2017-12-10,13,30.246,BUF,,IND,W 13-7,,0.0,0,0,0,0,0
78,2017,2017-12-17,14,30.253,BUF,,MIA,W 24-16,,0.0,0,0,1,54,0
79,2017,2017-12-24,15,30.260,BUF,@,NWE,L 16-37,*,0.0,7,2,0,0,0
80,2018,2018-09-16,2,31.161,HOU,@,TEN,L 17-20,,0.0,0,0,0,0,0
81,2018,2018-09-23,3,31.168,HOU,,NYG,L 22-27,,0.0,2,1,0,0,0
