ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,1999,1999-10-10,5,24.257,KAN,,NWE,W 16-14,,,,,,,,
2,1999,1999-10-21,6,24.268,KAN,@,BAL,W 35-8,,,,,,,,
3,1999,1999-10-31,7,24.278,KAN,,SDG,W 34-0,,,,,,,,
4,1999,1999-11-07,8,24.285,KAN,@,IND,L 17-25,,,,,,,,
5,1999,1999-11-14,9,24.292,KAN,@,TAM,L 10-17,,,,,,,,
6,1999,1999-11-21,10,24.299,KAN,,SEA,L 19-31,,,,,,,,
7,1999,1999-11-28,11,24.306,KAN,@,OAK,W 37-34,*,,,,,,,
8,1999,1999-12-05,12,24.313,KAN,@,DEN,W 16-10,,,,,,,,
9,1999,1999-12-12,13,24.320,KAN,,MIN,W 31-28,,,,,,,,
10,1999,1999-12-18,14,24.326,KAN,,PIT,W 35-19,*,,,,,,,
11,1999,1999-12-26,15,24.334,KAN,@,SEA,L 14-23,*,,,,,,,
12,1999,2000-01-02,16,24.341,KAN,,OAK,L 38-41,,,,,,,,
13,2000,2000-09-03,1,25.221,KAN,,IND,L 14-27,,,,,,,,
14,2000,2000-09-10,2,25.228,KAN,@,TEN,L 14-17,*,,,,,,,
15,2000,2000-09-17,3,25.235,KAN,,SDG,W 42-10,,,,,,,,
16,2000,2000-09-24,4,25.242,KAN,@,DEN,W 23-22,,,,,,,,
17,2000,2000-10-02,5,25.250,KAN,,SEA,W 24-17,*,,,,,,,
18,2000,2000-10-15,6,25.263,KAN,,OAK,L 17-20,*,,,,,,,
19,2000,2000-10-22,7,25.270,KAN,,STL,W 54-34,*,,,,,,,
20,2000,2000-10-29,8,25.277,KAN,@,SEA,W 24-19,,,,,,,,
21,2000,2000-11-05,9,25.284,KAN,@,OAK,L 31-49,,,,,,,,
22,2000,2000-11-12,10,25.291,KAN,@,SFO,L 7-21,*,,,,,,,
23,2000,2000-11-19,11,25.298,KAN,,BUF,L 17-21,*,,,,,,,
24,2000,2000-11-26,12,25.305,KAN,@,SDG,L 16-17,,,,,,,,
25,2000,2000-12-04,13,25.313,KAN,@,NWE,L 24-30,,,,,,,,
26,2000,2000-12-17,15,25.326,KAN,,DEN,W 20-7,,,,,,,,
27,2000,2000-12-24,16,25.333,KAN,@,ATL,L 13-29,*,,,,,,,
28,2001,2001-09-09,1,26.226,KAN,,OAK,L 24-27,*,,,,,,,
29,2001,2001-09-23,2,26.240,KAN,,NYG,L 3-13,*,,,,,,,
30,2001,2001-09-30,3,26.247,KAN,@,WAS,W 45-13,*,,,,,,,
31,2001,2001-10-07,4,26.254,KAN,@,DEN,L 6-20,*,,,,,,,
32,2001,2001-10-14,5,26.261,KAN,,PIT,L 17-20,*,,,,,,,
33,2001,2001-10-21,6,26.268,KAN,@,ARI,L 16-24,*,,,,,,,
