ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1997,1997-08-31,1,24.088,DAL,@,PIT,W 37-7,0.5
2,1997,1997-09-07,2,24.095,DAL,@,ARI,L 22-25,
3,1997,1997-09-15,3,24.103,DAL,,PHI,W 21-20,
4,1997,1997-09-28,4,24.116,DAL,,CHI,W 27-3,
5,1997,1997-10-05,5,24.123,DAL,@,NYG,L 17-20,
6,1997,1997-10-13,6,24.131,DAL,@,WAS,L 16-21,0.5
7,1997,1997-10-19,7,24.137,DAL,,JAX,W 26-22,1.0
8,1997,1997-10-26,8,24.144,DAL,@,PHI,L 12-13,
9,1997,1997-11-02,9,24.151,DAL,@,SFO,L 10-17,
10,1997,1997-11-09,10,24.158,DAL,,ARI,W 24-6,
11,1997,1997-11-16,11,24.165,DAL,,WAS,W 17-14,
12,1997,1997-11-23,12,24.172,DAL,@,GNB,L 17-45,
13,1997,1997-11-27,13,24.176,DAL,,TEN,L 14-27,
14,1997,1997-12-08,14,24.187,DAL,,CAR,L 13-23,
15,1997,1997-12-14,15,24.193,DAL,@,CIN,L 24-31,
16,1997,1997-12-21,16,24.200,DAL,,NYG,L 7-20,
17,1998,1998-09-06,1,25.094,DAL,,ARI,W 38-10,
18,1998,1998-09-13,2,25.101,DAL,@,DEN,L 23-42,
19,1998,1998-11-26,12,25.175,DAL,,MIN,L 36-46,
20,1998,1998-12-13,14,25.192,DAL,@,KAN,L 17-20,
21,1998,1998-12-27,16,25.206,DAL,,WAS,W 23-7,
