ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1983,1983-09-04,1,22.209,HOU,,GNB,L 38-41,,4,38,9.50,0,,,0,0,,0,0,0,,0,0,0
2,1983,1983-09-11,2,22.216,HOU,@,RAI,L 6-20,,1,3,3.00,0,,,0,0,,0,0,0,,0,0,0
3,1983,1983-09-18,3,22.223,HOU,,PIT,L 28-40,,0,0,,0,,,0,0,,0,0,0,,0,0,
4,1983,1983-09-25,4,22.230,HOU,@,BUF,L 13-30,,0,0,,0,,,0,0,,0,0,0,,0,0,
5,1983,1983-10-02,5,22.237,HOU,@,PIT,L 10-17,,3,49,16.33,0,,,1,3,3.00,0,0,0,,0,0,0
6,1983,1983-10-09,6,22.244,HOU,,DEN,L 14-26,,2,18,9.00,0,,,0,0,,0,1,8,8.00,0,0,0
7,1983,1983-10-16,7,22.251,HOU,@,MIN,L 14-34,,1,35,35.00,1,,,0,0,,0,0,0,,0,1,6
8,1983,1983-10-23,8,22.258,HOU,,KAN,L 10-13,,3,16,5.33,0,,,0,0,,0,0,0,,0,0,0
9,1983,1983-10-30,9,22.265,HOU,@,CLE,L 19-25,,2,31,15.50,0,,,0,0,,0,0,0,,0,0,0
10,1983,1983-11-06,10,22.272,HOU,,CIN,L 14-55,,2,13,6.50,0,,,0,0,,0,1,8,8.00,0,0,0
11,1983,1983-11-13,11,22.279,HOU,,DET,W 27-17,,3,23,7.67,1,,,0,0,,0,1,11,11.00,0,1,6
12,1983,1983-11-20,12,22.286,HOU,@,CIN,L 10-38,,4,30,7.50,0,,,0,0,,0,0,0,,0,0,0
13,1983,1983-11-27,13,22.293,HOU,@,TAM,L 24-33,,2,18,9.00,1,,,0,0,,0,1,13,13.00,0,1,6
14,1983,1983-12-04,14,22.300,HOU,,MIA,L 17-24,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0
15,1983,1983-12-11,15,22.307,HOU,,CLE,W 34-27,,1,8,8.00,0,,,0,0,,0,0,0,,0,0,0
16,1983,1983-12-18,16,22.314,HOU,@,BAL,L 10-20,,3,25,8.33,1,,,0,0,,0,0,0,,0,1,6
17,1984,1984-09-02,1,23.208,HOU,,RAI,L 14-24,,2,17,8.50,0,,,0,0,,0,0,0,,0,0,0
18,1984,1984-09-09,2,23.215,HOU,,IND,L 21-35,,2,18,9.00,0,,,0,0,,0,0,0,,0,0,0
19,1984,1984-09-16,3,23.222,HOU,@,SDG,L 14-31,,1,7,7.00,0,,,0,0,,0,0,0,,0,0,0
20,1984,1984-09-23,4,23.229,HOU,@,ATL,L 10-42,,2,16,8.00,0,,,0,0,,0,0,0,,0,0,0
21,1984,1984-09-30,5,23.236,HOU,,NOR,L 10-27,,1,5,5.00,0,,,0,0,,0,0,0,,0,0,0
22,1984,1984-10-07,6,23.243,HOU,@,CIN,L 3-13,,3,26,8.67,0,,,0,0,,0,0,0,,0,0,0
23,1984,1984-10-14,7,23.250,HOU,@,MIA,L 10-28,,7,47,6.71,1,,,0,0,,0,0,0,,0,1,6
24,1984,1984-10-21,8,23.257,HOU,,SFO,L 21-34,,2,48,24.00,0,,,0,0,,0,0,0,,0,0,0
25,1984,1984-10-28,9,23.264,HOU,,CIN,L 13-31,,2,22,11.00,0,,,0,0,,0,0,0,,0,0,0
26,1984,1984-11-04,10,23.271,HOU,@,PIT,L 7-35,,4,34,8.50,0,,,0,0,,0,0,0,,0,0,0
27,1984,1984-11-11,11,23.278,HOU,@,KAN,W 17-16,,1,16,16.00,0,,,0,0,,0,0,0,,0,0,0
28,1984,1984-11-18,12,23.285,HOU,,NYJ,W 31-20,,3,43,14.33,0,,,0,0,,0,0,0,,0,0,0
29,1984,1984-11-25,13,23.292,HOU,@,CLE,L 10-27,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0
30,1984,1984-12-02,14,23.299,HOU,,PIT,W 23-20,,1,5,5.00,1,,,0,0,,0,0,0,,0,1,6
31,1984,1984-12-09,15,23.306,HOU,@,RAM,L 16-27,,4,27,6.75,0,,,0,0,,0,0,0,,0,0,0
32,1984,1984-12-16,16,23.313,HOU,,CLE,L 20-27,,4,32,8.00,0,,,0,0,,0,0,0,,0,0,0
33,1985,1985-09-08,1,24.213,HOU,,MIA,W 26-23,,0,0,,0,,,,,,,,,,,,
34,1985,1985-09-15,2,24.220,HOU,@,WAS,L 13-16,,0,0,,0,,,,,,,,,,,,
35,1985,1985-09-22,3,24.227,HOU,@,PIT,L 0-20,,0,0,,0,,,,,,,,,,,,
36,1985,1985-09-29,4,24.234,HOU,,DAL,L 10-17,,0,0,,0,,,,,,,,,,,,
37,1985,1985-10-06,5,24.241,HOU,@,DEN,L 20-31,,1,2,2.00,0,,,0,0,,0,0,0,,0,0,0
38,1985,1985-10-13,6,24.248,HOU,,CLE,L 6-21,,0,0,,0,,,,,,,,,,,,
39,1985,1985-10-20,7,24.255,HOU,,CIN,W 44-27,,0,0,,0,,,,,,,,,,,,
40,1985,1985-10-27,8,24.262,HOU,@,STL,W 20-10,,0,0,,0,,,,,,,,,,,,
41,1985,1985-11-03,9,24.269,HOU,,KAN,W 23-20,,1,3,3.00,1,,,0,0,,0,0,0,,0,1,6
42,1985,1985-11-10,10,24.276,HOU,@,BUF,L 0-20,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0
43,1985,1985-11-17,11,24.283,HOU,,PIT,L 7-30,,0,0,,0,,,,,,,,,,,,
44,1985,1985-11-24,12,24.290,HOU,,SDG,W 37-35,,0,0,,0,,,,,,,,,,,,
45,1985,1985-12-01,13,24.297,HOU,@,CIN,L 27-45,,0,0,,0,,,,,,,,,,,,
46,1985,1985-12-08,14,24.304,HOU,,NYG,L 14-35,,0,0,,0,,,,,,,,,,,,
47,1985,1985-12-15,15,24.311,HOU,@,CLE,L 21-28,,0,0,,0,,,,,,,,,,,,
48,1985,1985-12-22,16,24.318,HOU,@,IND,L 16-34,,0,0,,0,,,,,,,,,,,,
49,1986,1986-09-07,1,25.212,HOU,@,GNB,W 31-3,,,,,,,,,,,,,,,,,
50,1986,1986-09-14,2,25.219,HOU,,CLE,L 20-23,,,,,,,,,,,,,,,,,
51,1986,1986-09-21,3,25.226,HOU,@,KAN,L 13-27,,,,,,,,,,,,,,,,,
52,1986,1986-09-28,4,25.233,HOU,,PIT,L 16-22,,,,,,,,,,,,,,,,,
53,1986,1986-10-05,5,25.240,HOU,@,DET,L 13-24,,,,,,,,,,,,,,,,,
54,1986,1986-10-12,6,25.247,HOU,,CHI,L 7-20,,,,,,,,,,,,,,,,,
55,1986,1986-10-19,7,25.254,HOU,@,CIN,L 28-31,,,,,,,,,,,,,,,,,
56,1986,1986-10-26,8,25.261,HOU,,RAI,L 17-28,,,,,,,,,,,,,,,,,
57,1986,1986-11-02,9,25.268,HOU,@,MIA,L 7-28,,,,,,,,,,,,,,,,,
58,1986,1986-11-09,10,25.275,HOU,,CIN,W 32-28,,,,,,,,,,,,,,,,,
59,1986,1986-11-16,11,25.282,HOU,@,PIT,L 10-21,,,,,,,,,,,,,,,,,
60,1986,1986-11-23,12,25.289,HOU,,IND,W 31-17,,,,,,,,,,,,,,,,,
61,1986,1986-11-30,13,25.296,HOU,@,CLE,L 10-13,,,,,,,,,,,,,,,,,
62,1986,1986-12-07,14,25.303,HOU,@,SDG,L 0-27,,,,,,,,,,,,,,,,,
63,1986,1986-12-14,15,25.310,HOU,,MIN,W 23-10,,,,,,,,,,,,,,,,,
64,1986,1986-12-21,16,25.317,HOU,,BUF,W 16-7,,,,,,,,,,,,,,,,,
65,1987,1987-10-05,3,26.240,SFO,@,NYG,W 41-21,,1,8,8.00,0,,,0,0,,0,0,0,,0,0,0
66,1989,1989-09-10,1,28.215,KAN,@,DEN,L 20-34,,1,21,21.00,0,,,0,0,,0,0,0,,0,0,0
67,1989,1989-09-17,2,28.222,KAN,,RAI,W 24-19,,3,65,21.67,1,,,0,0,,0,0,0,,0,1,6
68,1989,1989-09-24,3,28.229,KAN,@,SDG,L 6-21,,3,23,7.67,0,,,0,0,,0,0,0,,0,0,0
69,1989,1989-10-01,4,28.236,KAN,,CIN,L 17-21,,1,6,6.00,0,,,0,0,,0,0,0,,0,0,0
70,1989,1989-10-08,5,28.243,KAN,@,SEA,W 20-16,,1,21,21.00,0,,,0,0,,0,0,0,,0,0,0
71,1989,1989-10-15,6,28.250,KAN,@,RAI,L 14-20,,0,0,,0,,,,,,,,,,,,
72,1989,1989-10-22,7,28.257,KAN,,DAL,W 36-28,,0,0,,0,,,,,,,,,,,,
73,1989,1989-11-05,9,28.271,NYJ,@,NWE,W 27-26,,2,47,23.50,0,,,0,0,,0,0,0,,0,0,0
74,1989,1989-11-12,10,28.278,NYJ,,MIA,L 23-31,,0,0,,0,,,,,,,,,,,,
75,1989,1989-11-19,11,28.285,NYJ,@,IND,L 10-27,,0,0,,0,,,,,,,,,,,,
76,1989,1989-11-26,12,28.292,NYJ,,ATL,W 27-7,,0,0,,0,,,,,,,,,,,,
77,1989,1989-12-03,13,28.299,NYJ,@,SDG,W 20-17,,0,0,,0,,,,,,,,,,,,
78,1989,1989-12-10,14,28.306,NYJ,,PIT,L 0-13,,0,0,,0,,,,,,,,,,,,
79,1989,1989-12-17,15,28.313,NYJ,@,RAM,L 14-38,,0,0,,0,,,,,,,,,,,,
80,1989,1989-12-23,16,28.319,NYJ,,BUF,L 0-37,,1,8,8.00,0,,,0,0,,0,0,0,,0,0,0
81,1990,1990-09-09,1,29.214,NYJ,@,CIN,L 20-25,,1,5,5.00,0,,,0,0,,0,0,0,,0,0,0
82,1990,1990-09-16,2,29.221,NYJ,,CLE,W 24-21,,0,0,,0,,,,,,,0,0,,0,,
83,1990,1990-09-24,3,29.229,NYJ,,BUF,L 7-30,,1,5,5.00,0,,,0,0,,0,0,0,,0,0,0
84,1990,1990-09-30,4,29.235,NYJ,@,NWE,W 37-13,,1,21,21.00,0,,,0,0,,0,0,0,,0,0,0
85,1990,1990-10-07,5,29.242,NYJ,@,MIA,L 16-20,,0,0,,0,,,,,,,0,0,,0,,
86,1990,1990-10-14,6,29.249,NYJ,,SDG,L 3-39,,0,0,,0,,,,,,,0,0,,0,,
87,1990,1990-10-21,7,29.256,NYJ,@,BUF,L 27-30,,0,0,,0,,,,,,,0,0,,0,,
88,1990,1990-10-28,8,29.263,NYJ,@,HOU,W 17-12,,0,0,,0,,,,,,,0,0,,0,,
89,1990,1990-11-04,9,29.270,NYJ,,DAL,W 24-9,,0,0,,0,,,,,,,0,0,,0,,
90,1990,1990-11-11,10,29.277,NYJ,,MIA,L 3-17,,0,0,,0,,,,,,,0,0,,0,,
91,1990,1990-11-18,11,29.284,NYJ,@,IND,L 14-17,,1,17,17.00,0,,,0,0,,0,0,0,,0,0,0
92,1990,1990-11-25,12,29.291,NYJ,,PIT,L 7-24,,0,0,,0,,,,,,,0,0,,0,,
93,1990,1990-12-02,13,29.298,NYJ,@,SDG,L 17-38,,2,18,9.00,0,,,0,0,,0,1,7,7.00,0,0,0
94,1990,1990-12-16,14,29.312,NYJ,,IND,L 21-29,,0,0,,0,,,,,,,0,0,,0,,
95,1990,1990-12-23,15,29.319,NYJ,,NWE,W 42-7,,0,0,,0,,,,,,,0,0,,0,,
96,1991,1991-09-01,1,30.206,NYJ,,TAM,W 16-13,,0,0,,0,,,,,,,0,0,,0,,
97,1991,1991-09-08,2,30.213,NYJ,@,SEA,L 13-20,,3,16,5.33,0,,,0,0,,0,0,0,,0,0,0
98,1991,1991-09-15,3,30.220,NYJ,,BUF,L 20-23,,2,16,8.00,0,,,0,0,,0,0,0,,0,0,0
99,1991,1991-09-29,5,30.234,NYJ,,MIA,W 41-23,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0
