ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2016,2016-09-11,1,23.155,JAX,,GNB,L 23-27,,0,0,0,,0,0.0%,,,0,0
2,2016,2016-09-18,2,23.162,JAX,@,SDG,L 14-38,,0,0,0,,0,0.0%,,,0,0
3,2016,2016-10-16,5,23.190,JAX,@,CHI,W 17-16,,0,0,0,,0,0.0%,,,0,0
4,2016,2016-10-23,6,23.197,JAX,,OAK,L 16-33,,0,0,0,,0,0.0%,,,0,0
5,2016,2016-10-27,7,23.201,JAX,@,TEN,L 22-36,,5,5,41,8.20,0,100.0%,8.20,,0,0
6,2016,2016-11-06,8,23.211,JAX,@,KAN,L 14-19,,0,0,0,,0,0.0%,,,0,0
7,2016,2016-11-13,9,23.218,JAX,,HOU,L 21-24,*,3,3,35,11.67,0,100.0%,11.67,,0,0
8,2016,2016-11-20,10,23.225,JAX,@,DET,L 19-26,*,1,0,0,,0,0.0%,0.00,,0,0
9,2016,2016-11-27,11,23.232,JAX,@,BUF,L 21-28,*,2,2,23,11.50,0,100.0%,11.50,,0,0
10,2016,2016-12-04,12,23.239,JAX,,DEN,L 10-20,*,3,1,4,4.00,0,33.3%,1.33,,0,0
11,2016,2016-12-11,13,23.246,JAX,,MIN,L 16-25,,2,2,19,9.50,0,100.0%,9.50,,0,0
12,2016,2016-12-18,14,23.253,JAX,@,HOU,L 20-21,*,2,1,2,2.00,0,50.0%,1.00,,0,0
13,2016,2016-12-24,15,23.259,JAX,,TEN,W 38-17,*,2,2,12,6.00,0,100.0%,6.00,,0,0
14,2016,2017-01-01,16,23.267,JAX,@,IND,L 20-24,*,4,3,25,8.33,1,75.0%,6.25,,1,6
15,2017,2017-09-10,1,24.154,JAX,@,HOU,W 29-7,,0,0,0,,0,0.0%,,,0,0
16,2017,2017-09-17,2,24.161,JAX,,TEN,L 16-37,,1,0,0,,0,0.0%,0.00,,0,0
17,2017,2017-09-24,3,24.168,JAX,,BAL,W 44-7,,0,0,0,,0,0.0%,,,0,0
18,2017,2017-10-01,4,24.175,JAX,@,NYJ,L 20-23,,0,0,0,,0,0.0%,,,0,0
19,2017,2017-10-08,5,24.182,JAX,@,PIT,W 30-9,,0,0,0,,0,0.0%,,,0,0
20,2017,2017-10-15,6,24.189,JAX,,LAR,L 17-27,,1,1,21,21.00,0,100.0%,21.00,,0,0
21,2017,2017-10-22,7,24.196,JAX,@,IND,W 27-0,,1,1,7,7.00,0,100.0%,7.00,,0,0
22,2017,2017-11-05,8,24.210,JAX,,CIN,W 23-7,*,0,0,0,,0,0.0%,,,0,0
23,2017,2017-11-12,9,24.217,JAX,,LAC,W 20-17,*,1,0,0,,0,0.0%,0.00,,0,0
24,2017,2017-11-19,10,24.224,JAX,@,CLE,W 19-7,*,0,0,0,,0,0.0%,,,0,0
25,2017,2017-11-26,11,24.231,JAX,@,ARI,L 24-27,,0,0,0,,0,0.0%,,,0,0
26,2017,2017-12-03,12,24.238,JAX,,IND,W 30-10,,0,0,0,,0,0.0%,,,0,0
27,2017,2017-12-10,13,24.245,JAX,,SEA,W 30-24,,0,0,0,,0,0.0%,,,0,0
28,2017,2017-12-17,14,24.252,JAX,,HOU,W 45-7,,1,1,0,0.00,0,100.0%,0.00,,0,0
29,2017,2017-12-24,15,24.259,JAX,@,SFO,L 33-44,,2,2,10,5.00,0,100.0%,5.00,1,0,2
30,2017,2017-12-31,16,24.266,JAX,@,TEN,L 10-15,,0,0,0,,0,0.0%,,,0,0
