ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1973,1973-09-16,1,22.148,CLE,,BAL,W 24-14,,,,,,,,,,,,,
2,1973,1973-09-23,2,22.155,CLE,@,PIT,L 6-33,,,,,,,,,,,,,
3,1973,1973-09-30,3,22.162,CLE,,NYG,W 12-10,,,,,,,,,,,,,
4,1973,1973-10-07,4,22.169,CLE,,CIN,W 17-10,,,,,,,,,,,,,
5,1973,1973-10-15,5,22.177,CLE,,MIA,L 9-17,,,,,,,,,,,,,
6,1973,1973-10-21,6,22.183,CLE,,HOU,W 42-13,,,,,,,,,,,,,
7,1973,1973-10-28,7,22.190,CLE,,SDG,T 16-16,,,,,,,,,,,,,
8,1973,1973-11-04,8,22.197,CLE,@,MIN,L 3-26,,,,,,,,,,,,,
9,1973,1973-11-11,9,22.204,CLE,@,HOU,W 23-13,,,,,,,,,,,,,
10,1973,1973-11-18,10,22.211,CLE,@,OAK,W 7-3,,,,,,,,,,,,,
11,1973,1973-11-25,11,22.218,CLE,,PIT,W 21-16,,,,,,,,,,,,,
12,1973,1973-12-02,12,22.225,CLE,@,KAN,T 20-20,,,,,,,,,,,,,
13,1973,1973-12-09,13,22.232,CLE,@,CIN,L 17-34,,,,,,,,,,,,,
14,1973,1973-12-16,14,22.239,CLE,@,RAM,L 17-30,,,,,,,,,,,,,
15,1974,1974-09-15,1,23.147,CLE,@,CIN,L 7-33,,,,,,,,,,,,,
16,1974,1974-09-22,2,23.154,CLE,,HOU,W 20-7,,,,,,,,,,,,,
17,1974,1974-09-29,3,23.161,CLE,@,STL,L 7-29,,,,,,,,,,,,,
18,1974,1974-10-06,4,23.168,CLE,,OAK,L 24-40,,,,,,,,,,,,,
19,1974,1974-10-13,5,23.175,CLE,,CIN,L 24-34,,,,,,,,,,,,,
20,1974,1974-10-20,6,23.182,CLE,@,PIT,L 16-20,,,,,,,,,,,,,
21,1974,1974-10-27,7,23.189,CLE,,DEN,W 23-21,1,27,27.00,0,0,0,,0,0,0,0,0,0
22,1974,1974-11-03,8,23.196,CLE,@,SDG,L 35-36,,,,,,,,,,,,,
23,1974,1974-11-10,9,23.203,CLE,@,NWE,W 21-14,0,0,,0,0,0,,0,0,0,1,20,0
24,1974,1974-11-17,10,23.210,CLE,,PIT,L 16-26,0,0,,0,0,0,,0,1,6,1,36,1
25,1974,1974-11-24,11,23.217,CLE,,BUF,L 10-15,,,,,,,,,,,,,
26,1974,1974-12-01,12,23.224,CLE,,SFO,W 7-0,,,,,,,,,,,,,
27,1974,1974-12-07,13,23.230,CLE,@,DAL,L 17-41,,,,,,,,,,,,,
28,1974,1974-12-15,14,23.238,CLE,@,HOU,L 24-28,,,,,,,,,,,,,
29,1975,1975-09-21,1,24.153,CLE,@,CIN,L 17-24,,,,,,,,,,,,,
30,1975,1975-09-28,2,24.160,CLE,,MIN,L 10-42,,,,,,,,,,,,,
31,1975,1975-10-05,3,24.167,CLE,,PIT,L 6-42,,,,,,,,,,,,,
32,1975,1975-10-12,4,24.174,CLE,,HOU,L 10-40,,,,,,,,,,,,,
33,1975,1975-10-19,5,24.181,CLE,@,DEN,L 15-16,,,,,,,,,,,,,
34,1975,1975-10-26,6,24.188,CLE,,WAS,L 7-23,0,0,,0,1,0,0.00,0,0,0,0,0,0
35,1975,1975-11-02,7,24.195,CLE,@,BAL,L 7-21,,,,,,,,,,,,,
36,1975,1975-11-09,8,24.202,CLE,@,DET,L 10-21,,,,,,,,,,,,,
37,1975,1975-11-16,9,24.209,CLE,@,OAK,L 17-38,,,,,,,,,,,,,
38,1975,1975-11-23,10,24.216,CLE,,CIN,W 35-23,,,,,,,,,,,,,
39,1975,1975-11-30,11,24.223,CLE,,NOR,W 17-16,,,,,,,,,,,,,
40,1975,1975-12-07,12,24.230,CLE,@,PIT,L 17-31,,,,,,,,,,,,,
41,1975,1975-12-14,13,24.237,CLE,,KAN,W 40-14,1,-1,-1.00,0,0,0,,0,0,0,0,0,0
42,1975,1975-12-21,14,24.244,CLE,@,HOU,L 10-21,0,0,,0,0,0,,0,0,0,1,0,0
43,1976,1976-09-12,1,25.144,CLE,,NYJ,W 38-17,,,,,,,,,,,,,
44,1976,1976-09-26,3,25.158,BUF,@,TAM,W 14-9,,,,,,,,,,,,,
45,1976,1976-10-03,4,25.165,BUF,,KAN,W 50-17,,,,,,,,,,,,,
46,1976,1976-10-10,5,25.172,BUF,@,NYJ,L 14-17,,,,,,,,,,,,,
47,1976,1976-10-17,6,25.179,BUF,,BAL,L 13-31,,,,,,,,,,,,,
48,1976,1976-10-24,7,25.186,BUF,,NWE,L 22-26,,,,,,,,,,,,,
