ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1982,1982-09-12,1,23.070,SDG,@,DEN,W 23-3,,,,,0,0,,0
2,1982,1982-09-19,2,23.077,SDG,@,KAN,L 12-19,,,,,0,0,,0
3,1982,1982-11-22,3,23.141,SDG,@,RAI,L 24-28,,,,,0,0,,0
4,1982,1982-11-28,4,23.147,SDG,,DEN,W 30-20,,,,,0,0,,0
5,1982,1982-12-05,5,23.154,SDG,@,CLE,W 30-13,,,,,0,0,,0
6,1982,1982-12-11,6,23.160,SDG,@,SFO,W 41-37,,,,,0,0,,0
7,1982,1982-12-20,7,23.169,SDG,,CIN,W 50-34,,,,,0,0,,0
8,1982,1982-12-26,8,23.175,SDG,,BAL,W 44-26,,,,,0,0,,0
9,1982,1983-01-02,9,23.182,SDG,,RAI,L 34-41,0,0,,0,1,0,0.00,0
10,1983,1983-09-04,1,24.062,SDG,,NYJ,L 29-41,,,,,,,,
11,1983,1983-09-12,2,24.070,SDG,@,KAN,W 17-14,,,,,,,,
12,1983,1983-09-18,3,24.076,SDG,@,SEA,L 31-34,,,,,,,,
13,1983,1983-09-25,4,24.083,SDG,,CLE,L 24-30,,,,,,,,
14,1983,1983-10-02,5,24.090,SDG,@,NYG,W 41-34,,,,,,,,
15,1983,1983-10-09,6,24.097,SDG,,SEA,W 28-21,,,,,,,,
16,1983,1983-10-16,7,24.104,SDG,@,NWE,L 21-37,,,,,,,,
17,1983,1983-10-23,8,24.111,SDG,@,DEN,L 6-14,,,,,,,,
18,1983,1983-10-31,9,24.119,SDG,,WAS,L 24-27,,,,,,,,
19,1983,1983-11-06,10,24.125,SDG,@,PIT,L 3-26,,,,,,,,
20,1983,1983-11-13,11,24.132,SDG,,DAL,W 24-23,,,,,,,,
21,1983,1983-11-20,12,24.139,SDG,@,STL,L 14-44,,,,,,,,
22,1983,1983-11-27,13,24.146,SDG,,DEN,W 31-7,,,,,,,,
23,1983,1983-12-01,14,24.150,SDG,,RAI,L 10-42,,,,,,,,
24,1983,1983-12-11,15,24.160,SDG,,KAN,W 41-38,,,,,,,,
25,1983,1983-12-18,16,24.167,SDG,@,RAI,L 14-30,,,,,,,,
26,1984,1984-09-02,1,25.060,SDG,@,MIN,W 42-13,0,0,,0,,,,
27,1984,1984-09-09,2,25.067,SDG,@,SEA,L 17-31,0,0,,0,,,,
28,1984,1984-09-16,3,25.074,SDG,,HOU,W 31-14,0,0,,0,,,,
29,1984,1984-09-24,4,25.082,SDG,@,RAI,L 30-33,0,0,,0,,,,
30,1984,1984-09-30,5,25.088,SDG,,DET,W 27-24,0,0,,0,,,,
31,1984,1984-10-07,6,25.095,SDG,@,GNB,W 34-28,0,0,,0,,,,
32,1984,1984-10-14,7,25.102,SDG,@,KAN,L 13-31,0,0,,0,,,,
33,1984,1984-10-21,8,25.109,SDG,,RAI,L 37-44,0,0,,0,,,,
34,1984,1984-10-29,9,25.117,SDG,,SEA,L 0-24,0,0,,0,,,,
35,1984,1984-11-04,10,25.123,SDG,@,IND,W 38-10,0,0,,0,,,,
36,1984,1984-11-11,11,25.130,SDG,,DEN,L 13-16,1,3,3.00,0,0,0,,0
37,1984,1984-11-18,12,25.137,SDG,,MIA,W 34-28,0,0,,0,,,,
38,1984,1984-11-25,13,25.144,SDG,@,PIT,L 24-52,0,0,,0,,,,
39,1984,1984-12-03,14,25.152,SDG,,CHI,W 20-7,0,0,,0,,,,
40,1984,1984-12-09,15,25.158,SDG,@,DEN,L 13-16,0,0,,0,,,,
41,1984,1984-12-16,16,25.165,SDG,,KAN,L 21-42,0,0,,0,,,,
