ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1965,1965-09-26,3,23.046,KAN,@,SDG,T 10-10,2,30,15.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
2,1965,1965-10-10,5,23.060,KAN,@,DEN,W 31-23,1,48,48.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
3,1965,1965-10-17,6,23.067,KAN,,BUF,L 7-23,1,15,15.00,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
4,1965,1965-10-24,7,23.074,KAN,@,HOU,L 36-38,4,57,14.25,1,1,15,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
5,1965,1965-11-21,11,23.102,KAN,@,BOS,T 10-10,2,27,13.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
6,1965,1965-11-28,12,23.109,KAN,,HOU,W 52-21,5,74,14.80,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
7,1965,1965-12-12,13,23.123,KAN,@,BUF,L 25-34,5,85,17.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
8,1965,1965-12-19,14,23.130,KAN,,DEN,W 45-35,6,110,18.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
9,1966,1966-09-11,1,24.031,KAN,@,BUF,W 42-20,4,80,20.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
10,1966,1966-09-18,2,24.038,KAN,@,OAK,W 32-10,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
11,1966,1966-09-25,3,24.045,KAN,@,BOS,W 43-24,7,82,11.71,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
12,1966,1966-10-02,4,24.052,KAN,,BUF,L 14-29,4,125,31.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
13,1966,1966-10-08,5,24.058,KAN,,DEN,W 37-10,5,103,20.60,0,1,19,19.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
14,1966,1966-10-16,6,24.066,KAN,,OAK,L 13-34,4,83,20.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
15,1966,1966-10-23,7,24.073,KAN,@,DEN,W 56-10,2,83,41.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
16,1966,1966-10-30,8,24.080,KAN,,HOU,W 48-23,5,187,37.40,1,1,14,14.00,0,0,0,,0,0,0,,0,0,,,2,0,0.00,0,1,6
17,1966,1966-11-06,9,24.087,KAN,,SDG,W 24-14,3,54,18.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
18,1966,1966-11-13,10,24.094,KAN,,MIA,W 34-16,4,113,28.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
19,1966,1966-11-20,11,24.101,KAN,,BOS,T 27-27,9,133,14.78,2,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,2,12
20,1966,1966-11-27,12,24.108,KAN,@,NYJ,W 32-24,6,136,22.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
21,1966,1966-12-11,13,24.122,KAN,@,MIA,W 19-18,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
22,1966,1966-12-18,14,24.129,KAN,@,SDG,W 27-17,3,90,30.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
23,1967,1967-09-09,1,25.029,KAN,@,HOU,W 25-20,4,60,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
24,1967,1967-09-24,2,25.044,KAN,@,MIA,W 24-0,2,76,38.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
25,1967,1967-10-01,3,25.051,KAN,@,OAK,L 21-23,5,79,15.80,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
26,1967,1967-10-08,4,25.058,KAN,,MIA,W 41-0,4,97,24.25,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
27,1967,1967-10-15,5,25.065,KAN,@,SDG,L 31-45,9,134,14.89,0,1,24,24.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
28,1967,1967-10-22,6,25.072,KAN,,HOU,L 19-24,6,40,6.67,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
29,1967,1967-10-29,7,25.079,KAN,,DEN,W 52-9,2,45,22.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
30,1967,1967-11-05,8,25.086,KAN,,NYJ,W 42-18,5,83,16.60,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
31,1967,1967-11-12,9,25.093,KAN,@,BOS,W 33-10,4,35,8.75,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
32,1967,1967-11-19,10,25.100,KAN,,SDG,L 16-17,3,50,16.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
33,1967,1967-11-23,11,25.104,KAN,,OAK,L 22-44,5,64,12.80,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
34,1967,1967-12-03,12,25.114,KAN,,BUF,W 23-13,6,86,14.33,1,1,13,13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
35,1967,1967-12-10,13,25.121,KAN,@,NYJ,W 21-7,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
36,1967,1967-12-17,14,25.128,KAN,@,DEN,W 38-24,3,89,29.67,3,1,-13,-13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,18
37,1968,1968-09-09,1,26.029,KAN,@,HOU,W 26-21,2,35,17.50,0,1,6,6.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
38,1968,1968-09-15,2,26.035,KAN,,NYJ,L 19-20,5,42,8.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
39,1968,1968-09-22,3,26.042,KAN,,DEN,W 34-2,5,82,16.40,2,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
40,1968,1968-09-28,4,26.048,KAN,@,MIA,W 48-3,3,113,37.67,1,1,30,30.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
