ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2001,2001-09-09,1,22.245,SFO,,ATL,W 16-13,,5,9,1.80,0,2,2,4,2.00,0,100.0%,2.00,0,0
2,2001,2001-09-23,2,22.259,SFO,,STL,L 26-30,,13,49,3.77,1,0,0,0,,0,0.0%,,1,6
3,2001,2001-10-01,3,22.267,SFO,@,NYJ,W 19-17,,9,83,9.22,0,2,2,10,5.00,0,100.0%,5.00,0,0
4,2001,2001-10-07,4,22.273,SFO,,CAR,W 24-14,,11,32,2.91,0,1,1,9,9.00,0,100.0%,9.00,0,0
5,2001,2001-10-14,5,22.280,SFO,@,ATL,W 37-31,,8,38,4.75,1,2,1,7,7.00,0,50.0%,3.50,1,6
6,2001,2001-10-28,6,22.294,SFO,@,CHI,L 31-37,,7,13,1.86,0,2,2,33,16.50,0,100.0%,16.50,0,0
7,2001,2001-11-04,7,22.301,SFO,,DET,W 21-13,,8,53,6.63,0,2,2,22,11.00,0,100.0%,11.00,0,0
8,2001,2001-11-11,8,22.308,SFO,,NOR,W 28-27,,3,12,4.00,0,3,3,80,26.67,1,100.0%,26.67,1,6
9,2001,2001-11-18,9,22.315,SFO,@,CAR,W 25-22,,7,19,2.71,0,3,2,13,6.50,0,66.7%,4.33,0,0
10,2001,2001-11-25,10,22.322,SFO,@,IND,W 40-21,,8,42,5.25,0,0,0,0,,0,0.0%,,0,0
11,2001,2001-12-09,12,22.336,SFO,@,STL,L 14-27,,5,20,4.00,0,3,1,2,2.00,0,33.3%,0.67,0,0
12,2001,2001-12-16,13,22.343,SFO,,MIA,W 21-0,,14,39,2.79,2,1,1,14,14.00,0,100.0%,14.00,2,12
13,2001,2001-12-22,14,22.349,SFO,,PHI,W 13-3,,6,25,4.17,0,3,3,20,6.67,0,100.0%,6.67,0,0
14,2001,2001-12-30,15,22.357,SFO,@,DAL,L 21-27,,5,15,3.00,0,2,1,13,13.00,0,50.0%,6.50,0,0
15,2001,2002-01-06,16,22.364,SFO,@,NOR,W 38-0,,16,63,3.94,0,2,1,20,20.00,0,50.0%,10.00,0,0
16,2002,2002-09-05,1,23.241,SFO,@,NYG,W 16-13,,8,33,4.13,0,4,3,34,11.33,0,75.0%,8.50,0,0
17,2002,2002-09-15,2,23.251,SFO,,DEN,L 14-24,,7,47,6.71,0,1,1,9,9.00,0,100.0%,9.00,0,0
18,2002,2002-09-22,3,23.258,SFO,,WAS,W 20-10,,15,94,6.27,1,0,0,0,,0,0.0%,,1,6
19,2002,2002-10-06,4,23.272,SFO,,STL,W 37-13,,10,50,5.00,0,1,0,0,,0,0.0%,0.00,0,0
20,2002,2002-10-14,5,23.280,SFO,@,SEA,W 28-21,,12,68,5.67,1,1,0,0,,0,0.0%,0.00,1,6
21,2002,2002-10-20,6,23.286,SFO,@,NOR,L 27-35,,6,28,4.67,0,3,3,43,14.33,0,100.0%,14.33,0,0
22,2002,2002-10-27,7,23.293,SFO,,ARI,W 38-28,,18,51,2.83,1,4,4,35,8.75,1,100.0%,8.75,2,12
23,2002,2002-11-03,8,23.300,SFO,@,OAK,W 23-20,,15,60,4.00,0,1,0,0,,0,0.0%,0.00,0,0
24,2002,2002-11-10,9,23.307,SFO,,KAN,W 17-13,,9,37,4.11,1,2,1,9,9.00,0,50.0%,4.50,1,6
25,2002,2002-11-17,10,23.314,SFO,@,SDG,L 17-20,,13,49,3.77,0,1,1,3,3.00,0,100.0%,3.00,0,0
26,2002,2002-11-25,11,23.322,SFO,,PHI,L 17-38,,3,-3,-1.00,0,1,1,3,3.00,0,100.0%,3.00,0,0
27,2002,2002-12-15,14,23.342,SFO,,GNB,L 14-20,,6,24,4.00,0,0,0,0,,0,0.0%,,0,0
28,2002,2002-12-21,15,23.348,SFO,@,ARI,W 17-14,,13,50,3.85,0,0,0,0,,0,0.0%,,0,0
29,2002,2002-12-30,16,23.357,SFO,@,STL,L 20-31,,10,87,8.70,0,2,0,0,,0,0.0%,0.00,0,0
30,2003,2003-09-07,1,24.243,SFO,,CHI,W 49-7,,15,62,4.13,0,1,1,3,3.00,0,100.0%,3.00,0,0
31,2003,2003-09-14,2,24.250,SFO,@,STL,L 24-27,,11,45,4.09,1,4,3,35,11.67,0,75.0%,8.75,1,6
32,2003,2003-09-21,3,24.257,SFO,,CLE,L 12-13,,7,14,2.00,0,2,2,3,1.50,0,100.0%,1.50,0,0
33,2003,2003-09-28,4,24.264,SFO,@,MIN,L 7-35,,11,72,6.55,0,0,0,0,,0,0.0%,,0,0
34,2003,2003-10-05,5,24.271,SFO,,DET,W 24-17,,7,24,3.43,0,2,2,33,16.50,0,100.0%,16.50,0,0
35,2003,2003-10-12,6,24.278,SFO,@,SEA,L 19-20,,9,40,4.44,0,0,0,0,,0,0.0%,,0,0
36,2003,2003-10-19,7,24.285,SFO,,TAM,W 24-7,,15,75,5.00,0,0,0,0,,0,0.0%,,0,0
37,2003,2003-10-26,8,24.292,SFO,@,ARI,L 13-16,,9,19,2.11,0,4,4,26,6.50,0,100.0%,6.50,0,0
38,2003,2003-11-02,9,24.299,SFO,,STL,W 30-10,,14,76,5.43,0,4,3,31,10.33,0,75.0%,7.75,0,0
39,2003,2003-11-17,10,24.314,SFO,,PIT,W 30-14,,8,98,12.25,1,1,0,0,,0,0.0%,0.00,1,6
40,2003,2003-11-23,11,24.320,SFO,@,GNB,L 10-20,,4,18,4.50,0,0,0,0,,0,0.0%,,0,0
41,2003,2003-11-30,12,24.327,SFO,@,BAL,L 6-44,,11,48,4.36,0,3,2,16,8.00,0,66.7%,5.33,0,0
42,2003,2003-12-07,13,24.334,SFO,,ARI,W 50-14,*,18,154,8.56,1,5,3,23,7.67,0,60.0%,4.60,1,6
43,2003,2003-12-14,14,24.341,SFO,@,CIN,L 38-41,*,18,85,4.72,2,7,6,66,11.00,0,85.7%,9.43,2,12
44,2003,2003-12-21,15,24.348,SFO,@,PHI,W 31-28,*,30,154,5.13,1,5,3,33,11.00,1,60.0%,6.60,2,12
45,2003,2003-12-27,16,24.354,SFO,,SEA,L 17-24,*,14,40,2.86,0,6,6,38,6.33,0,100.0%,6.33,0,0
46,2004,2004-09-12,1,25.249,SFO,,ATL,L 19-21,*,19,76,4.00,0,2,1,15,15.00,0,50.0%,7.50,0,0
47,2004,2004-09-19,2,25.256,SFO,@,NOR,L 27-30,*,20,114,5.70,2,3,2,9,4.50,0,66.7%,3.00,2,12
48,2004,2004-09-26,3,25.263,SFO,@,SEA,L 0-34,*,10,22,2.20,0,2,2,14,7.00,0,100.0%,7.00,0,0
49,2004,2004-10-03,4,25.270,SFO,,STL,L 14-24,*,15,42,2.80,0,6,6,48,8.00,0,100.0%,8.00,0,0
50,2004,2004-10-10,5,25.277,SFO,,ARI,W 31-28,*,14,34,2.43,0,7,3,23,7.67,0,42.9%,3.29,0,0
51,2004,2004-10-17,6,25.284,SFO,@,NYJ,L 14-22,*,21,79,3.76,1,2,1,9,9.00,0,50.0%,4.50,1,6
52,2004,2004-10-31,7,25.298,SFO,@,CHI,L 13-23,*,18,56,3.11,0,3,3,16,5.33,0,100.0%,5.33,0,0
53,2004,2004-11-07,8,25.305,SFO,,SEA,L 27-42,*,18,61,3.39,1,2,2,18,9.00,0,100.0%,9.00,1,6
54,2004,2004-11-14,9,25.312,SFO,,CAR,L 27-37,*,21,47,2.24,2,2,2,14,7.00,0,100.0%,7.00,2,12
55,2004,2004-11-21,10,25.319,SFO,@,TAM,L 3-35,*,14,30,2.14,0,7,5,14,2.80,0,71.4%,2.00,0,0
56,2004,2004-11-28,11,25.326,SFO,,MIA,L 17-24,*,9,20,2.22,0,3,3,0,0.00,0,100.0%,0.00,0,0
57,2004,2004-12-05,12,25.333,SFO,@,STL,L 6-16,*,19,48,2.53,0,3,3,21,7.00,0,100.0%,7.00,0,0
58,2004,2004-12-18,14,25.346,SFO,,WAS,L 16-26,,6,18,3.00,0,0,0,0,,0,0.0%,,0,0
59,2004,2004-12-26,15,25.354,SFO,,BUF,L 7-41,*,15,72,4.80,1,0,0,0,,0,0.0%,,1,6
60,2004,2005-01-02,16,25.361,SFO,@,NWE,L 7-21,*,25,103,4.12,0,3,2,11,5.50,0,66.7%,3.67,0,0
61,2005,2005-09-11,1,26.247,SFO,,STL,W 28-25,*,14,22,1.57,1,2,2,17,8.50,0,100.0%,8.50,1,6
62,2005,2005-09-18,2,26.254,SFO,@,PHI,L 3-42,*,10,34,3.40,0,5,3,31,10.33,0,60.0%,6.20,0,0
63,2005,2005-09-25,3,26.261,SFO,,DAL,L 31-34,*,12,65,5.42,0,7,4,28,7.00,0,57.1%,4.00,0,0
64,2005,2005-10-02,4,26.268,SFO,@,ARI,L 14-31,*,10,45,4.50,0,4,3,10,3.33,0,75.0%,2.50,0,0
65,2005,2005-10-09,5,26.275,SFO,,IND,L 3-28,*,18,99,5.50,0,4,3,29,9.67,0,75.0%,7.25,0,0
66,2005,2005-10-23,6,26.289,SFO,@,WAS,L 17-52,*,14,54,3.86,1,0,0,0,,0,0.0%,,1,6
67,2005,2005-10-30,7,26.296,SFO,,TAM,W 15-10,*,26,101,3.88,0,3,2,21,10.50,0,66.7%,7.00,0,0
68,2005,2005-11-06,8,26.303,SFO,,NYG,L 6-24,*,10,4,0.40,0,6,6,41,6.83,0,100.0%,6.83,0,0
69,2005,2005-11-13,9,26.310,SFO,@,CHI,L 9-17,*,25,63,2.52,0,0,0,0,,0,0.0%,,0,0
70,2005,2005-11-20,10,26.317,SFO,,SEA,L 25-27,*,12,21,1.75,0,2,2,17,8.50,0,100.0%,8.50,0,0
71,2005,2005-11-27,11,26.324,SFO,@,TEN,L 22-33,*,14,40,2.86,1,5,4,17,4.25,0,80.0%,3.40,1,6
72,2005,2005-12-11,13,26.338,SFO,@,SEA,L 3-41,*,11,33,3.00,0,4,2,30,15.00,0,50.0%,7.50,0,0
73,2006,2006-09-10,1,27.246,NYJ,@,TEN,W 23-16,,11,35,3.18,1,1,0,0,,0,0.0%,0.00,1,6
74,2006,2006-09-17,2,27.253,NYJ,,NWE,L 17-24,,14,42,3.00,0,1,1,4,4.00,0,100.0%,4.00,0,0
75,2006,2006-09-24,3,27.260,NYJ,@,BUF,W 28-20,*,12,31,2.58,1,1,0,0,,0,0.0%,0.00,1,6
76,2006,2006-10-01,4,27.267,NYJ,,IND,L 28-31,*,13,35,2.69,2,0,0,0,,0,0.0%,,2,12
77,2006,2006-10-08,5,27.274,NYJ,@,JAX,L 0-41,,4,-1,-0.25,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0
78,2006,2006-10-15,6,27.281,NYJ,,MIA,W 20-17,,13,45,3.46,0,3,3,3,1.00,0,100.0%,1.00,0,0
79,2006,2006-10-22,7,27.288,NYJ,,DET,W 31-24,,12,49,4.08,1,1,0,0,,0,0.0%,0.00,1,6
80,2006,2006-10-29,8,27.295,NYJ,@,CLE,L 13-20,,5,16,3.20,0,1,1,8,8.00,0,100.0%,8.00,0,0
81,2006,2006-11-12,9,27.309,NYJ,@,NWE,W 17-14,,17,75,4.41,1,1,1,7,7.00,0,100.0%,7.00,1,6
82,2006,2006-11-19,10,27.316,NYJ,,CHI,L 0-10,,4,2,0.50,0,0,0,0,,0,0.0%,,0,0
83,2006,2006-11-26,11,27.323,NYJ,,HOU,W 26-11,*,8,5,0.63,0,0,0,0,,0,0.0%,,0,0
84,2006,2006-12-25,15,27.352,NYJ,@,MIA,W 13-10,,18,36,2.00,0,0,0,0,,0,0.0%,,0,0
