ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1991,1991-09-01,1,22.249,DAL,@,CLE,W 26-14,0,0,,0,,,,,,,,,
2,1991,1991-09-09,2,22.257,DAL,,WAS,L 31-33,2,4,2.00,0,,0,0,,0,,,0,0
3,1992,1992-09-07,1,23.256,DAL,,WAS,W 23-10,0,0,,0,,0,0,,0,0.0%,,0,
4,1992,1992-09-20,3,23.269,DAL,,PHO,W 31-20,7,32,4.57,0,1,1,4,4.00,0,100.0%,4.00,0,0
5,1992,1992-10-25,7,23.304,DAL,@,RAI,W 28-13,1,2,2.00,0,,0,0,,0,0.0%,,0,0
6,1992,1992-11-01,8,23.311,DAL,,PHI,W 20-10,0,0,,0,,0,0,,0,0.0%,,0,
7,1992,1992-11-08,9,23.318,DAL,@,DET,W 37-3,16,82,5.13,0,,0,0,,0,0.0%,,0,0
8,1992,1992-11-22,11,23.332,DAL,@,PHO,W 16-10,1,1,1.00,0,,0,0,,0,0.0%,,0,0
9,1992,1992-11-26,12,23.336,DAL,,NYG,W 30-3,8,32,4.00,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0
10,1992,1992-12-21,15,23.361,DAL,@,ATL,W 41-17,3,5,1.67,0,,0,0,,0,0.0%,,0,0
11,1992,1992-12-27,16,24.001,DAL,,CHI,W 27-14,13,22,1.69,1,1,1,6,6.00,0,100.0%,6.00,1,6
12,1993,1993-09-05,1,24.253,DET,,ATL,W 30-13,4,1,0.25,0,,0,0,,0,0.0%,,0,0
