ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1975,1975-09-21,1,21.349,SFO,@,MIN,L 17-27,,,,,,
2,1975,1975-09-28,2,21.356,SFO,,RAM,L 14-23,,,,,,
3,1975,1975-10-05,3,21.363,SFO,@,KAN,W 20-3,,,,,,
4,1975,1975-10-12,4,22.005,SFO,,ATL,L 3-17,,,,,,
5,1975,1975-10-19,5,22.012,SFO,,NOR,W 35-21,,,,,,
6,1975,1975-10-26,6,22.019,SFO,@,NWE,L 16-24,,,,,,
7,1975,1975-11-02,7,22.026,SFO,,DET,L 17-28,3,36,12.00,0,0,0
8,1975,1975-11-09,8,22.033,SFO,@,RAM,W 24-23,,,,,,
9,1975,1975-11-16,9,22.040,SFO,,CHI,W 31-3,,,,,,
10,1975,1975-11-23,10,22.047,SFO,@,NOR,W 16-6,,,,,,
11,1975,1975-11-30,11,22.054,SFO,@,PHI,L 17-27,,,,,,
12,1975,1975-12-07,12,22.061,SFO,,HOU,L 13-27,,,,,,
13,1975,1975-12-14,13,22.068,SFO,@,ATL,L 9-31,2,28,14.00,0,0,0
14,1975,1975-12-21,14,22.075,SFO,,NYG,L 23-26,,,,,,
15,1977,1977-09-18,1,23.346,WAS,@,NYG,L 17-20,,,,,,
16,1977,1977-10-02,3,23.360,DET,,PHI,W 17-13,,,,,,
17,1977,1977-10-09,4,24.002,DET,@,MIN,L 7-14,,,,,,
18,1977,1977-10-16,5,24.009,DET,,GNB,W 10-6,,,,,,
19,1977,1977-10-23,6,24.016,DET,@,SFO,L 7-28,,,,,,
20,1977,1977-10-30,7,24.023,DET,@,DAL,L 0-37,,,,,,
21,1977,1977-11-06,8,24.030,DET,,SDG,W 20-0,,,,,,
22,1977,1977-11-13,9,24.037,DET,@,ATL,L 6-17,,,,,,
23,1977,1977-11-20,10,24.044,DET,,TAM,W 16-7,,,,,,
24,1977,1977-11-24,11,24.048,DET,,CHI,L 14-31,,,,,,
25,1977,1977-12-04,12,24.058,DET,@,GNB,L 9-10,,,,,,
26,1977,1977-12-11,13,24.065,DET,@,BAL,W 13-10,,,,,,
27,1977,1977-12-17,14,24.071,DET,,MIN,L 21-30,,,,,,
28,1978,1978-11-19,12,25.043,PHI,@,NYG,W 19-17,,,,,,
29,1978,1978-11-26,13,25.050,PHI,@,STL,W 14-10,,,,,,
30,1978,1978-12-03,14,25.057,PHI,@,MIN,L 27-28,,,,,,
31,1978,1978-12-10,15,25.064,PHI,,DAL,L 13-31,,,,,,
32,1978,1978-12-17,16,25.071,PHI,,NYG,W 20-3,,,,,,
33,1980,1980-10-05,5,26.364,DEN,@,CLE,W 19-16,1,7,7.00,0,0,0
34,1980,1980-10-13,6,27.006,DEN,,WAS,W 20-17,,,,,,
35,1980,1980-10-26,8,27.019,GNB,,MIN,W 16-3,1,4,4.00,1,1,6
36,1980,1980-11-02,9,27.026,GNB,@,PIT,L 20-22,,,,,,
37,1980,1980-11-09,10,27.033,GNB,,SFO,W 23-16,1,7,7.00,0,0,0
38,1980,1980-11-16,11,27.040,GNB,@,NYG,L 21-27,,,,,,
39,1980,1980-11-23,12,27.047,GNB,@,MIN,W 25-13,,,,,,
40,1980,1980-11-30,13,27.054,GNB,,TAM,L 17-20,2,26,13.00,0,0,0
41,1980,1980-12-07,14,27.061,GNB,@,CHI,L 7-61,,,,,,
42,1980,1980-12-14,15,27.068,GNB,,HOU,L 3-22,,,,,,
43,1980,1980-12-21,16,27.075,GNB,@,DET,L 3-24,,,,,,
