ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1993,1993-09-05,1,23.309,HOU,@,NOR,L 21-33,,,,,,,0.0%,,0,0,,0
2,1993,1993-09-12,2,23.316,HOU,,KAN,W 30-0,,,,,,,0.0%,,0,0,,0
3,1993,1993-09-19,3,23.323,HOU,@,SDG,L 17-18,,,,,,,0.0%,,0,0,,0
4,1993,1993-09-26,4,23.330,HOU,,RAM,L 13-28,,,,,,,0.0%,,0,0,,0
5,1993,1993-10-11,5,23.345,HOU,@,BUF,L 7-35,,,0,0,,0,0.0%,,3,70,23.33,0
6,1993,1993-10-17,6,23.351,HOU,@,NWE,W 28-14,,,0,0,,0,0.0%,,1,14,14.00,0
7,1993,1993-10-24,7,23.358,HOU,,CIN,W 28-12,,,0,0,,0,0.0%,,1,22,22.00,0
8,1993,1993-11-07,8,24.007,HOU,,SEA,W 24-14,,,0,0,,0,0.0%,,2,29,14.50,0
9,1993,1993-11-14,9,24.014,HOU,@,CIN,W 38-3,,,0,0,,0,0.0%,,2,37,18.50,0
10,1993,1993-11-21,10,24.021,HOU,@,CLE,W 27-20,,,,,,,0.0%,,0,0,,0
11,1993,1993-11-28,11,24.028,HOU,,PIT,W 23-3,,,,,,,0.0%,,0,0,,0
12,1993,1993-12-05,12,24.035,HOU,,ATL,W 33-17,,,0,0,,0,0.0%,,1,37,37.00,0
13,1993,1993-12-12,13,24.042,HOU,,CLE,W 19-17,,,,,,,0.0%,,0,0,,0
14,1993,1993-12-19,14,24.049,HOU,@,PIT,W 26-17,,,0,0,,0,0.0%,,1,21,21.00,0
15,1993,1993-12-25,15,24.055,HOU,@,SFO,W 10-7,,,,,,,0.0%,,0,0,,0
16,1993,1994-01-02,16,24.063,HOU,,NYJ,W 24-0,,,,,,,0.0%,,0,0,,0
17,1994,1994-09-04,1,24.308,HOU,@,IND,L 21-45,,,0,0,,0,0.0%,,3,45,15.00,0
18,1994,1994-09-11,2,24.315,HOU,@,DAL,L 17-20,,,0,0,,0,0.0%,,2,34,17.00,0
19,1994,1994-09-18,3,24.322,HOU,,BUF,L 7-15,,,0,0,,0,0.0%,,1,34,34.00,0
20,1994,1994-09-25,4,24.329,HOU,,CIN,W 20-13,,,0,0,,0,0.0%,,0,0,,0
21,1994,1994-10-03,5,24.337,HOU,@,PIT,L 14-30,,,0,0,,0,0.0%,,4,63,15.75,0
22,1994,1994-10-13,6,24.347,HOU,,CLE,L 8-11,,,0,0,,0,0.0%,,2,42,21.00,0
23,1994,1994-10-24,7,24.358,HOU,@,PHI,L 6-21,,,0,0,,0,0.0%,,3,64,21.33,0
24,1994,1994-10-30,8,24.364,HOU,@,RAI,L 14-17,,,0,0,,0,0.0%,,0,0,,0
25,1994,1994-11-06,9,25.006,HOU,,PIT,L 9-12,,,0,0,,0,0.0%,,0,0,,0
26,1994,1994-11-13,10,25.013,HOU,@,CIN,L 31-34,,,0,0,,0,0.0%,,0,0,,0
27,1994,1994-11-21,11,25.021,HOU,,NYG,L 10-13,,,1,4,4.00,0,,,0,0,,0
28,1994,1994-11-27,12,25.027,HOU,@,CLE,L 10-34,,,0,0,,0,0.0%,,0,0,,0
29,1994,1994-12-04,13,25.034,HOU,,ARI,L 12-30,,,0,0,,0,0.0%,,0,0,,0
30,1994,1994-12-11,14,25.041,HOU,,SEA,L 14-16,,,0,0,,0,0.0%,,0,0,,0
31,1994,1994-12-18,15,25.048,HOU,@,KAN,L 9-31,,,0,0,,0,0.0%,,0,0,,0
32,1994,1994-12-24,16,25.054,HOU,,NYJ,W 24-10,,,0,0,,0,0.0%,,0,0,,0
33,1995,1995-09-03,1,25.307,HOU,@,JAX,W 10-3,,,,,,,0.0%,,,,,
34,1995,1995-09-10,2,25.314,HOU,,PIT,L 17-34,,,,,,,0.0%,,,,,
