ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2009,2009-09-20,2,23.029,CAR,@,ATL,L 20-28,,1,,,,,0.0%,,,,,,,,
2,2009,2009-09-28,3,23.037,CAR,@,DAL,L 7-21,,1,,,,,0.0%,,,,,,,,
3,2009,2009-10-11,4,23.050,CAR,,WAS,W 20-17,,,,,,,0.0%,,,,,,,,
4,2009,2009-10-18,5,23.057,CAR,@,TAM,W 28-21,,,,,,,0.0%,,,,,,,,
5,2009,2009-10-25,6,23.064,CAR,,BUF,L 9-20,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0
6,2009,2009-11-01,7,23.071,CAR,@,ARI,W 34-21,,,0,0,,0,0.0%,,0,0,,0,0.0,0,0
7,2009,2009-11-15,9,23.085,CAR,,ATL,W 28-19,*,1,,,,,0.0%,,,,,,,,
8,2009,2009-11-19,10,23.089,CAR,,MIA,L 17-24,,0,,,,,0.0%,,,,,,,,
9,2009,2009-12-27,15,23.127,CAR,@,NYG,W 41-9,,,,,,,0.0%,,,,,,,,
10,2009,2010-01-03,16,23.134,CAR,,NOR,W 23-10,,,,,,,0.0%,,,,,,,,
11,2010,2010-09-12,1,24.021,CAR,@,NYG,L 18-31,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
12,2010,2010-09-19,2,24.028,CAR,,TAM,L 7-20,,2,0,0,,0,0.0%,0.00,1,0,0.00,0,0.0,0,0
13,2010,2010-09-26,3,24.035,CAR,,CIN,L 7-20,*,,0,0,,0,0.0%,,0,0,,0,0.0,0,1
14,2010,2010-10-03,4,24.042,CAR,@,NOR,L 14-16,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,0,0
15,2010,2010-10-10,5,24.049,CAR,,CHI,L 6-23,,0,0,0,,0,0.0%,,1,3,3.00,0,0.0,0,0
16,2010,2010-10-24,6,24.063,CAR,,SFO,W 23-20,*,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,2,0
17,2010,2010-10-31,7,24.070,CAR,@,STL,L 10-20,,,,,,,0.0%,,,,,,,,
18,2010,2010-11-07,8,24.077,CAR,,NOR,L 3-34,,2,1,2,2.00,0,50.0%,1.00,1,11,11.00,0,0.0,0,0
19,2010,2010-11-14,9,24.084,CAR,@,TAM,L 16-31,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
20,2010,2010-11-21,10,24.091,CAR,,BAL,L 13-37,*,,,,,,0.0%,,,,,,,,
21,2010,2010-11-28,11,24.098,CAR,@,CLE,L 23-24,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0.0,0,0
22,2010,2010-12-05,12,24.105,CAR,@,SEA,L 14-31,*,3,2,17,8.50,0,66.7%,5.67,1,3,3.00,0,0.0,0,0
23,2010,2010-12-12,13,24.112,CAR,,ATL,L 10-31,,,,,,,0.0%,,,,,,,,
24,2010,2010-12-19,14,24.119,CAR,,ARI,W 19-12,*,0,0,0,,0,0.0%,,3,5,1.67,0,0.0,0,0
25,2011,2011-09-18,2,25.027,DAL,@,SFO,W 27-24,,,,,,,0.0%,,,,,,,,
26,2011,2011-09-26,3,25.035,DAL,,WAS,W 18-16,*,2,1,15,15.00,0,50.0%,7.50,1,0,0.00,0,0.0,0,0
27,2011,2011-10-23,6,25.062,DAL,,STL,W 34-7,*,0,,,,,0.0%,,,,,,,,
28,2011,2011-10-30,7,25.069,DAL,@,PHI,L 7-34,,,,,,,0.0%,,,,,,,,
29,2011,2011-11-06,8,25.076,DAL,,SEA,W 23-13,,0,,,,,0.0%,,,,,,,,
30,2011,2011-11-13,9,25.083,DAL,,BUF,W 44-7,*,,,,,,0.0%,,,,,,,,
31,2011,2011-12-11,13,25.111,DAL,,NYG,L 34-37,*,1,1,10,10.00,0,100.0%,10.00,2,3,1.50,0,0.0,0,0
32,2011,2011-12-17,14,25.117,DAL,@,TAM,W 31-15,,,,,,,0.0%,,,,,,,,
33,2011,2011-12-24,15,25.124,DAL,,PHI,L 7-20,*,1,0,0,,0,0.0%,0.00,1,1,1.00,0,0.0,0,0
34,2011,2012-01-01,16,25.132,DAL,@,NYG,L 14-31,*,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0.0,0,0
35,2013,2013-09-08,1,27.017,CHI,,CIN,W 24-21,*,,,,,,0.0%,,,,,,,,
36,2013,2013-09-15,2,27.024,CHI,,MIN,W 31-30,*,,,,,,0.0%,,,,,,,,
37,2013,2013-09-22,3,27.031,CHI,@,PIT,W 40-23,,,,,,,0.0%,,,,,,,,
38,2013,2013-09-29,4,27.038,CHI,@,DET,L 32-40,*,,,,,,0.0%,,,,,,,,
39,2013,2013-10-06,5,27.045,CHI,,NOR,L 18-26,,,,,,,0.0%,,,,,,,,
40,2013,2013-10-10,6,27.049,CHI,,NYG,W 27-21,*,1,1,30,30.00,0,100.0%,30.00,0,0,,0,0.0,0,0
41,2013,2013-10-20,7,27.059,CHI,@,WAS,L 41-45,,,,,,,0.0%,,,,,,,,
42,2013,2013-11-04,8,27.074,CHI,@,GNB,W 27-20,,,,,,,0.0%,,,,,,,,
43,2013,2013-11-10,9,27.080,CHI,,DET,L 19-21,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,0,0
