ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1970,1970-11-01,7,23.076,GNB,@,SFO,L 10-26,,,,
2,1970,1970-11-09,8,23.084,GNB,,BAL,L 10-13,,,,
3,1970,1970-11-15,9,23.090,GNB,,CHI,W 20-19,,,,
4,1970,1970-11-22,10,23.097,GNB,@,MIN,L 3-10,,,,
5,1970,1970-11-26,11,23.101,GNB,@,DAL,L 3-16,,,,
6,1970,1970-12-06,12,23.111,GNB,@,PIT,W 20-12,,,,
7,1970,1970-12-13,13,23.118,GNB,@,CHI,L 17-35,,,,
8,1970,1970-12-20,14,23.125,GNB,@,DET,L 0-20,2,-7,-3.50,0
