ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1953,1953-10-18,4,23.094,BAL,@,GNB,L 14-37,1,55,55.00,1,0,0,,0,,,,,,,1,,,,
2,1953,1953-10-31,6,23.107,BAL,,GNB,L 24-35,1,30,30.00,0,0,0,,0,,,,,,,0,,,,
3,1953,1953-11-15,8,23.122,BAL,@,PHI,L 14-45,1,66,66.00,1,0,0,,0,,,,,,,1,,,,
4,1956,1956-12-02,9,26.139,BAL,,SFO,L 17-20,0,0,,0,1,-1,-1.00,0,,,,,,,0,,,,
5,1958,1958-10-26,5,28.102,BAL,,WAS,W 35-10,1,5,5.00,0,0,0,,0,,,,,,,0,,,,
6,1958,1958-11-02,6,28.109,BAL,,GNB,W 56-0,2,18,9.00,1,0,0,,0,,,,,,,1,,,,
7,1958,1958-11-23,9,28.130,BAL,,RAM,W 34-7,1,11,11.00,0,0,0,,0,,,,,,,0,,,,
8,1960,1960-09-24,1,30.070,PIT,@,DAL,W 35-28,0,0,,0,0,0,,0,,,,,1,0.0,0,0,1,10,0
9,1960,1960-10-02,2,30.078,PIT,@,CLE,L 20-28,0,0,,0,0,0,,0,1,1,100.0,,,,0,1,,,
10,1960,1960-10-09,3,30.085,PIT,,NYG,L 17-19,0,0,,0,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,0
11,1960,1960-10-16,4,30.092,PIT,,STL,W 27-14,0,0,,0,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,0
12,1960,1960-10-23,5,30.099,PIT,@,WAS,T 27-27,0,0,,0,0,0,,0,,,,,1,0.0,0,0,0,0,0
