ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2013,2013-09-08,1,22.117,DAL,,NYG,W 36-31,,0,0,,0,,,,,,,0,0,0.0,0,1,0,0,0
2,2013,2013-09-15,2,22.124,DAL,@,KAN,L 16-17,,,,,,,,,,,,,,,,,,,
3,2013,2013-09-22,3,22.131,DAL,,STL,W 31-7,,0,0,,0,,,,,,,0,0,0.0,2,1,0,0,0
4,2013,2013-09-29,4,22.138,DAL,@,SDG,L 21-30,,,,,,,,,,,,,,,,,,,
5,2013,2013-10-06,5,22.145,DAL,,DEN,L 48-51,,0,0,,0,,,,,,,0,0,0.0,2,0,0,0,0
6,2013,2013-10-13,6,22.152,DAL,,WAS,W 31-16,,0,0,,0,,,,,,,0,0,0.0,2,0,0,0,0
7,2013,2013-10-20,7,22.159,DAL,@,PHI,W 17-3,,0,0,,0,,,,,,,0,0,0.0,1,0,0,0,0
8,2013,2013-10-27,8,22.166,DAL,@,DET,L 30-31,*,0,0,,0,,,,,,,0,0,0.0,5,4,0,0,0
9,2013,2013-11-03,9,22.173,DAL,,MIN,W 27-23,*,0,0,,0,,,,,,,0,0,0.0,2,0,0,0,0
10,2013,2013-11-10,10,22.180,DAL,@,NOR,L 17-49,*,0,0,,0,,,,,,,0,0,0.0,6,3,0,0,0
11,2013,2013-11-24,11,22.194,DAL,@,NYG,W 24-21,*,0,0,,0,,,,,,,0,6,0.0,5,1,0,0,0
12,2013,2013-11-28,12,22.198,DAL,,OAK,W 31-24,*,0,0,,0,,,,,,,0,0,0.0,6,1,0,0,0
13,2013,2013-12-09,13,22.209,DAL,@,CHI,L 28-45,*,0,0,,0,,,,,,,0,0,0.0,3,1,0,0,0
14,2013,2013-12-15,14,22.215,DAL,,GNB,L 36-37,*,0,0,,0,,,,,,,0,0,0.0,4,0,0,0,0
15,2013,2013-12-22,15,22.222,DAL,@,WAS,W 24-23,*,0,0,,0,,,,,,,0,0,0.0,4,1,1,0,0
16,2013,2013-12-29,16,22.229,DAL,,PHI,L 22-24,*,0,0,,0,,,,,,,0,0,0.0,5,0,0,0,0
17,2014,2014-09-07,1,23.116,DAL,,SFO,L 17-28,,0,0,,0,,,,,,,0,0,0.0,1,0,0,0,0
18,2014,2014-09-14,2,23.123,DAL,@,TEN,W 26-10,,0,0,,0,,,,,,,0,0,0.0,2,0,0,0,0
19,2014,2014-09-21,3,23.130,DAL,@,STL,W 34-31,,,,,,,,,,,,,,,,,,,
20,2014,2014-09-28,4,23.137,DAL,,NOR,W 38-17,,0,0,,0,,,,,,,0,0,0.0,1,0,0,0,0
21,2014,2014-10-05,5,23.144,DAL,,HOU,W 20-17,,0,0,,0,,,,,,,0,0,0.0,1,0,0,0,0
22,2014,2014-10-12,6,23.151,DAL,@,SEA,W 30-23,,,,,,,,,,,,,,,,,,,
23,2014,2014-10-19,7,23.158,DAL,,NYG,W 31-21,,0,0,,0,,,,,,,0,0,0.0,4,1,0,0,0
24,2014,2014-10-27,8,23.166,DAL,,WAS,L 17-20,,,,,,,,,,,,,,,,,,,
25,2014,2014-11-02,9,23.172,DAL,,ARI,L 17-28,,0,0,,0,,,,,,,0,0,0.0,1,0,0,0,0
26,2014,2014-11-09,10,23.179,DAL,@,JAX,W 31-17,,0,0,,0,,,,,,,0,0,0.0,3,0,0,0,0
27,2014,2014-11-23,11,23.193,DAL,@,NYG,W 31-28,,0,0,,0,,,,,,,0,0,0.0,3,0,0,0,0
28,2014,2014-12-14,14,23.214,DAL,@,PHI,W 38-27,,,,,,,,,,,,,,,,,,,
29,2014,2014-12-21,15,23.221,DAL,,IND,W 42-7,,,,,,,,,,,,,,,,,,,
30,2014,2014-12-28,16,23.228,DAL,@,WAS,W 44-17,,0,0,,0,,,,,,,0,0,0.0,1,0,0,0,0
31,2015,2015-09-13,1,24.122,DAL,,NYG,W 27-26,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
32,2015,2015-09-20,2,24.129,DAL,@,PHI,W 20-10,,0,0,,0,,,,,,,0,0,0.0,0,1,0,0,0
33,2015,2015-09-27,3,24.136,DAL,,ATL,L 28-39,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
34,2015,2015-10-04,4,24.143,DAL,@,NOR,L 20-26,,0,0,,0,,,,,,,0,0,0.0,1,0,0,0,0
35,2015,2015-10-11,5,24.150,DAL,,NWE,L 6-30,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
36,2015,2015-10-25,6,24.164,DAL,@,NYG,L 20-27,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
37,2015,2015-11-01,7,24.171,DAL,,SEA,L 12-13,,0,0,,0,,,,,,,0,0,0.0,1,0,0,0,0
38,2015,2015-11-08,8,24.178,DAL,,PHI,L 27-33,,0,0,,0,,,,,,,0,0,0.0,5,1,0,0,0
39,2015,2015-11-15,9,24.185,DAL,@,TAM,L 6-10,,0,0,,0,,,,,,,0,0,0.0,2,0,2,19,0
40,2015,2015-11-22,10,24.192,DAL,@,MIA,W 24-14,,0,0,,0,,,,,,,0,0,0.0,2,1,0,0,0
41,2015,2015-11-26,11,24.196,DAL,,CAR,L 14-33,*,0,0,,0,,,,,,,0,0,0.0,3,0,0,0,0
42,2015,2015-12-07,12,24.207,DAL,@,WAS,W 19-16,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
43,2015,2015-12-13,13,24.213,DAL,@,GNB,L 7-28,,0,0,,0,,,,,,,0,0,0.0,1,0,0,0,0
44,2015,2015-12-19,14,24.219,DAL,,NYJ,L 16-19,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
45,2015,2015-12-27,15,24.227,DAL,@,BUF,L 6-16,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
46,2015,2016-01-03,16,24.234,DAL,,WAS,L 23-34,,1,2,2.00,0,,,,,,,0,0,0.0,0,0,0,0,0
47,2016,2016-09-11,1,25.120,DAL,,NYG,L 19-20,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
48,2016,2016-09-18,2,25.127,DAL,@,WAS,W 27-23,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
49,2016,2016-09-25,3,25.134,DAL,,CHI,W 31-17,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
50,2016,2016-10-02,4,25.141,DAL,@,SFO,W 24-17,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
51,2016,2016-10-09,5,25.148,DAL,,CIN,W 28-14,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
52,2016,2016-10-16,6,25.155,DAL,@,GNB,W 30-16,,0,0,,0,,,,,,,0,0,0.0,2,0,0,0,0
53,2016,2016-10-30,7,25.169,DAL,,PHI,W 29-23,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,0
54,2016,2016-11-06,8,25.176,DAL,@,CLE,W 35-10,,0,0,,0,,,,,,,0,0,0.0,1,0,0,0,0
55,2016,2016-11-13,9,25.183,DAL,@,PIT,W 35-30,,0,0,,0,,,,,,,0,0,0.0,2,0,0,0,0
56,2016,2016-11-20,10,25.190,DAL,,BAL,W 27-17,,0,0,,0,,,,,,,0,0,0.0,0,1,0,0,0
