ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,2002,2002-09-22,3,23.119,GNB,@,DET,W 37-31,,1,6,1,78,1
2,2002,2002-09-29,4,23.126,GNB,,CAR,W 17-14,,,,,,
3,2002,2002-10-07,5,23.134,GNB,@,CHI,W 34-21,,,,,,
4,2002,2002-10-13,6,23.140,GNB,@,NWE,W 28-10,*,0,0,1,22,0
5,2002,2002-10-20,7,23.147,GNB,,WAS,W 30-9,*,,,,,
6,2002,2002-11-04,8,23.162,GNB,,MIA,W 24-10,*,,,,,
7,2002,2002-11-10,9,23.168,GNB,,DET,W 40-14,*,1,6,1,14,1
8,2002,2002-11-17,10,23.175,GNB,@,MIN,L 21-31,*,0,0,1,0,0
9,2002,2002-11-24,11,23.182,GNB,@,TAM,L 7-21,*,,,,,
10,2002,2002-12-01,12,23.189,GNB,,CHI,W 30-20,*,,,,,
11,2002,2002-12-08,13,23.196,GNB,,MIN,W 26-22,*,,,,,
12,2002,2002-12-15,14,23.203,GNB,@,SFO,W 20-14,*,,,,,
13,2002,2002-12-22,15,23.210,GNB,,BUF,W 10-0,*,,,,,
14,2002,2002-12-29,16,23.217,GNB,@,NYJ,L 17-42,*,,,,,
15,2003,2003-09-07,1,24.104,GNB,,MIN,L 25-30,,,,,,
16,2003,2003-09-14,2,24.111,GNB,,DET,W 31-6,,,,,,
17,2003,2003-09-21,3,24.118,GNB,@,ARI,L 13-20,,,,,,
18,2003,2003-09-29,4,24.126,GNB,@,CHI,W 38-23,,,,,,
19,2003,2003-10-05,5,24.132,GNB,,SEA,W 35-13,*,,,,,
20,2003,2003-10-12,6,24.139,GNB,,KAN,L 34-40,*,,,,,
21,2003,2003-10-19,7,24.146,GNB,@,STL,L 24-34,,0,0,1,3,0
22,2003,2003-11-02,8,24.160,GNB,@,MIN,W 30-27,,,,,,
23,2003,2003-11-10,9,24.168,GNB,,PHI,L 14-17,,,,,,
24,2003,2003-11-16,10,24.174,GNB,@,TAM,W 20-13,,,,,,
25,2003,2003-11-23,11,24.181,GNB,,SFO,W 20-10,,,,,,
26,2003,2003-11-27,12,24.185,GNB,@,DET,L 14-22,*,,,,,
27,2003,2003-12-07,13,24.195,GNB,,CHI,W 34-21,*,,,,,
28,2003,2003-12-14,14,24.202,GNB,@,SDG,W 38-21,*,,,,,
29,2003,2003-12-22,15,24.210,GNB,@,OAK,W 41-7,*,,,,,
30,2003,2003-12-28,16,24.216,GNB,,DEN,W 31-3,*,,,,,
31,2004,2004-09-12,1,25.109,OAK,@,PIT,L 21-24,*,,,,,
32,2004,2004-09-19,2,25.116,OAK,,BUF,W 13-10,*,,,,,
33,2004,2004-09-26,3,25.123,OAK,,TAM,W 30-20,,,,,,
34,2004,2004-10-03,4,25.130,OAK,@,HOU,L 17-30,,,,,,
35,2004,2004-10-10,5,25.137,OAK,@,IND,L 14-35,*,,,,,
36,2004,2004-10-17,6,25.144,OAK,,DEN,L 3-31,*,0,0,1,23,0
37,2004,2004-10-24,7,25.151,OAK,,NOR,L 26-31,*,,,,,
38,2004,2004-10-31,8,25.158,OAK,@,SDG,L 14-42,,,,,,
39,2004,2004-11-07,9,25.165,OAK,@,CAR,W 27-24,*,,,,,
40,2004,2004-11-21,10,25.179,OAK,,SDG,L 17-23,*,,,,,
41,2004,2004-11-28,11,25.186,OAK,@,DEN,W 25-24,,,,,,
42,2004,2004-12-19,14,25.207,OAK,,TEN,W 40-35,*,,,,,
43,2004,2004-12-25,15,25.213,OAK,@,KAN,L 30-31,*,,,,,
44,2004,2005-01-02,16,25.221,OAK,,JAX,L 6-13,*,,,,,
45,2005,2005-09-11,1,26.108,DEN,@,MIA,L 10-34,,,,,,
46,2005,2005-09-18,2,26.115,DEN,,SDG,W 20-17,*,,,,,
47,2005,2005-09-26,3,26.123,DEN,,KAN,W 30-10,,,,,,
48,2005,2005-10-02,4,26.129,DEN,@,JAX,W 20-7,,,,,,
49,2005,2005-10-09,5,26.136,DEN,,WAS,W 21-19,,,,,,
50,2005,2005-10-16,6,26.143,DEN,,NWE,W 28-20,*,,,,,
51,2005,2005-10-23,7,26.150,DEN,@,NYG,L 23-24,,,,,,
52,2005,2005-10-30,8,26.157,DEN,,PHI,W 49-21,,,,,,
53,2005,2005-11-13,9,26.171,DEN,@,OAK,W 31-17,*,,,,,
54,2005,2005-12-11,13,26.199,SFO,@,SEA,L 3-41,,,,,,
55,2005,2005-12-18,14,26.206,SFO,@,JAX,L 9-10,,,,,,
56,2005,2005-12-24,15,26.212,SFO,@,STL,W 24-20,,,,,,
57,2005,2006-01-01,16,26.220,SFO,,HOU,W 20-17,,,,,,
