ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2017,2017-09-10,1,23.224,HOU,,JAX,L 7-29,,1,1,100.0,,,,0,1
2,2017,2017-09-14,2,23.228,HOU,@,CIN,W 13-9,,1,1,100.0,2,2,100.0,0,7
3,2017,2017-09-24,3,23.238,HOU,@,NWE,L 33-36,,3,3,100.0,4,4,100.0,0,15
4,2017,2017-10-01,4,23.245,HOU,,TEN,W 57-14,,6,7,85.7,3,3,100.0,0,15
5,2017,2017-10-08,5,23.252,HOU,,KAN,L 34-42,,2,2,100.0,,,,0,2
6,2017,2017-10-15,6,23.259,HOU,,CLE,W 33-17,,2,3,66.7,1,1,100.0,0,5
7,2017,2017-10-29,7,23.273,HOU,@,SEA,L 38-41,,5,5,100.0,1,1,100.0,0,8
8,2017,2017-11-05,8,23.280,HOU,,IND,L 14-20,,2,2,100.0,,1,0.0,0,2
9,2017,2017-11-12,9,23.287,HOU,@,LAR,L 7-33,,1,1,100.0,,1,0.0,0,1
10,2017,2017-11-19,10,23.294,HOU,,ARI,W 31-21,,4,4,100.0,1,1,100.0,0,7
11,2017,2017-11-27,11,23.302,HOU,@,BAL,L 16-23,,1,1,100.0,3,3,100.0,0,10
12,2017,2017-12-03,12,23.308,HOU,@,TEN,L 13-24,,1,1,100.0,2,4,50.0,0,7
13,2017,2017-12-10,13,23.315,HOU,,SFO,L 16-26,,1,2,50.0,1,2,50.0,0,4
14,2017,2017-12-17,14,23.322,HOU,@,JAX,L 7-45,,1,1,100.0,,,,0,1
15,2017,2017-12-25,15,23.330,HOU,,PIT,L 6-34,,,,,,,,0,0
16,2017,2017-12-31,16,23.336,HOU,@,IND,L 13-22,,1,1,100.0,2,2,100.0,0,7
17,2018,2018-09-09,1,24.223,HOU,@,NWE,L 20-27,,2,2,100.0,2,2,100.0,0,8
18,2018,2018-09-16,2,24.230,HOU,@,TEN,L 17-20,,2,2,100.0,1,2,50.0,0,5
19,2018,2018-09-23,3,24.237,HOU,,NYG,L 22-27,,1,1,100.0,3,3,100.0,0,10
