ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1970,1970-11-22,10,22.066,STL,@,KAN,T 6-6,,,,,,,,
2,1970,1970-11-29,11,22.073,STL,,PHI,W 23-14,,,,,,,,
3,1970,1970-12-06,12,22.080,STL,@,DET,L 3-16,,,,,,,,
4,1970,1970-12-13,13,22.087,STL,,NYG,L 17-34,,,,,,,,
5,1970,1970-12-20,14,22.094,STL,@,WAS,L 27-28,0,0,,0,3,65,21.67,0
6,1971,1971-09-19,1,23.002,STL,,WAS,L 17-24,,,,,,,,
7,1971,1971-09-27,2,23.010,STL,,NYJ,W 17-10,,,,,,,,
8,1971,1971-10-03,3,23.016,STL,,NYG,L 20-21,,,,,,,,
9,1971,1971-10-10,4,23.023,STL,@,ATL,W 26-9,1,3,3.00,0,0,0,,0
10,1971,1971-10-17,5,23.030,STL,@,WAS,L 0-20,,,,,,,,
11,1971,1971-10-24,6,23.037,STL,,SFO,L 14-26,,,,,,,,
