ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2009,2009-09-13,1,24.206,CAR,,PHI,L 10-38,,0,,,,,0.0%,,,,,,,,,
2,2009,2009-09-20,2,24.213,CAR,@,ATL,L 20-28,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0
3,2009,2009-09-28,3,24.221,CAR,@,DAL,L 7-21,,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0
4,2009,2009-10-11,4,24.234,CAR,,WAS,W 20-17,,0,0,0,,0,0.0%,,3,89,29.67,0,1,4,4.00,0
5,2009,2009-10-18,5,24.241,CAR,@,TAM,W 28-21,,0,0,0,,0,0.0%,,3,59,19.67,0,0,0,,0
6,2009,2009-10-25,6,24.248,CAR,,BUF,L 9-20,,2,0,0,,0,0.0%,0.00,2,30,15.00,0,1,0,0.00,0
7,2009,2009-11-01,7,24.255,CAR,@,ARI,W 34-21,,0,0,0,,0,0.0%,,1,16,16.00,0,0,0,,0
8,2009,2009-11-08,8,24.262,CAR,@,NOR,L 20-30,,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,0
9,2009,2009-12-06,12,24.290,CAR,,TAM,W 16-6,,,,,,,0.0%,,,,,,,,,
10,2009,2009-12-20,14,24.304,CAR,,MIN,W 26-7,,1,,,,,0.0%,,,,,,,,,
11,2009,2009-12-27,15,24.311,CAR,@,NYG,W 41-9,,3,2,12,6.00,0,66.7%,4.00,1,25,25.00,0,0,0,,0
12,2009,2010-01-03,16,24.318,CAR,,NOR,W 23-10,*,1,,,,,0.0%,,,,,,,,,
13,2010,2010-10-10,5,25.233,IND,,KAN,W 19-9,,0,0,0,,0,0.0%,,2,41,20.50,0,3,4,1.33,0
14,2010,2010-10-17,6,25.240,IND,@,WAS,W 27-24,,0,0,0,,0,0.0%,,3,61,20.33,0,3,32,10.67,0
