ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,25.015,NYG,@,PIT,W 18-7,21,91,4.33,0,0,0,,0
2,1950,1950-10-01,2,25.029,NYG,@,CLE,W 6-0,5,8,1.60,1,0,0,,0
3,1950,1950-10-22,5,25.050,NYG,,CLE,W 17-13,13,68,5.23,0,0,0,,0
4,1950,1950-10-29,6,25.057,NYG,@,CRD,L 3-17,10,19,1.90,0,0,0,,0
5,1950,1950-11-05,7,25.064,NYG,,WAS,W 24-21,17,78,4.59,0,0,0,,0
6,1950,1950-11-12,8,25.071,NYG,,CRD,W 51-21,2,9,4.50,0,0,0,,0
7,1950,1950-11-19,9,25.078,NYG,@,BAL,W 55-20,14,145,10.36,2,0,0,,0
8,1950,1950-11-26,10,25.085,NYG,,PHI,W 7-3,7,26,3.71,0,0,0,,0
9,1950,1950-12-03,11,25.092,NYG,,NYY,W 51-7,18,156,8.67,1,0,0,,0
10,1950,1950-12-10,12,25.099,NYG,@,PHI,W 9-7,19,103,5.42,0,0,0,,0
11,1951,1951-10-01,1,26.029,NYG,@,PIT,T 13-13,14,73,5.21,0,0,0,,0
12,1951,1951-10-07,2,26.035,NYG,@,WAS,W 35-14,17,59,3.47,1,0,0,,0
13,1951,1951-10-14,3,26.042,NYG,,CRD,W 28-17,19,107,5.63,2,0,0,,0
14,1951,1951-10-21,4,26.049,NYG,,PHI,W 26-24,26,101,3.88,1,0,0,,0
15,1951,1951-10-28,5,26.056,NYG,@,CLE,L 13-14,24,61,2.54,0,1,4,4.00,0
16,1951,1951-11-04,6,26.063,NYG,,NYY,W 37-31,20,15,0.75,1,0,0,,0
17,1951,1951-11-11,7,26.070,NYG,,WAS,W 28-14,14,58,4.14,1,0,0,,0
18,1951,1951-11-18,8,26.077,NYG,,CLE,L 0-10,19,61,3.21,0,1,-2,-2.00,0
19,1951,1951-11-25,9,26.084,NYG,@,CRD,W 10-0,32,47,1.47,0,0,0,,0
20,1951,1951-12-02,10,26.091,NYG,,PIT,W 14-0,29,80,2.76,0,0,0,,0
21,1951,1951-12-09,11,26.098,NYG,@,PHI,W 23-7,27,171,6.33,1,0,0,,0
22,1951,1951-12-16,12,26.105,NYG,@,NYY,W 27-17,30,138,4.60,0,0,0,,0
23,1952,1952-09-28,1,27.026,NYG,@,DTX,W 24-6,19,130,6.84,1,0,0,,0
24,1952,1952-10-04,2,27.032,NYG,@,PHI,W 31-7,16,119,7.44,0,3,8,2.67,0
25,1952,1952-10-12,3,27.040,NYG,@,CLE,W 17-9,19,67,3.53,0,1,1,1.00,0
26,1952,1952-10-19,4,27.047,NYG,,CRD,L 23-24,13,35,2.69,0,0,0,,0
27,1952,1952-10-26,5,27.054,NYG,,PHI,L 10-14,11,7,0.64,0,0,0,,0
28,1952,1952-11-02,6,27.061,NYG,@,CRD,W 28-6,27,116,4.30,2,0,0,,0
29,1952,1952-11-09,7,27.068,NYG,,SFO,W 23-14,27,106,3.93,1,0,0,,0
30,1952,1952-11-16,8,27.075,NYG,,GNB,L 3-17,20,61,3.05,0,0,0,,0
31,1952,1952-11-23,9,27.082,NYG,@,WAS,W 14-10,17,93,5.47,1,1,-5,-5.00,0
32,1952,1952-11-30,10,27.089,NYG,@,PIT,L 7-63,9,3,0.33,0,0,0,,0
33,1952,1952-12-07,11,27.096,NYG,,WAS,L 17-27,5,11,2.20,0,0,0,,0
34,1953,1953-09-27,1,28.025,NYG,@,RAM,L 7-21,7,17,2.43,0,1,9,9.00,0
35,1953,1953-10-03,2,28.031,NYG,@,PIT,L 14-24,14,27,1.93,0,3,27,9.00,0
36,1953,1953-10-11,3,28.039,NYG,@,WAS,L 9-13,11,18,1.64,0,4,12,3.00,0
37,1953,1953-10-18,4,28.046,NYG,,CRD,W 21-7,10,29,2.90,0,1,10,10.00,0
38,1953,1953-10-25,5,28.053,NYG,,CLE,L 0-7,6,7,1.17,0,0,0,,0
39,1953,1953-11-01,6,28.060,NYG,@,CRD,W 23-20,9,15,1.67,1,1,-2,-2.00,0
40,1953,1953-11-15,8,28.074,NYG,,PIT,L 10-14,3,2,0.67,0,0,0,,0
41,1953,1953-11-22,9,28.081,NYG,,WAS,L 21-24,16,41,2.56,1,5,43,8.60,0
42,1953,1953-11-29,10,28.088,NYG,,PHI,W 37-28,10,21,2.10,0,3,60,20.00,1
43,1953,1953-12-06,11,28.095,NYG,@,CLE,L 14-62,9,25,2.78,0,0,0,,0
44,1953,1953-12-13,12,28.102,NYG,,DET,L 16-27,6,4,0.67,0,8,74,9.25,0
45,1954,1954-09-26,1,29.024,NYG,@,CRD,W 41-10,11,33,3.00,0,2,21,10.50,0
46,1954,1954-10-02,2,29.030,NYG,@,BAL,L 14-20,14,51,3.64,0,3,18,6.00,0
47,1954,1954-10-10,3,29.038,NYG,@,WAS,W 51-21,9,25,2.78,0,0,0,,0
48,1954,1954-10-17,4,29.045,NYG,,CRD,W 31-17,6,35,5.83,0,3,82,27.33,1
49,1954,1954-10-24,5,29.052,NYG,,WAS,W 24-7,10,61,6.10,0,1,26,26.00,1
50,1954,1954-10-31,6,29.059,NYG,@,CLE,L 14-24,9,65,7.22,0,3,99,33.00,1
51,1954,1954-11-07,7,29.066,NYG,@,PIT,W 30-6,17,90,5.29,1,5,25,5.00,0
52,1954,1954-11-14,8,29.073,NYG,,PHI,W 27-14,16,66,4.13,0,3,25,8.33,0
53,1954,1954-11-21,9,29.080,NYG,,RAM,L 16-17,8,24,3.00,0,0,0,,0
54,1954,1954-11-28,10,29.087,NYG,,CLE,L 7-16,10,17,1.70,0,4,32,8.00,0
55,1954,1954-12-05,11,29.094,NYG,,PIT,W 24-3,15,57,3.80,1,4,24,6.00,0
56,1954,1954-12-12,12,29.101,NYG,@,PHI,L 14-29,10,31,3.10,0,0,0,,0
57,1955,1955-09-24,1,30.022,NYG,@,PHI,L 17-27,14,27,1.93,0,1,2,2.00,0
58,1955,1955-10-02,2,30.030,NYG,@,CRD,L 17-28,10,58,5.80,0,0,0,,0
59,1955,1955-10-09,3,30.037,NYG,@,PIT,L 23-30,1,2,2.00,0,0,0,,0
60,1955,1955-11-27,10,30.086,NYG,,CLE,T 35-35,4,22,5.50,0,0,0,,0
61,1955,1955-12-04,11,30.093,NYG,@,WAS,W 27-20,1,0,0.00,0,0,0,,0
