ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-09-09,1,22.127,NWE,,IND,W 27-24,,,,,,,,,,,
2,2004,2004-09-19,2,22.137,NWE,@,ARI,W 23-12,,,,,,,,,,,
3,2004,2004-10-03,3,22.151,NWE,@,BUF,W 31-17,,,,,,,,,,,
4,2004,2004-10-10,4,22.158,NWE,,MIA,W 24-10,,0,0,,0,0.0,,,1,10,0
5,2004,2004-10-17,5,22.165,NWE,,SEA,W 30-20,,,,,,,,,,,
6,2004,2004-10-24,6,22.172,NWE,,NYJ,W 13-7,*,,,,,,,,,,
7,2004,2004-10-31,7,22.179,NWE,@,PIT,L 20-34,,,,,,,,,,,
8,2004,2004-11-07,8,22.186,NWE,@,STL,W 40-22,*,,,,,,,,,,
9,2004,2004-11-14,9,22.193,NWE,,BUF,W 29-6,*,,,,,,,,,,
10,2004,2004-11-22,10,22.201,NWE,@,KAN,W 27-19,*,,,,,,,,,,
11,2004,2004-11-28,11,22.207,NWE,,BAL,W 24-3,*,0,0,,0,0.0,,,1,13,0
12,2004,2004-12-05,12,22.214,NWE,@,CLE,W 42-15,*,1,0,0.00,0,0.0,,,0,0,0
13,2004,2004-12-12,13,22.221,NWE,,CIN,W 35-28,*,,,,,,,,,,
14,2004,2004-12-20,14,22.229,NWE,@,MIA,L 28-29,*,,,,,,,,,,
15,2004,2005-01-02,16,22.242,NWE,,SFO,W 21-7,*,,,,,,,,,,
16,2005,2005-09-08,1,23.126,NWE,,OAK,W 30-20,,,,,,,,,,,
17,2005,2005-09-18,2,23.136,NWE,@,CAR,L 17-27,*,,,,,,,,,,
18,2005,2005-10-16,6,23.164,NWE,@,DEN,L 20-28,,,,,,,,,,,
19,2005,2005-11-07,8,23.186,NWE,,IND,L 21-40,*,,,,,,,,,,
20,2005,2005-11-13,9,23.192,NWE,@,MIA,W 23-16,,,,,,,,,,,
21,2006,2006-09-10,1,24.128,NWE,,BUF,W 19-17,,,,,,,,,,,
22,2006,2006-09-17,2,24.135,NWE,@,NYJ,W 24-17,,,,,,,,,,,
23,2006,2006-09-24,3,24.142,NWE,,DEN,L 7-17,,,,,,,,,,,
24,2007,2007-09-09,1,25.127,NWE,@,NYJ,W 38-14,*,,,,,,,,,,
25,2007,2007-09-16,2,25.134,NWE,,SDG,W 38-14,*,,,,,,,,,,
26,2007,2007-09-23,3,25.141,NWE,,BUF,W 38-7,,,,,,,,,,,
27,2007,2007-10-01,4,25.149,NWE,@,CIN,W 34-13,,0,0,,0,0.0,,,1,0,0
28,2007,2007-10-07,5,25.155,NWE,,CLE,W 34-17,,,,,,,,,,,
29,2007,2007-10-14,6,25.162,NWE,@,DAL,W 48-27,,,,,,,,,,,
30,2007,2007-10-21,7,25.169,NWE,@,MIA,W 49-28,,0,0,,0,0.0,,,1,31,0
31,2007,2007-10-28,8,25.176,NWE,,WAS,W 52-7,,,,,,,,,,,
32,2007,2007-11-04,9,25.183,NWE,@,IND,W 24-20,*,,,,,,,,,,
33,2007,2007-11-18,10,25.197,NWE,@,BUF,W 56-10,,0,0,,0,0.0,,,1,21,0
34,2007,2007-11-25,11,25.204,NWE,,PHI,W 31-28,,,,,,,,,,,
35,2007,2007-12-03,12,25.212,NWE,@,BAL,W 27-24,,,,,,,,,,,
36,2007,2007-12-09,13,25.218,NWE,,PIT,W 34-13,,,,,,,,,,,
37,2007,2007-12-16,14,25.225,NWE,,NYJ,W 20-10,,,,,,,,,,,
38,2007,2007-12-23,15,25.232,NWE,,MIA,W 28-7,,,,,,,,,,,
39,2007,2007-12-29,16,25.238,NWE,@,NYG,W 38-35,,,,,,,,,,,
40,2008,2008-09-07,1,26.125,NOR,,TAM,W 24-20,*,0,0,,0,0.0,5,0,0,0,0
41,2008,2008-09-21,3,26.139,NOR,@,DEN,L 32-34,*,,,,,,,,,,
42,2008,2008-10-06,5,26.154,NOR,,MIN,L 27-30,,0,0,,0,0.0,2,0,0,0,0
43,2008,2008-10-12,6,26.160,NOR,,OAK,W 34-3,*,0,0,,0,0.0,4,0,0,0,0
44,2008,2008-10-19,7,26.167,NOR,@,CAR,L 7-30,*,0,0,,0,0.0,2,0,0,0,0
45,2008,2008-10-26,8,26.174,NOR,,SDG,W 37-32,*,0,0,,0,0.0,6,1,0,0,0
46,2008,2008-11-09,9,26.188,NOR,@,ATL,L 20-34,*,0,0,,0,0.0,5,0,0,0,0
47,2008,2008-11-16,10,26.195,NOR,@,KAN,W 30-20,*,0,0,,0,0.0,4,1,0,0,0
48,2008,2008-11-24,11,26.203,NOR,,GNB,W 51-29,*,0,0,,0,1.0,5,0,0,0,0
49,2008,2008-11-30,12,26.209,NOR,@,TAM,L 20-23,*,0,0,,0,0.0,3,0,0,0,0
50,2008,2008-12-07,13,26.216,NOR,,ATL,W 29-25,*,,,,,,,,,,
51,2008,2008-12-11,14,26.220,NOR,@,CHI,L 24-27,*,0,0,,0,0.0,4,1,0,0,0
52,2008,2008-12-21,15,26.230,NOR,@,DET,W 42-7,*,0,0,,0,0.0,0,1,0,0,0
53,2008,2008-12-28,16,26.237,NOR,,CAR,L 31-33,*,0,0,,0,0.0,8,0,0,0,0
54,2009,2009-09-13,1,27.131,NOR,,DET,W 45-27,,0,0,,0,0.0,1,0,0,0,0
55,2009,2009-09-20,2,27.138,NOR,@,PHI,W 48-22,,0,0,,0,0.0,1,1,0,0,0
56,2009,2009-09-27,3,27.145,NOR,@,BUF,W 27-7,*,0,0,,0,0.0,0,2,0,0,0
57,2009,2009-10-04,4,27.152,NOR,,NYJ,W 24-10,,0,0,,0,0.0,0,0,1,25,0
58,2009,2009-10-18,5,27.166,NOR,,NYG,W 48-27,,0,0,,0,0.0,1,0,0,0,0
59,2009,2009-10-25,6,27.173,NOR,@,MIA,W 46-34,,0,0,,0,0.0,3,0,0,0,0
60,2009,2009-11-02,7,27.181,NOR,,ATL,W 35-27,,0,0,,0,0.0,3,0,0,0,0
61,2009,2009-11-08,8,27.187,NOR,,CAR,W 30-20,,0,0,,0,0.0,2,1,0,0,0
62,2009,2009-11-15,9,27.194,NOR,@,STL,W 28-23,*,0,0,,0,0.0,4,0,0,0,0
63,2009,2009-11-22,10,27.201,NOR,@,TAM,W 38-7,*,,,,,,,,,,
64,2009,2009-11-30,11,27.209,NOR,,NWE,W 38-17,*,0,0,,0,0.0,2,0,0,0,0
65,2009,2009-12-13,13,27.222,NOR,@,ATL,W 26-23,*,0,0,,0,0.0,7,1,0,0,0
66,2009,2009-12-19,14,27.228,NOR,,DAL,L 17-24,*,0,0,,0,0.0,1,0,0,0,0
67,2009,2010-01-03,16,27.243,NOR,@,CAR,L 10-23,*,0,0,,0,1.0,7,0,0,0,0
68,2010,2010-09-09,1,28.127,NOR,,MIN,W 14-9,,0,0,,0,0.0,1,2,0,0,0
69,2010,2010-09-20,2,28.138,NOR,@,SFO,W 25-22,,0,0,,0,0.0,1,0,0,0,0
70,2010,2010-10-03,4,28.151,NOR,,CAR,W 16-14,,0,0,,0,0.0,0,0,0,0,0
71,2010,2010-10-10,5,28.158,NOR,@,ARI,L 20-30,,,,,,,,,,,
