ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1979,1979-09-02,1,23.162,PHI,,NYG,W 23-17,0,0,,0,6,208,34.67,1
2,1979,1979-09-10,2,23.170,PHI,,ATL,L 10-14,0,0,,0,5,173,34.60,0
3,1979,1979-09-16,3,23.176,PHI,@,NOR,W 26-14,0,0,,0,3,104,34.67,0
4,1979,1979-09-23,4,23.183,PHI,@,NYG,W 17-13,0,0,,0,4,144,36.00,0
5,1979,1979-09-30,5,23.190,PHI,,PIT,W 17-14,0,0,,0,5,225,45.00,0
6,1979,1979-10-07,6,23.197,PHI,,WAS,W 28-17,0,0,,0,4,178,44.50,0
7,1979,1979-10-14,7,23.204,PHI,@,STL,W 24-20,0,0,,0,2,66,33.00,0
8,1979,1979-10-21,8,23.211,PHI,@,WAS,L 7-17,0,0,,0,6,263,43.83,0
9,1979,1979-10-28,9,23.218,PHI,@,CIN,L 13-37,0,0,,0,4,154,38.50,0
10,1979,1979-11-04,10,23.225,PHI,,CLE,L 19-24,0,0,,0,3,132,44.00,0
11,1979,1979-11-12,11,23.233,PHI,@,DAL,W 31-21,0,0,,0,8,312,39.00,0
12,1979,1979-11-18,12,23.239,PHI,,STL,W 16-13,0,0,,0,7,267,38.14,0
13,1979,1979-11-25,13,23.246,PHI,@,GNB,W 21-10,0,0,,0,7,284,40.57,0
14,1979,1979-12-02,14,23.253,PHI,,DET,W 44-7,0,0,,0,1,33,33.00,0
15,1979,1979-12-08,15,23.259,PHI,,DAL,L 17-24,0,0,,0,5,203,40.60,0
16,1979,1979-12-16,16,23.267,PHI,@,HOU,W 26-20,0,0,,0,4,181,45.25,0
17,1980,1980-09-07,1,24.167,PHI,,DEN,W 27-6,0,0,,0,5,196,39.20,0
18,1980,1980-09-14,2,24.174,PHI,@,MIN,W 42-7,0,0,,0,3,84,28.00,0
19,1980,1980-09-22,3,24.182,PHI,,NYG,W 35-3,0,0,,0,5,198,39.60,0
20,1980,1980-09-28,4,24.188,PHI,@,STL,L 14-24,0,0,,0,4,147,36.75,0
21,1980,1980-10-05,5,24.195,PHI,,WAS,W 24-14,0,0,,0,6,252,42.00,0
22,1980,1980-10-12,6,24.202,PHI,@,NYG,W 31-16,0,0,,0,4,126,31.50,0
23,1980,1980-10-19,7,24.209,PHI,,DAL,W 17-10,0,0,,0,4,185,46.25,0
24,1980,1980-10-26,8,24.216,PHI,,CHI,W 17-14,0,0,,0,2,81,40.50,0
25,1980,1980-11-02,9,24.223,PHI,@,SEA,W 27-20,0,0,,0,2,74,37.00,1
26,1980,1980-11-09,10,24.230,PHI,@,NOR,W 34-21,0,0,,0,4,176,44.00,0
27,1980,1980-11-16,11,24.237,PHI,@,WAS,W 24-0,0,0,,0,5,197,39.40,0
28,1980,1980-11-23,12,24.244,PHI,,OAK,W 10-7,0,0,,0,10,353,35.30,0
29,1980,1980-11-30,13,24.251,PHI,@,SDG,L 21-22,0,0,,0,5,235,47.00,0
30,1980,1980-12-07,14,24.258,PHI,,ATL,L 17-20,0,0,,0,7,284,40.57,0
31,1980,1980-12-14,15,24.265,PHI,,STL,W 17-3,0,0,,0,6,221,36.83,0
32,1980,1980-12-21,16,24.272,PHI,@,DAL,L 27-35,0,0,,0,3,138,46.00,0
33,1981,1981-09-06,1,25.166,PHI,@,NYG,W 24-10,0,0,,0,6,241,40.17,0
34,1981,1981-09-13,2,25.173,PHI,,NWE,W 13-3,0,0,,0,6,279,46.50,0
35,1981,1981-09-17,3,25.177,PHI,@,BUF,W 20-14,0,0,,0,3,116,38.67,0
36,1981,1981-09-27,4,25.187,PHI,,WAS,W 36-13,0,0,,0,4,184,46.00,0
37,1981,1981-10-05,5,25.195,PHI,,ATL,W 16-13,0,0,,0,5,196,39.20,0
38,1981,1981-10-11,6,25.201,PHI,@,NOR,W 31-14,0,0,,0,1,36,36.00,0
39,1981,1981-10-18,7,25.208,PHI,@,MIN,L 23-35,0,0,,0,3,133,44.33,0
40,1981,1981-10-25,8,25.215,PHI,,TAM,W 20-10,0,0,,0,4,137,34.25,0
41,1981,1981-11-01,9,25.222,PHI,,DAL,L 14-17,0,0,,0,5,204,40.80,0
42,1981,1981-11-08,10,25.229,PHI,@,STL,W 52-10,0,0,,0,2,89,44.50,0
43,1981,1981-11-22,12,25.243,PHI,,NYG,L 10-20,0,0,,0,8,269,33.63,0
44,1981,1981-11-30,13,25.251,PHI,@,MIA,L 10-13,0,0,,0,8,353,44.13,0
45,1981,1981-12-06,14,25.257,PHI,@,WAS,L 13-15,0,0,,0,4,167,41.75,0
46,1981,1981-12-13,15,25.264,PHI,@,DAL,L 10-21,0,0,,0,2,89,44.50,0
47,1981,1981-12-20,16,25.271,PHI,,STL,W 38-0,0,0,,0,2,74,37.00,0
48,1982,1982-09-12,1,26.172,PHI,,WAS,L 34-37,0,0,,0,4,174,43.50,0
49,1982,1982-09-19,2,26.179,PHI,@,CLE,W 24-21,0,0,,0,3,108,36.00,0
50,1982,1982-11-21,3,26.242,PHI,,CIN,L 14-18,0,0,,0,3,121,40.33,0
51,1982,1982-11-28,4,26.249,PHI,@,WAS,L 9-13,0,0,,0,5,180,36.00,0
52,1982,1982-12-05,5,26.256,PHI,,STL,L 20-23,0,0,,0,4,182,45.50,0
53,1982,1982-12-11,6,26.262,PHI,@,NYG,L 7-23,0,0,,0,10,404,40.40,0
54,1982,1982-12-19,7,26.270,PHI,,HOU,W 35-14,0,0,,0,5,209,41.80,0
55,1982,1982-12-26,8,26.277,PHI,@,DAL,W 24-20,0,0,,0,5,227,45.40,0
56,1982,1983-01-02,9,26.284,PHI,,NYG,L 24-26,0,0,,0,5,179,35.80,0
57,1983,1983-09-03,1,27.163,PHI,@,SFO,W 22-17,0,0,,0,3,111,37.00,0
58,1983,1983-09-11,2,27.171,PHI,,WAS,L 13-23,0,0,,0,4,156,39.00,0
59,1983,1983-09-18,3,27.178,PHI,@,DEN,W 13-10,0,0,,0,6,281,46.83,0
60,1983,1983-09-25,4,27.185,PHI,,STL,L 11-14,0,0,,0,6,235,39.17,0
61,1983,1983-10-30,9,27.220,PHI,,BAL,L 21-22,0,0,,0,3,114,38.00,0
62,1983,1983-11-06,10,27.227,PHI,,DAL,L 20-27,0,0,,0,4,176,44.00,0
63,1983,1983-11-13,11,27.234,PHI,@,CHI,L 14-17,0,0,,0,5,179,35.80,0
64,1983,1983-11-20,12,27.241,PHI,,NYG,L 0-23,0,0,,0,11,491,44.64,0
65,1983,1983-11-27,13,27.248,PHI,@,WAS,L 24-28,0,0,,0,3,128,42.67,0
66,1983,1983-12-04,14,27.255,PHI,,RAM,W 13-9,0,0,,0,6,260,43.33,0
67,1983,1983-12-11,15,27.262,PHI,,NOR,L 17-20,0,0,,0,3,144,48.00,0
68,1983,1983-12-18,16,27.269,PHI,@,STL,L 7-31,1,6,6.00,0,5,184,36.80,0
69,1984,1984-09-16,3,28.176,SFO,,NOR,W 30-20,0,0,,0,5,204,40.80,0
70,1984,1984-09-23,4,28.183,SFO,@,PHI,W 21-9,0,0,,0,7,274,39.14,0
71,1984,1984-09-30,5,28.190,SFO,,ATL,W 14-5,1,-5,-5.00,0,5,219,43.80,1
72,1984,1984-10-08,6,28.198,SFO,@,NYG,W 31-10,0,0,,0,5,195,39.00,0
73,1984,1984-10-14,7,28.204,SFO,,PIT,L 17-20,0,0,,0,3,92,30.67,0
74,1984,1984-10-21,8,28.211,SFO,@,HOU,W 34-21,0,0,,0,3,148,49.33,0
75,1984,1984-10-28,9,28.218,SFO,@,RAM,W 33-0,0,0,,0,3,114,38.00,0
76,1984,1984-11-04,10,28.225,SFO,,CIN,W 23-17,0,0,,0,2,94,47.00,0
77,1984,1984-11-11,11,28.232,SFO,@,CLE,W 41-7,0,0,,0,2,77,38.50,0
78,1984,1984-11-18,12,28.239,SFO,,TAM,W 24-17,0,0,,0,2,96,48.00,0
79,1984,1984-11-25,13,28.246,SFO,@,NOR,W 35-3,0,0,,0,6,266,44.33,0
80,1984,1984-12-02,14,28.253,SFO,@,ATL,W 35-17,0,0,,0,5,198,39.60,0
81,1984,1984-12-08,15,28.259,SFO,,MIN,W 51-7,0,0,,0,2,97,48.50,0
82,1984,1984-12-14,16,28.265,SFO,,RAM,W 19-16,0,0,,0,6,267,44.50,0
83,1985,1985-09-08,1,29.168,SFO,@,MIN,L 21-28,0,0,,0,4,174,43.50,0
84,1985,1985-09-15,2,29.175,SFO,,ATL,W 35-16,0,0,,0,4,163,40.75,0
85,1985,1985-09-22,3,29.182,SFO,@,RAI,W 34-10,0,0,,0,5,229,45.80,0
86,1985,1985-09-29,4,29.189,SFO,,NOR,L 17-20,0,0,,0,8,327,40.88,0
87,1985,1985-10-06,5,29.196,SFO,@,ATL,W 38-17,0,0,,0,4,146,36.50,0
88,1985,1985-10-13,6,29.203,SFO,,CHI,L 10-26,0,0,,0,7,333,47.57,0
89,1985,1985-10-20,7,29.210,SFO,@,DET,L 21-23,0,0,,0,6,228,38.00,0
90,1985,1985-10-27,8,29.217,SFO,@,RAM,W 28-14,0,0,,0,4,162,40.50,0
91,1985,1985-11-03,9,29.224,SFO,,PHI,W 24-13,0,0,,0,4,184,46.00,0
92,1985,1985-11-11,10,29.232,SFO,@,DEN,L 16-17,0,0,,0,8,271,33.88,0
93,1985,1985-11-17,11,29.238,SFO,,KAN,W 31-3,0,0,,0,6,233,38.83,0
94,1985,1985-11-25,12,29.246,SFO,,SEA,W 19-6,0,0,,0,6,225,37.50,1
95,1985,1985-12-01,13,29.252,SFO,@,WAS,W 35-8,0,0,,0,5,205,41.00,0
