ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1957,1957-09-29,1,22.197,WAS,@,PIT,L 7-28,3,2,0.67,0,0,0,,0,0,0,,0,0,,,,,,,,,,
2,1957,1957-10-06,2,22.204,WAS,@,CRD,W 37-14,10,44,4.40,2,0,0,,0,1,1,100.00,51,0,0,118.7,0,0,51.00,51.00,,,,
3,1957,1957-10-13,3,22.211,WAS,,NYG,L 20-24,6,22,3.67,0,0,0,,0,0,0,,0,0,,,,,,,,,,
4,1957,1957-10-20,4,22.218,WAS,,CRD,L 14-44,13,66,5.08,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,
5,1957,1957-10-27,5,22.225,WAS,@,NYG,W 31-14,11,51,4.64,1,1,15,15.00,0,0,0,,0,0,,,,,,,,,,
6,1957,1957-11-03,6,22.232,WAS,@,CLE,L 17-21,10,17,1.70,1,0,0,,0,0,0,,0,0,,,,,,,,,,
7,1957,1957-11-10,7,22.239,WAS,,BAL,L 17-21,2,3,1.50,0,0,0,,0,0,0,,0,0,,,,,,,,,,
8,1957,1957-11-17,8,22.246,WAS,,CLE,T 30-30,3,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,
9,1957,1957-11-24,9,22.253,WAS,@,PHI,L 12-21,6,15,2.50,0,0,0,,0,0,0,,0,0,,,,,,,,,,
10,1957,1957-12-01,10,22.260,WAS,@,CHI,W 14-3,18,72,4.00,1,0,0,,0,1,2,50.00,23,0,0,91.7,0,0,11.50,11.50,,,,
11,1957,1957-12-08,11,22.267,WAS,,PHI,W 42-7,16,83,5.19,0,1,17,17.00,1,1,1,100.00,21,0,0,118.7,0,0,21.00,21.00,,,,
12,1957,1957-12-15,12,22.274,WAS,,PIT,W 10-3,10,32,3.20,0,0,0,,0,0,0,,0,0,,,,,,,,,,
13,1958,1958-10-04,2,23.202,WAS,@,CRD,L 10-37,5,14,2.80,0,0,0,,0,0,0,,0,0,,,,,,,,,,
14,1958,1958-10-12,3,23.210,WAS,,NYG,L 14-21,7,25,3.57,1,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,
15,1958,1958-10-19,4,23.217,WAS,,GNB,W 37-21,18,76,4.22,1,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,
16,1958,1958-10-26,5,23.224,WAS,@,BAL,L 10-35,3,16,5.33,0,1,17,17.00,0,0,0,,0,0,,,,,,,,,,
