ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2011,2011-12-24,15,25.259,BUF,,DEN,W 40-14,,1,1,21,21.00,0,100.0%,21.00,0.0,0,0
2,2011,2012-01-01,16,25.267,BUF,@,NWE,L 21-49,,1,1,6,6.00,0,100.0%,6.00,0.0,0,0
3,2013,2013-09-19,3,27.163,KAN,@,PHI,W 26-16,,1,0,0,,0,0.0%,0.00,0.0,0,0
4,2013,2013-09-29,4,27.173,KAN,,NYG,W 31-7,,2,2,27,13.50,0,100.0%,13.50,0.0,0,0
5,2013,2013-10-06,5,27.180,KAN,@,TEN,W 26-17,,2,0,0,,0,0.0%,0.00,0.0,0,0
6,2013,2013-10-13,6,27.187,KAN,,OAK,W 24-7,,1,1,9,9.00,0,100.0%,9.00,0.0,0,0
7,2014,2014-09-21,3,28.165,CIN,,TEN,W 33-7,,1,1,-3,-3.00,0,100.0%,-3.00,0.0,0,0
8,2014,2014-10-05,4,28.179,CIN,@,NWE,L 17-43,,,,,,,0.0%,,,,
9,2014,2014-10-12,5,28.186,CIN,,CAR,T 37-37,,,,,,,0.0%,,,,
10,2014,2014-10-19,6,28.193,CIN,@,IND,L 0-27,,,,,,,0.0%,,,,
11,2014,2014-10-26,7,28.200,CIN,,BAL,W 27-24,,,,,,,0.0%,,,,
12,2014,2014-11-02,8,28.207,CIN,,JAX,W 33-23,,,,,,,0.0%,,,,
13,2014,2014-11-06,9,28.211,CIN,,CLE,L 3-24,,2,1,4,4.00,0,50.0%,2.00,0.0,0,0
14,2014,2014-11-16,10,28.221,CIN,@,NOR,W 27-10,,,,,,,0.0%,,,,
15,2014,2014-11-23,11,28.228,CIN,@,HOU,W 22-13,,,,,,,0.0%,,,,
16,2014,2014-11-30,12,28.235,CIN,@,TAM,W 14-13,*,,,,,,0.0%,,,,
17,2014,2014-12-07,13,28.242,CIN,,PIT,L 21-42,,2,2,18,9.00,0,100.0%,9.00,0.0,0,0
18,2014,2014-12-14,14,28.249,CIN,@,CLE,W 30-0,*,1,1,2,2.00,0,100.0%,2.00,0.0,0,0
19,2014,2014-12-22,15,28.257,CIN,,DEN,W 37-28,,,,,,,0.0%,,,,
20,2014,2014-12-28,16,28.263,CIN,@,PIT,L 17-27,,0,0,0,,0,0.0%,,0.0,2,0
