ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1966,1966-09-25,3,22.350,KAN,@,BOS,W 43-24,,,,,2,4,50.0,,,,0,2,,,,,,,
2,1967,1967-09-09,1,23.334,KAN,@,HOU,W 25-20,0,0,,0,,,,,,,0,0,1,10,0,0,0,,0
3,1967,1967-09-24,2,23.349,KAN,@,MIA,W 24-0,0,0,,0,,,,,,,0,0,1,25,0,0,0,,0
4,1967,1967-10-29,7,24.019,KAN,,DEN,W 52-9,0,0,,0,,,,,,,0,0,1,57,0,0,0,,0
5,1967,1967-12-03,12,24.054,KAN,,BUF,W 23-13,0,0,,0,,,,,,,0,0,2,49,0,0,0,,0
6,1967,1967-12-17,14,24.068,KAN,@,DEN,W 38-24,0,0,,0,,,,,,,0,0,1,9,0,0,0,,0
7,1968,1968-11-17,11,25.038,CIN,@,MIA,W 38-21,0,0,,0,,,,,,,0,0,1,16,0,0,0,,0
8,1968,1968-12-08,14,25.059,CIN,@,NYJ,L 14-27,0,0,,0,,,,,,,0,0,0,0,0,8,230,28.75,0
9,1969,1969-09-14,1,25.339,CIN,,MIA,W 27-21,0,0,,0,,,,,,,0,0,1,29,0,0,0,,0
10,1969,1969-11-02,8,26.023,CIN,,OAK,W 31-17,0,0,,0,,,,,,,0,0,2,35,0,0,0,,0
11,1969,1969-11-09,9,26.030,CIN,@,HOU,T 31-31,0,0,,0,,,,,,,0,0,1,3,0,0,0,,0
12,1970,1970-09-20,1,26.345,CIN,,OAK,W 31-21,,,,,,,,,,,,,,,,,,,
13,1970,1970-09-27,2,26.352,CIN,@,DET,L 3-38,1,0,0.00,0,,,,,,,0,0,0,0,0,0,0,,0
14,1970,1970-10-04,3,26.359,CIN,,HOU,L 13-20,,,,,,,,,,,,,,,,,,,
15,1970,1970-10-11,4,27.001,CIN,@,CLE,L 27-30,,,,,,,,,,,,,,,,,,,
16,1970,1970-10-18,5,27.008,CIN,,KAN,L 19-27,,,,,,,,,,,,,,,,,,,
17,1970,1970-10-25,6,27.015,CIN,@,WAS,L 0-20,,,,,,,,,,,,,,,,,,,
18,1970,1970-11-02,7,27.023,CIN,@,PIT,L 10-21,,,,,,,,,,,,,,,,,,,
19,1970,1970-11-08,8,27.029,CIN,@,BUF,W 43-14,0,0,,0,,,,,,,0,0,1,17,0,0,0,,0
20,1970,1970-11-15,9,27.036,CIN,,CLE,W 14-10,,,,,,,,,,,,,,,,,,,
21,1970,1970-11-22,10,27.043,CIN,,PIT,W 34-7,0,0,,0,,,,,,,0,0,1,0,0,0,0,,0
22,1970,1970-11-29,11,27.050,CIN,,NOR,W 26-6,0,0,,0,,,,,,,0,0,1,0,0,0,0,,0
23,1970,1970-12-06,12,27.057,CIN,@,SDG,W 17-14,,,,,,,,,,,,,,,,,,,
24,1970,1970-12-13,13,27.064,CIN,@,HOU,W 30-20,,,,,,,,,,,,,,,,,,,
25,1970,1970-12-20,14,27.071,CIN,,BOS,W 45-7,,,,,,,,,,,,,,,,,,,
26,1971,1971-09-19,1,27.344,CIN,,PHI,W 37-14,,,,,,,,,,,,,,,,,,,
27,1971,1971-09-26,2,27.351,CIN,@,PIT,L 10-21,,,,,,,,,,,,,,,,,,,
28,1971,1971-10-03,3,27.358,CIN,@,GNB,L 17-20,,,,,,,,,,,,,,,,,,,
29,1971,1971-10-10,4,28.000,CIN,,MIA,L 13-23,,,,,,,,,,,,,,,,,,,
30,1971,1971-10-17,5,28.007,CIN,,CLE,L 24-27,0,0,,0,,,,,,,0,0,1,0,0,0,0,,0
31,1971,1971-10-24,6,28.014,CIN,@,OAK,L 27-31,,,,,,,,,,,,,,,,,,,
32,1971,1971-10-31,7,28.021,CIN,@,HOU,L 6-10,,,,,,,,,,,,,,,,,,,
33,1971,1971-11-07,8,28.028,CIN,,ATL,L 6-9,,,,,,,,,,,,,,,,,,,
34,1971,1971-11-14,9,28.035,CIN,@,DEN,W 24-10,,,,,,,,,,,,,,,,,,,
35,1971,1971-11-21,10,28.042,CIN,,HOU,W 28-13,,,,,,,,,,,,,,,,,,,
36,1971,1971-11-28,11,28.049,CIN,,SDG,W 31-0,,,,,,,,,,,,,,,,,,,
37,1971,1971-12-05,12,28.056,CIN,@,CLE,L 27-31,,,,,,,,,,,,,,,,,,,
38,1971,1971-12-12,13,28.063,CIN,,PIT,L 13-21,,,,,,,,,,,,,,,,,,,
39,1971,1971-12-19,14,28.070,CIN,@,NYJ,L 21-35,,,,,,,,,,,,,,,,,,,
