ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2008,2008-09-14,2,24.122,GNB,@,DET,W 48-25,,3,3,22,7.33,0,100.0%,7.33,1,19,19.00,0,0.0,0,0
2,2008,2008-09-21,3,24.129,GNB,,DAL,L 16-27,,,,,,,0.0%,,,,,,,,
3,2010,2010-09-19,2,26.127,TAM,@,CAR,W 20-7,,,,,,,0.0%,,,,,,,,
4,2010,2010-09-26,3,26.134,TAM,,PIT,L 13-38,,,,,,,0.0%,,,,,,,,
5,2010,2010-10-24,6,26.162,TAM,,STL,W 18-17,,0,0,0,,0,0.0%,,1,0,0.00,0,0.0,0,0
6,2010,2010-11-07,8,26.176,TAM,@,ATL,L 21-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
7,2010,2010-11-14,9,26.183,TAM,,CAR,W 31-16,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
8,2010,2010-11-21,10,26.190,TAM,@,SFO,W 21-0,,,,,,,0.0%,,,,,,,,
9,2010,2010-11-28,11,26.197,TAM,@,BAL,L 10-17,,,,,,,0.0%,,,,,,,,
10,2010,2010-12-05,12,26.204,TAM,,ATL,L 24-28,,,,,,,0.0%,,,,,,,,
11,2010,2010-12-12,13,26.211,TAM,@,WAS,W 17-16,,,,,,,0.0%,,,,,,,,
12,2010,2010-12-19,14,26.218,TAM,,DET,L 20-23,,,,,,,0.0%,,,,,,,,
13,2010,2011-01-02,16,26.232,TAM,@,NOR,W 23-13,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0.0,0,0
14,2011,2011-09-11,1,27.119,TAM,,DET,L 20-27,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0.0,0,0
15,2011,2011-09-18,2,27.126,TAM,@,MIN,W 24-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
16,2011,2011-09-25,3,27.133,TAM,,ATL,W 16-13,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,0,0
17,2011,2011-10-03,4,27.141,TAM,,IND,W 24-17,,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0.0,0,0
18,2011,2011-10-09,5,27.147,TAM,@,SFO,L 3-48,,1,1,4,4.00,0,100.0%,4.00,2,7,3.50,0,0.0,0,0
19,2011,2011-10-16,6,27.154,TAM,,NOR,W 26-20,,0,0,0,,0,0.0%,,2,13,6.50,0,0.0,0,0
20,2011,2011-10-23,7,27.161,TAM,,CHI,L 18-24,,8,6,37,6.17,0,75.0%,4.63,8,15,1.88,0,0.0,0,0
21,2011,2011-11-06,8,27.175,TAM,@,NOR,L 16-27,,6,4,31,7.75,0,66.7%,5.17,2,7,3.50,0,0.0,0,0
22,2011,2011-11-13,9,27.182,TAM,,HOU,L 9-37,,7,5,30,6.00,0,71.4%,4.29,4,31,7.75,0,0.0,1,0
23,2011,2011-11-20,10,27.189,TAM,@,GNB,L 26-35,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0.0,1,0
24,2011,2011-11-27,11,27.196,TAM,@,TEN,L 17-23,,3,3,10,3.33,0,100.0%,3.33,1,3,3.00,0,0.0,0,0
25,2011,2011-12-04,12,27.203,TAM,,CAR,L 19-38,,0,0,0,,0,0.0%,,2,1,0.50,0,0.0,0,0
26,2011,2011-12-11,13,27.210,TAM,@,JAX,L 14-41,,3,2,18,9.00,0,66.7%,6.00,1,4,4.00,0,0.0,0,0
27,2011,2011-12-17,14,27.216,TAM,,DAL,L 15-31,,8,5,50,10.00,0,62.5%,6.25,0,0,,0,0.0,0,0
28,2011,2011-12-24,15,27.223,TAM,@,CAR,L 16-48,,4,4,38,9.50,0,100.0%,9.50,7,24,3.43,0,0.0,0,0
29,2011,2012-01-01,16,27.231,TAM,@,ATL,L 24-45,,7,5,27,5.40,0,71.4%,3.86,2,0,0.00,0,0.0,0,0
30,2012,2012-12-03,12,28.202,NYG,@,WAS,L 16-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
31,2012,2012-12-09,13,28.208,NYG,,NOR,W 52-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
32,2012,2012-12-16,14,28.215,NYG,@,ATL,L 0-34,,1,0,0,,0,0.0%,0.00,9,42,4.67,0,0.0,0,0
33,2012,2012-12-23,15,28.222,NYG,@,BAL,L 14-33,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
34,2012,2012-12-30,16,28.229,NYG,,PHI,W 42-7,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
