ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1972,1972-09-17,1,22.329,BAL,,STL,L 3-10,,,,,,,,,,,,,
2,1972,1972-09-24,2,22.336,BAL,,NYJ,L 34-44,,,,,,,,,,,,,
3,1972,1972-10-01,3,22.343,BAL,@,BUF,W 17-0,,,,,,,,,,,,,
4,1972,1972-10-08,4,22.350,BAL,,SDG,L 20-23,,,,,,,,,,,,,
5,1972,1972-10-15,5,22.357,BAL,,DAL,L 0-21,,,,,,,,,,,,,
6,1972,1972-10-22,6,22.364,BAL,@,NYJ,L 20-24,,,,,,,,,,,,,
7,1972,1972-10-29,7,23.005,BAL,,MIA,L 0-23,,,,,,,,,,,,,
8,1972,1972-11-06,8,23.013,BAL,@,NWE,W 24-17,,,,,,,,,,,,,
9,1972,1972-11-12,9,23.019,BAL,@,SFO,L 21-24,,,,,,,,,,,,,
10,1972,1972-11-19,10,23.026,BAL,@,CIN,W 20-19,,,,,,,,,,,,,
11,1972,1972-11-26,11,23.033,BAL,,NWE,W 31-0,,,,,,,,,,,,,
12,1972,1972-12-03,12,23.040,BAL,,BUF,W 35-7,,,,,,,,,,,,,
13,1972,1972-12-10,13,23.047,BAL,@,KAN,L 10-24,,,,,,,,,,,,,
14,1972,1972-12-16,14,23.053,BAL,@,MIA,L 0-16,,,,,,,,,,,,,
15,1973,1973-09-16,1,23.327,BAL,@,CLE,L 14-24,,,,,,,,,,,,,
16,1973,1973-09-23,2,23.334,BAL,,NYJ,L 10-34,0,0,,0,0,0,,0,0,0,1,5,0
17,1973,1973-09-30,3,23.341,BAL,,NOR,W 14-10,,,,,,,,,,,,,
18,1973,1973-10-07,4,23.348,BAL,@,NWE,L 16-24,,,,,,,,,,,,,
19,1973,1973-10-14,5,23.355,BAL,@,BUF,L 13-31,,,,,,,,,,,,,
20,1973,1973-10-21,6,23.362,BAL,@,DET,W 29-27,,,,,,,,,,,,,
21,1973,1973-10-28,7,24.004,BAL,,OAK,L 21-34,,,,,,,,,,,,,
22,1973,1973-11-04,8,24.011,BAL,,HOU,L 27-31,0,0,,0,0,0,,0,1,6,2,22,1
23,1973,1973-11-11,9,24.018,BAL,@,MIA,L 0-44,,,,,,,,,,,,,
24,1973,1973-11-18,10,24.025,BAL,@,WAS,L 14-22,,,,,,,,,,,,,
25,1973,1973-11-25,11,24.032,BAL,,BUF,L 17-24,,,,,,,,,,,,,
26,1973,1973-12-02,12,24.039,BAL,@,NYJ,L 17-20,,,,,,,,,,,,,
27,1973,1973-12-09,13,24.046,BAL,,MIA,W 16-3,0,0,,0,1,17,17.00,0,0,0,0,0,0
28,1973,1973-12-16,14,24.053,BAL,,NWE,W 18-13,0,0,,0,0,0,,0,0,0,1,13,0
29,1974,1974-09-15,1,24.326,BAL,@,PIT,L 0-30,,,,,,,,,,,,,
30,1974,1974-09-22,2,24.333,BAL,,GNB,L 13-20,,,,,,,,,,,,,
31,1974,1974-09-29,3,24.340,BAL,@,PHI,L 10-30,,,,,,,,,,,,,
32,1974,1974-10-06,4,24.347,BAL,@,NWE,L 3-42,,,,,,,,,,,,,
33,1974,1974-10-13,5,24.354,BAL,,BUF,L 14-27,,,,,,,,,,,,,
34,1974,1974-10-20,6,24.361,BAL,@,NYJ,W 35-20,,,,,,,,,,,,,
35,1974,1974-10-27,7,25.003,BAL,@,MIA,L 7-17,,,,,,,,,,,,,
36,1974,1974-11-03,8,25.010,BAL,,CIN,L 14-24,,,,,,,,,,,,,
37,1974,1974-11-10,9,25.017,BAL,,DEN,L 6-17,,,,,,,,,,,,,
38,1974,1974-11-17,10,25.024,BAL,@,ATL,W 17-7,,,,,,,,,,,,,
39,1974,1974-11-24,11,25.031,BAL,,NWE,L 17-27,,,,,,,,,,,,,
40,1974,1974-12-01,12,25.038,BAL,@,BUF,L 0-6,,,,,,,,,,,,,
41,1974,1974-12-08,13,25.045,BAL,,MIA,L 16-17,0,0,,0,0,0,,0,0,0,1,40,0
42,1974,1974-12-15,14,25.052,BAL,,NYJ,L 38-45,,,,,,,,,,,,,
43,1975,1975-09-21,1,25.332,BAL,@,CHI,W 35-7,,,,,,,,,,,,,
44,1975,1975-09-28,2,25.339,BAL,,OAK,L 20-31,0,0,,0,0,0,,0,0,0,1,32,0
45,1975,1975-10-05,3,25.346,BAL,@,RAM,L 13-24,,,,,,,,,,,,,
46,1975,1975-10-12,4,25.353,BAL,,BUF,L 31-38,,,,,,,,,,,,,
47,1975,1975-10-19,5,25.360,BAL,@,NWE,L 10-21,,,,,,,,,,,,,
48,1975,1975-10-26,6,26.002,BAL,@,NYJ,W 45-28,,,,,,,,,,,,,
49,1975,1975-11-02,7,26.009,BAL,,CLE,W 21-7,0,0,,0,0,0,,0,0,0,2,10,0
50,1975,1975-11-09,8,26.016,BAL,@,BUF,W 42-35,0,0,,0,0,0,,0,0,0,1,12,0
51,1975,1975-11-16,9,26.023,BAL,,NYJ,W 52-19,,,,,,,,,,,,,
52,1975,1975-11-23,10,26.030,BAL,@,MIA,W 33-17,0,0,,0,0,0,,0,0,0,1,26,0
53,1975,1975-11-30,11,26.037,BAL,,KAN,W 28-14,,,,,,,,,,,,,
54,1975,1975-12-07,12,26.044,BAL,@,NYG,W 21-0,0,0,,0,0,0,,0,1,6,1,23,1
55,1975,1975-12-14,13,26.051,BAL,,MIA,W 10-7,,,,,,,,,,,,,
56,1975,1975-12-21,14,26.058,BAL,,NWE,W 34-21,0,0,,0,0,0,,0,0,0,2,32,0
57,1976,1976-09-12,1,26.324,BAL,@,NWE,W 27-13,0,0,,0,0,0,,0,0,0,1,0,0
58,1976,1976-09-19,2,26.331,BAL,,CIN,W 28-27,,,,,,,,,,,,,
59,1976,1976-09-26,3,26.338,BAL,@,DAL,L 27-30,,,,,,,,,,,,,
60,1976,1976-10-03,4,26.345,BAL,,TAM,W 42-17,,,,,,,,,,,,,
61,1976,1976-10-10,5,26.352,BAL,,MIA,W 28-14,,,,,,,,,,,,,
62,1976,1976-10-17,6,26.359,BAL,@,BUF,W 31-13,,,,,,,,,,,,,
63,1976,1976-10-24,7,27.000,BAL,@,NYJ,W 20-0,,,,,,,,,,,,,
64,1976,1976-11-01,8,27.008,BAL,,HOU,W 38-14,,,,,,,,,,,,,
65,1976,1976-11-07,9,27.014,BAL,@,SDG,W 37-21,,,,,,,,,,,,,
66,1976,1976-11-14,10,27.021,BAL,,NWE,L 14-21,,,,,,,,,,,,,
67,1976,1976-11-22,11,27.029,BAL,@,MIA,W 17-16,,,,,,,,,,,,,
68,1976,1976-11-28,12,27.035,BAL,,NYJ,W 33-16,0,0,,0,0,0,,0,0,0,1,11,0
69,1976,1976-12-04,13,27.041,BAL,@,STL,L 17-24,,,,,,,,,,,,,
70,1976,1976-12-12,14,27.049,BAL,,BUF,W 58-20,0,0,,0,0,0,,0,0,0,1,15,0
71,1977,1977-09-18,1,27.329,BAL,@,SEA,W 29-14,0,0,,0,0,0,,0,0,0,1,11,0
72,1977,1977-09-25,2,27.336,BAL,@,NYJ,W 20-12,,,,,,,,,,,,,
73,1977,1977-10-02,3,27.343,BAL,,BUF,W 17-14,,,,,,,,,,,,,
74,1977,1977-10-09,4,27.350,BAL,,MIA,W 45-28,0,0,,0,0,0,,0,0,0,1,19,0
75,1977,1977-10-16,5,27.357,BAL,@,KAN,W 17-6,,,,,,,,,,,,,
76,1977,1977-10-23,6,27.364,BAL,@,NWE,L 3-17,,,,,,,,,,,,,
77,1977,1977-10-30,7,28.006,BAL,,PIT,W 31-21,0,0,,0,0,0,,0,0,0,2,32,0
78,1977,1977-11-07,8,28.014,BAL,,WAS,W 10-3,0,0,,0,0,0,,0,0,0,2,13,0
79,1977,1977-11-13,9,28.020,BAL,@,BUF,W 31-13,0,0,,0,0,0,,0,0,0,1,9,0
80,1977,1977-11-20,10,28.027,BAL,,NYJ,W 33-12,,,,,,,,,,,,,
81,1977,1977-11-27,11,28.034,BAL,@,DEN,L 13-27,,,,,,,,,,,,,
82,1977,1977-12-05,12,28.042,BAL,@,MIA,L 6-17,,,,,,,,,,,,,
83,1977,1977-12-11,13,28.048,BAL,,DET,L 10-13,,,,,,,,,,,,,
84,1977,1977-12-18,14,28.055,BAL,,NWE,W 30-24,,,,,,,,,,,,,
85,1978,1978-09-04,1,28.315,BAL,@,DAL,L 0-38,,,,,,,,,,,,,
86,1978,1978-10-08,6,28.349,BAL,@,STL,W 30-17,,,,,,,,,,,,,
87,1978,1978-10-15,7,28.356,BAL,,NYJ,L 10-33,,,,,,,,,,,,,
88,1978,1978-10-22,8,28.363,BAL,,DEN,W 7-6,,,,,,,,,,,,,
89,1978,1978-10-29,9,29.005,BAL,@,MIA,L 8-26,,,,,,,,,,,,,
90,1978,1978-11-06,10,29.013,BAL,,WAS,W 21-17,,,,,,,,,,,,,
91,1978,1978-11-12,11,29.019,BAL,@,SEA,W 17-14,,,,,,,,,,,,,
92,1978,1978-11-19,12,29.026,BAL,,CLE,L 24-45,,,,,,,,,,,,,
93,1978,1978-11-26,13,29.033,BAL,,NWE,L 14-35,,,,,,,,,,,,,
94,1978,1978-12-03,14,29.040,BAL,@,NYJ,L 16-24,0,0,,0,0,0,,0,0,0,1,12,0
95,1978,1978-12-09,15,29.046,BAL,@,PIT,L 13-35,,,,,,,,,,,,,
96,1978,1978-12-17,16,29.054,BAL,,BUF,L 14-21,,,,,,,,,,,,,
97,1979,1979-09-02,1,29.313,BAL,@,KAN,L 0-14,,,,,,,,,,,,,
98,1979,1979-09-09,2,29.320,BAL,,TAM,L 26-29,,,,,,,,,,,,,
99,1979,1979-09-16,3,29.327,BAL,@,CLE,L 10-13,,,,,,,,,,,,,
100,1979,1979-09-23,4,29.334,BAL,@,PIT,L 13-17,,,,,,,,,,,,,
101,1979,1979-09-30,5,29.341,BAL,,BUF,L 13-31,,,,,,,,,,,,,
102,1979,1979-10-07,6,29.348,BAL,,NYJ,W 10-8,0,0,,0,0,0,,0,0,0,1,11,0
103,1979,1979-10-14,7,29.355,BAL,,HOU,L 16-28,,,,,,,,,,,,,
104,1979,1979-10-21,8,29.362,BAL,@,BUF,W 14-13,,,,,,,,,,,,,
105,1979,1979-10-28,9,30.004,BAL,,NWE,W 31-26,,,,,,,,,,,,,
106,1979,1979-11-04,10,30.011,BAL,,CIN,W 38-28,1,3,3.00,0,0,0,,0,0,0,0,0,0
107,1979,1979-11-11,11,30.018,BAL,@,MIA,L 0-19,,,,,,,,,,,,,
108,1979,1979-11-18,12,30.025,BAL,@,NWE,L 21-50,,,,,,,,,,,,,
109,1979,1979-11-25,13,30.032,BAL,,MIA,L 24-28,,,,,,,,,,,,,
110,1979,1979-12-02,14,30.039,BAL,@,NYJ,L 17-30,,,,,,,,,,,,,
111,1979,1979-12-09,15,30.046,BAL,,KAN,L 7-10,,,,,,,,,,,,,
112,1979,1979-12-16,16,30.053,BAL,@,NYG,W 31-7,,,,,,,,,,,,,
113,1980,1980-09-07,1,30.319,DET,@,RAM,W 41-20,,,,,,,,,,,,,
114,1980,1980-09-14,2,30.326,DET,@,GNB,W 29-7,,,,,,,,,,,,,
115,1980,1980-09-21,3,30.333,DET,,STL,W 20-7,0,0,,0,0,0,,0,0,0,1,7,0
116,1980,1980-09-28,4,30.340,DET,,MIN,W 27-7,,,,,,,,,,,,,
117,1980,1980-10-05,5,30.347,DET,@,ATL,L 28-43,,,,,,,,,,,,,
118,1980,1980-10-12,6,30.354,DET,,NOR,W 24-13,,,,,,,,,,,,,
119,1980,1980-10-19,7,30.361,DET,@,CHI,L 7-24,,,,,,,,,,,,,
120,1980,1980-10-26,8,31.002,DET,@,KAN,L 17-20,,,,,,,,,,,,,
121,1980,1980-11-02,9,31.009,DET,,SFO,W 17-13,,,,,,,,,,,,,
122,1980,1980-11-09,10,31.016,DET,@,MIN,L 0-34,,,,,,,,,,,,,
123,1980,1980-11-16,11,31.023,DET,,BAL,L 9-10,,,,,,,,,,,,,
