ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1965,1965-09-19,1,22.155,PIT,,GNB,L 9-41,5,252,50.40,0
2,1965,1965-09-26,2,22.162,PIT,@,SFO,L 17-27,4,183,45.75,0
3,1965,1965-10-03,3,22.169,PIT,,NYG,L 13-23,3,144,48.00,0
4,1965,1965-10-09,4,22.175,PIT,@,CLE,L 19-24,6,231,38.50,0
5,1965,1965-10-17,5,22.183,PIT,,STL,L 7-20,9,430,47.78,0
6,1965,1965-10-24,6,22.190,PIT,@,PHI,W 20-14,6,238,39.67,0
7,1965,1965-10-31,7,22.197,PIT,,DAL,W 22-13,9,340,37.78,1
8,1965,1965-11-07,8,22.204,PIT,@,STL,L 17-21,5,245,49.00,0
9,1965,1965-11-14,9,22.211,PIT,@,DAL,L 17-24,6,276,46.00,0
10,1965,1965-11-21,10,22.218,PIT,,WAS,L 3-31,7,349,49.86,0
11,1965,1965-11-28,11,22.225,PIT,,CLE,L 21-42,7,336,48.00,0
12,1965,1965-12-05,12,22.232,PIT,@,NYG,L 10-35,4,172,43.00,0
13,1965,1965-12-12,13,22.239,PIT,,PHI,L 13-47,1,49,49.00,0
14,1965,1965-12-19,14,22.246,PIT,@,WAS,L 14-35,6,273,45.50,0
15,1966,1966-09-11,1,23.147,PIT,,NYG,T 34-34,4,188,47.00,0
16,1966,1966-09-18,2,23.154,PIT,,DET,W 17-3,8,349,43.63,0
17,1966,1966-09-25,3,23.161,PIT,,WAS,L 27-33,2,50,25.00,0
18,1966,1966-10-02,4,23.168,PIT,@,WAS,L 10-24,6,219,36.50,0
19,1966,1966-10-08,5,23.174,PIT,@,CLE,L 10-41,3,123,41.00,0
20,1966,1966-10-16,6,23.182,PIT,,PHI,L 14-31,6,292,48.67,0
21,1966,1966-10-30,7,23.196,PIT,@,DAL,L 21-52,8,381,47.63,0
22,1966,1966-11-06,8,23.203,PIT,,CLE,W 16-6,8,293,36.63,0
23,1966,1966-11-13,9,23.210,PIT,,STL,W 30-9,8,288,36.00,0
24,1966,1966-11-20,10,23.217,PIT,,DAL,L 7-20,7,321,45.86,0
25,1966,1966-11-27,11,23.224,PIT,@,STL,L 3-6,8,318,39.75,0
26,1966,1966-12-04,12,23.231,PIT,@,PHI,L 23-27,2,89,44.50,0
27,1966,1966-12-11,13,23.238,PIT,@,NYG,W 47-28,5,217,43.40,0
28,1966,1966-12-18,14,23.245,PIT,@,ATL,W 57-33,3,152,50.67,0
