ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-09,1,24.219,SDG,,HOU,L 28-31,,0,0,,0,0,0,0,,0,0.0%,,1,42,42.00,0,0,0,0.0,0,0
2,2013,2013-09-15,2,24.225,SDG,@,PHI,W 33-30,,0,0,,0,0,0,0,,0,0.0%,,4,93,23.25,0,0,0,0.0,0,0
3,2013,2013-09-22,3,24.232,SDG,@,TEN,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,0.0,0,0
4,2013,2013-10-13,6,24.253,CLE,,DET,L 17-31,,,,,,,,,,,0.0%,,,,,,,,,,
5,2013,2013-10-20,7,24.260,CLE,@,GNB,L 13-31,,5,11,2.20,0,5,2,13,6.50,0,40.0%,2.60,3,103,34.33,0,0,0,0.0,0,0
6,2013,2013-10-27,8,24.267,CLE,@,KAN,L 17-23,,0,0,,0,2,2,22,11.00,1,100.0%,11.00,1,16,16.00,0,1,6,0.0,0,0
7,2013,2013-11-03,9,24.274,CLE,,BAL,W 24-18,*,2,11,5.50,0,4,3,13,4.33,0,75.0%,3.25,1,22,22.00,0,0,0,0.0,0,0
8,2013,2013-11-17,10,24.288,CLE,@,CIN,L 20-41,,4,20,5.00,0,5,5,41,8.20,0,100.0%,8.20,2,42,21.00,0,0,0,0.0,1,0
9,2013,2013-11-24,11,24.295,CLE,,PIT,L 11-27,*,6,16,2.67,0,5,1,5,5.00,0,20.0%,1.00,5,91,18.20,0,0,0,0.0,0,0
10,2013,2013-12-01,12,24.302,CLE,,JAX,L 28-32,,7,15,2.14,0,1,1,1,1.00,0,100.0%,1.00,1,10,10.00,0,0,0,0.0,0,0
