ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1992,1992-12-27,16,23.112,NYG,@,PHI,L 10-20,,,,,,,0.0%,,,,,,,,,,,
2,1993,1993-09-05,1,23.364,NYG,@,CHI,W 26-20,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0
3,1993,1993-09-12,2,24.006,NYG,,TAM,W 23-7,,,0,0,,0,0.0%,,,,,,,,,,,
4,1993,1993-09-19,3,24.013,NYG,,RAM,W 20-10,,,0,0,,0,0.0%,,,,,,,,,,,
5,1993,1993-10-03,4,24.027,NYG,@,BUF,L 14-17,,2,2,33,16.50,0,100.0%,16.50,0,0,,0,0,0,,0,0,0
6,1993,1993-10-10,5,24.034,NYG,@,WAS,W 41-7,,,0,0,,0,0.0%,,,,,,,,,,,
7,1993,1993-10-17,6,24.041,NYG,,PHI,W 21-10,,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0
8,1993,1993-10-31,7,24.055,NYG,,NYJ,L 6-10,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0
9,1993,1993-11-07,8,24.062,NYG,@,DAL,L 9-31,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0
10,1993,1993-11-14,9,24.069,NYG,,WAS,W 20-6,,,0,0,,0,0.0%,,,,,,,,,,,
11,1993,1993-11-28,11,24.083,NYG,,PHO,W 19-17,,1,0,0,,0,0.0%,0.00,,,,,,,,,,
12,1993,1993-12-05,12,24.090,NYG,@,MIA,W 19-14,,3,3,98,32.67,0,100.0%,32.67,0,0,,0,0,0,,0,0,0
13,1993,1993-12-26,15,24.111,NYG,@,PHO,L 6-17,,2,0,0,,0,0.0%,0.00,,,,,,,,,,
14,1993,1994-01-02,16,24.118,NYG,,DAL,L 13-16,,4,2,41,20.50,0,50.0%,10.25,0,0,,0,0,0,,0,0,0
15,1994,1994-09-04,1,24.363,NYG,,PHI,W 28-23,,,0,0,,0,0.0%,,,,,,,,,,,
16,1994,1994-09-11,2,25.005,NYG,@,ARI,W 20-17,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0
17,1994,1994-09-18,3,25.012,NYG,,WAS,W 31-23,,2,2,45,22.50,1,100.0%,22.50,0,0,,0,0,0,,0,1,6
18,1994,1994-10-02,4,25.026,NYG,@,NOR,L 22-27,,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,0
