ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1972,1972-10-22,6,22.253,CLE,@,HOU,W 23-17,,,,,,,,,,,,,,,,
2,1972,1972-10-29,7,22.260,CLE,@,DEN,W 27-20,,,,,,,,,,,,,,,,
3,1972,1972-11-05,8,22.267,CLE,,HOU,W 20-0,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0
4,1972,1972-11-13,9,22.275,CLE,@,SDG,W 21-17,0,0,,0,0,0,,0,1,24,24.00,0,0,0,,0
5,1972,1972-11-19,10,22.281,CLE,,PIT,W 26-24,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0
6,1972,1972-11-26,11,22.288,CLE,,BUF,W 27-10,1,3,3.00,0,0,0,,0,1,21,21.00,0,0,0,,0
7,1972,1972-12-03,12,22.295,CLE,@,PIT,L 0-30,1,-1,-1.00,0,0,0,,0,2,51,25.50,0,0,0,,0
8,1972,1972-12-09,13,22.301,CLE,@,CIN,W 27-24,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0
9,1972,1972-12-17,14,22.309,CLE,@,NYJ,W 26-10,,,,,,,,,,,,,,,,
10,1973,1973-09-16,1,23.216,CLE,,BAL,W 24-14,7,19,2.71,0,0,0,,0,1,14,14.00,0,3,9,3.00,0
11,1973,1973-09-23,2,23.223,CLE,@,PIT,L 6-33,5,13,2.60,0,2,14,7.00,0,2,39,19.50,0,1,13,13.00,0
12,1973,1973-09-30,3,23.230,CLE,,NYG,W 12-10,,,,,,,,,,,,,,,,
13,1973,1973-10-07,4,23.237,CLE,,CIN,W 17-10,,,,,,,,,,,,,,,,
14,1973,1973-10-15,5,23.245,CLE,,MIA,L 9-17,,,,,,,,,,,,,,,,
15,1973,1973-10-21,6,23.251,CLE,,HOU,W 42-13,3,44,14.67,0,0,0,,0,2,32,16.00,0,0,0,,0
16,1973,1973-10-28,7,23.258,CLE,,SDG,T 16-16,7,47,6.71,0,2,24,12.00,0,1,-1,-1.00,0,0,0,,0
17,1973,1973-11-04,8,23.265,CLE,@,MIN,L 3-26,1,7,7.00,0,1,0,0.00,0,1,17,17.00,0,2,24,12.00,0
18,1973,1973-11-11,9,23.272,CLE,@,HOU,W 23-13,2,2,1.00,0,0,0,,0,1,25,25.00,0,0,0,,0
19,1973,1973-11-18,10,23.279,CLE,@,OAK,W 7-3,,,,,,,,,,,,,,,,
20,1973,1973-11-25,11,23.286,CLE,,PIT,W 21-16,0,0,,0,0,0,,0,2,31,15.50,0,1,5,5.00,0
21,1973,1973-12-02,12,23.293,CLE,@,KAN,T 20-20,0,0,,0,0,0,,0,1,18,18.00,0,0,0,,0
22,1973,1973-12-09,13,23.300,CLE,@,CIN,L 17-34,1,3,3.00,0,0,0,,0,4,162,40.50,0,0,0,,0
23,1974,1974-09-29,3,24.229,CLE,@,STL,L 7-29,1,2,2.00,0,2,14,7.00,0,2,37,18.50,0,0,0,,0
24,1974,1974-10-06,4,24.236,CLE,,OAK,L 24-40,1,0,0.00,0,2,7,3.50,0,4,82,20.50,0,0,0,,0
25,1974,1974-10-13,5,24.243,CLE,,CIN,L 24-34,0,0,,0,0,0,,0,4,84,21.00,0,0,0,,0
26,1974,1974-10-20,6,24.250,CLE,@,PIT,L 16-20,0,0,,0,0,0,,0,4,101,25.25,0,0,0,,0
27,1974,1974-10-27,7,24.257,CLE,,DEN,W 23-21,0,0,,0,0,0,,0,3,67,22.33,0,0,0,,0
28,1974,1974-11-10,9,24.271,CLE,@,NWE,W 21-14,0,0,,0,0,0,,0,1,32,32.00,0,0,0,,0
29,1974,1974-11-17,10,24.278,CLE,,PIT,L 16-26,4,0,0.00,0,0,0,,0,4,94,23.50,0,2,1,0.50,0
30,1974,1974-11-24,11,24.285,CLE,,BUF,L 10-15,,,,,,,,,,,,,,,,
31,1974,1974-12-01,12,24.292,CLE,,SFO,W 7-0,,,,,,,,,,,,,,,,
32,1974,1974-12-07,13,24.298,CLE,@,DAL,L 17-41,0,0,,0,0,0,,0,4,77,19.25,0,0,0,,0
33,1974,1974-12-15,14,24.306,CLE,@,HOU,L 24-28,,,,,,,,,,,,,,,,
34,1975,1975-09-21,1,25.221,CLE,@,CIN,L 17-24,,,,,,,,,,,,,,,,
35,1975,1975-09-28,2,25.228,CLE,,MIN,L 10-42,,,,,,,,,,,,,,,,
36,1975,1975-10-05,3,25.235,CLE,,PIT,L 6-42,0,0,,0,1,14,14.00,0,0,0,,0,0,0,,0
37,1975,1975-10-12,4,25.242,CLE,,HOU,L 10-40,0,0,,0,0,0,,0,4,106,26.50,0,0,0,,0
38,1975,1975-10-19,5,25.249,CLE,@,DEN,L 15-16,0,0,,0,0,0,,0,1,38,38.00,0,1,14,14.00,0
39,1975,1975-10-26,6,25.256,CLE,,WAS,L 7-23,0,0,,0,0,0,,0,2,45,22.50,0,0,0,,0
40,1975,1975-11-02,7,25.263,CLE,@,BAL,L 7-21,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0
41,1975,1975-11-09,8,25.270,CLE,@,DET,L 10-21,0,0,,0,0,0,,0,1,46,46.00,0,0,0,,0
42,1975,1975-11-16,9,25.277,CLE,@,OAK,L 17-38,0,0,,0,0,0,,0,3,64,21.33,0,0,0,,0
43,1975,1975-11-23,10,25.284,CLE,,CIN,W 35-23,0,0,,0,0,0,,0,1,92,92.00,0,0,0,,0
