ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,22.265,CAR,@,TAM,W 20-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,36,12.00,0,0,0,0.0,1,0
2,2014,2014-09-14,2,22.272,CAR,,DET,W 24-7,,0,0,0,,0,0.0%,,1,11,11.00,0,0,0,,0,2,8,4.00,0,0,0,0.0,0,0
3,2014,2014-09-21,3,22.279,CAR,,PIT,L 19-37,*,9,7,66,9.43,0,77.8%,7.33,0,0,,0,2,43,21.50,0,1,-10,-10.00,0,0,0,0.0,0,0
4,2014,2014-09-28,4,22.286,CAR,@,BAL,L 10-38,,4,2,35,17.50,0,50.0%,8.75,0,0,,0,1,23,23.00,0,0,0,,0,0,0,0.0,0,0
5,2014,2014-10-05,5,22.293,CAR,,CHI,W 31-24,,1,1,4,4.00,0,100.0%,4.00,2,22,11.00,0,1,18,18.00,0,3,81,27.00,1,0,6,0.0,0,0
6,2014,2014-10-12,6,22.300,CAR,@,CIN,T 37-37,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,6,134,22.33,0,1,5,5.00,0,0,0,0.0,0,0
7,2014,2014-10-19,7,22.307,CAR,@,GNB,L 17-38,,0,0,0,,0,0.0%,,0,0,,0,2,55,27.50,0,2,17,8.50,0,0,0,0.0,0,0
8,2014,2014-11-16,11,22.335,CAR,,ATL,L 17-19,,2,1,47,47.00,1,50.0%,23.50,0,0,,0,0,0,,0,4,16,4.00,0,1,6,0.0,0,0
9,2014,2014-11-30,12,22.349,CAR,@,MIN,L 13-31,,4,2,34,17.00,1,50.0%,8.50,1,4,4.00,0,0,0,,0,0,0,,0,1,6,0.0,0,0
10,2014,2014-12-07,13,22.356,CAR,@,NOR,W 41-10,,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2014,2014-12-14,14,22.363,CAR,,TAM,W 19-17,*,6,1,10,10.00,0,16.7%,1.67,1,17,17.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2014,2014-12-21,15,23.005,CAR,,CLE,W 17-13,*,3,2,22,11.00,0,66.7%,7.33,1,0,0.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2014,2014-12-28,16,23.012,CAR,@,ATL,W 34-3,,1,1,28,28.00,0,100.0%,28.00,2,41,20.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2015,2015-09-13,1,23.271,CAR,@,JAX,W 20-9,*,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2015,2015-09-20,2,23.278,CAR,,HOU,W 24-17,*,4,3,57,19.00,1,75.0%,14.25,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
16,2015,2015-09-27,3,23.285,CAR,,NOR,W 27-22,*,0,0,0,,0,0.0%,,1,12,12.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2015,2015-10-04,4,23.292,CAR,@,TAM,W 37-23,*,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2015,2015-10-18,5,23.306,CAR,@,SEA,W 27-23,*,3,2,22,11.00,0,66.7%,7.33,2,15,7.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2015,2015-10-25,6,23.313,CAR,,PHI,W 27-16,*,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2015,2015-11-02,7,23.321,CAR,,IND,W 29-26,*,5,3,42,14.00,1,60.0%,8.40,1,14,14.00,0,0,0,,0,0,0,,0,1,6,0.0,0,0
21,2015,2015-11-08,8,23.327,CAR,,GNB,W 37-29,*,4,2,50,25.00,1,50.0%,12.50,1,-12,-12.00,0,0,0,,0,0,0,,0,1,6,0.0,0,0
22,2015,2015-11-15,9,23.334,CAR,@,TEN,W 27-10,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2015,2015-12-06,12,23.355,CAR,@,NOR,W 41-38,,4,2,7,3.50,0,50.0%,1.75,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
