ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1969,1969-11-30,11,22.288,NOR,,PHI,W 26-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,6,0
2,1969,1969-12-21,14,22.309,NOR,,PIT,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0,0,0
3,1970,1970-09-20,1,23.217,PHI,,DAL,L 7-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0
4,1970,1970-09-27,2,23.224,PHI,@,CHI,L 16-20,,,,,,,,,,,,,,,,,,,,,,,,
5,1970,1970-10-04,3,23.231,PHI,,WAS,L 21-33,,,,,,,,,,,,,,,,,,,,,,,,
6,1970,1970-10-11,4,23.238,PHI,@,NYG,L 23-30,,,,,,,,,,,,,,,,,,,,,,,,
7,1970,1970-10-18,5,23.245,PHI,,STL,L 20-35,,,,,,,,,,,,,,,,,,,,,,,,
8,1970,1970-10-25,6,23.252,PHI,@,GNB,L 17-30,,,,,,,,,,,,,,,,,,,,,,,,
9,1970,1970-11-01,7,23.259,PHI,@,DAL,L 17-21,,,,,,,,,,,,,,,,,,,,,,,,
10,1970,1970-11-08,8,23.266,PHI,,MIA,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,19,0
11,1970,1970-11-15,9,23.273,PHI,,ATL,T 13-13,,,,,,,,,,,,,,,,,,,,,,,,
12,1970,1970-11-23,10,23.281,PHI,,NYG,W 23-20,,,,,,,,,,,,,,,,,,,,,,,,
13,1970,1970-11-29,11,23.287,PHI,@,STL,L 14-23,,,,,,,,,,,,,,,,,,,,,,,,
14,1970,1970-12-06,12,23.294,PHI,@,BAL,L 10-29,,,,,,,,,,,,,,,,,,,,,,,,
15,1970,1970-12-13,13,23.301,PHI,@,WAS,L 6-24,,,,,,,,,,,,,,,,,,,,,,,,
16,1970,1970-12-20,14,23.308,PHI,,PIT,W 30-20,,,,,,,,,,,,,,,,,,,,,,,,
17,1971,1971-09-19,1,24.216,PHI,@,CIN,L 14-37,,,,,,,,,,,,,,,,,,,,,,,,
18,1971,1971-10-10,4,24.237,PHI,,MIN,L 0-13,,,,,,,,,,,,,,,,,,,,,,,,
19,1971,1971-10-17,5,24.244,PHI,@,OAK,L 10-34,,,,,,,,,,,,,,,,,,,,,,,,
20,1971,1971-10-24,6,24.251,PHI,,NYG,W 23-7,,,,,,,,,,,,,,,,,,,,,,,,
21,1971,1971-10-31,7,24.258,PHI,,DEN,W 17-16,,,,,,,,,,,,,,,,,,,,,,,,
22,1971,1971-11-07,8,24.265,PHI,@,WAS,T 7-7,,,,,,,,,,,,,,,,,,,,,,,,
23,1971,1971-11-14,9,24.272,PHI,@,DAL,L 7-20,,,,,,,,,,,,,,,,,,,,,,,,
24,1972,1972-09-17,1,25.215,PHI,@,DAL,L 6-28,,,,,,,,,,,,,,,,,,,,,,,,
25,1972,1972-09-24,2,25.222,DEN,@,SDG,L 14-37,,,,,,,,,,,,,,,,,,,,,,,,
26,1972,1972-10-01,3,25.229,DEN,,KAN,L 24-45,,,,,,,,,,,,,,,,,,,,,,,,
27,1972,1972-10-08,4,25.236,DEN,@,CIN,L 10-21,,,,,,,,,,,,,,,,,,,,,,,,
28,1972,1972-10-15,5,25.243,DEN,,MIN,L 20-23,,,,,,,,,,,,,,,,,,,,,,,,
29,1972,1972-10-22,6,25.250,DEN,@,OAK,W 30-23,,,,,,,,,,,,,,,,,,,,,,,,
30,1972,1972-10-29,7,25.257,DEN,,CLE,L 20-27,,,,,,,,,,,,,,,,,,,,,,,,
31,1972,1972-11-05,8,25.264,DEN,@,NYG,L 17-29,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0,0,0
32,1972,1972-11-12,9,25.271,DEN,@,RAM,W 16-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,30,0
33,1972,1972-11-19,10,25.278,DEN,,OAK,L 20-37,,,,,,,,,,,,,,,,,,,,,,,,
34,1972,1972-11-26,11,25.285,DEN,@,ATL,L 20-23,,,,,,,,,,,,,,,,,,,,,,,,
35,1972,1972-12-03,12,25.292,DEN,@,KAN,L 21-24,,,,,,,,,,,,,,,,,,,,,,,,
36,1972,1972-12-10,13,25.299,DEN,,SDG,W 38-13,,,,,,,,,,,,,,,,,,,,,,,,
37,1972,1972-12-17,14,25.306,DEN,,NWE,W 45-21,,,,,,,,,,,,,,,,,,,,,,,,
38,1973,1973-09-16,1,26.213,RAM,@,KAN,W 23-13,1,11,11.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,0
39,1973,1973-09-23,2,26.220,RAM,,ATL,W 31-0,,,,,,,,,,,,,,,,,,,,,,,,
40,1973,1973-09-30,3,26.227,RAM,@,SFO,W 40-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,25,0
41,1973,1973-10-07,4,26.234,RAM,@,HOU,W 31-26,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0
