ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2000,2000-09-03,1,23.229,SEA,@,MIA,L 0-23,,,,,,1,0.0,0,0
2,2000,2000-09-10,2,23.236,SEA,,STL,L 34-37,,4,4,100.0,2,2,100.0,0,10
3,2000,2000-09-17,3,23.243,SEA,,NOR,W 20-10,,2,2,100.0,2,3,66.7,0,8
4,2000,2000-09-24,4,23.250,SEA,@,SDG,W 20-12,,2,2,100.0,2,3,66.7,0,8
5,2000,2000-10-15,7,23.271,WAS,,BAL,W 10-3,,1,1,100.0,1,1,100.0,0,4
6,2000,2000-10-22,8,23.278,WAS,@,JAX,W 35-16,,5,5,100.0,,,,0,5
7,2000,2000-10-30,9,23.286,WAS,,TEN,L 21-27,,3,3,100.0,,,,0,3
8,2000,2000-11-05,10,23.292,WAS,@,ARI,L 15-16,,,,,3,5,60.0,0,9
