ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-10-31,7,25.207,DAL,,DET,W 31-21,,2,1,30,30.00,0,50.0%,15.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,0,0.00,0,0,0,0.0,,
2,2004,2004-11-07,8,25.214,DAL,@,CIN,L 3-26,,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
3,2004,2004-11-15,9,25.222,DAL,,PHI,L 21-49,,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,34,11.33,0,0,0,0.0,,
4,2004,2004-11-21,10,25.228,DAL,@,BAL,L 10-30,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
5,2004,2004-11-25,11,25.232,DAL,,CHI,W 21-7,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
6,2004,2004-12-06,12,25.243,DAL,@,SEA,W 43-39,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
7,2004,2004-12-26,15,25.263,DAL,,WAS,W 13-10,,2,2,54,27.00,1,100.0%,27.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0.0,,
8,2004,2005-01-02,16,25.270,DAL,@,NYG,L 24-28,,5,5,58,11.60,0,100.0%,11.60,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,0,0,0.0,,
9,2005,2005-09-11,1,26.157,DAL,@,SDG,W 28-24,,6,6,89,14.83,1,100.0%,14.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,2,2.00,0,1,6,0.0,,
10,2005,2005-09-19,2,26.165,DAL,,WAS,L 13-14,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,29,7.25,0,0,0,0.0,,
11,2005,2005-09-25,3,26.171,DAL,@,SFO,W 34-31,,5,4,39,9.75,0,80.0%,7.80,1,0,0.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,8,4.00,0,0,0,0.0,,
12,2005,2005-10-02,4,26.178,DAL,@,OAK,L 13-19,,2,1,63,63.00,1,50.0%,31.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,,
13,2005,2005-10-09,5,26.185,DAL,,PHI,W 33-10,,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,7,84,12.00,0,0,0,0.0,,
14,2005,2005-10-16,6,26.192,DAL,,NYG,W 16-13,,4,4,46,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,10,3.33,0,0,0,0.0,,
15,2005,2005-11-24,11,26.231,DAL,,DEN,L 21-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,,
16,2005,2005-12-04,12,26.241,DAL,@,NYG,L 10-17,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,4,4.00,0,0,0,0.0,,
17,2005,2005-12-11,13,26.248,DAL,,KAN,W 31-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
18,2005,2005-12-18,14,26.255,DAL,@,WAS,L 7-35,,2,1,24,24.00,0,50.0%,12.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,6.00,0,0,0,0.0,,
19,2005,2005-12-24,15,26.261,DAL,@,CAR,W 24-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,8,4.00,0,0,0,0.0,,
20,2005,2006-01-01,16,26.269,DAL,,STL,L 10-20,,6,3,45,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,15,7.50,0,0,0,0.0,,
21,2006,2006-09-10,1,27.156,DAL,@,JAX,L 17-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
22,2006,2006-09-17,2,27.163,DAL,,WAS,W 27-10,,2,2,14,7.00,1,100.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,35,8.75,0,1,6,0.0,,
23,2006,2006-10-01,3,27.177,DAL,@,TEN,W 45-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
24,2006,2006-10-08,4,27.184,DAL,@,PHI,L 24-38,*,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,16,5.33,0,0,0,0.0,,
25,2006,2006-10-15,5,27.191,DAL,,HOU,W 34-6,*,6,5,61,12.20,0,83.3%,10.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
26,2006,2006-10-23,6,27.199,DAL,,NYG,L 22-36,,4,3,69,23.00,1,75.0%,17.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,,
27,2006,2006-10-29,7,27.205,DAL,@,CAR,W 35-14,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12,6.00,0,0,0,0.0,,
28,2006,2006-11-05,8,27.212,DAL,@,WAS,L 19-22,,5,4,84,21.00,0,80.0%,16.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
29,2006,2006-11-12,9,27.219,DAL,@,ARI,W 27-10,,5,5,104,20.80,1,100.0%,20.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,19,19.00,0,1,6,0.0,,
30,2006,2006-11-19,10,27.226,DAL,,IND,W 21-14,*,4,2,6,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
31,2006,2006-11-23,11,27.230,DAL,,TAM,W 38-10,*,4,4,68,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
32,2006,2006-12-03,12,27.240,DAL,@,NYG,W 23-20,,4,3,31,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
33,2006,2006-12-10,13,27.247,DAL,,NOR,L 17-42,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,3,3.00,0,0,0,0.0,,
34,2006,2006-12-16,14,27.253,DAL,@,ATL,W 38-28,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
35,2006,2006-12-25,15,27.262,DAL,,PHI,L 7-23,*,4,2,29,14.50,0,50.0%,7.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
36,2006,2006-12-31,16,27.268,DAL,,DET,L 31-39,,2,2,10,5.00,1,100.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,,
37,2007,2007-09-09,1,28.155,DAL,,NYG,W 45-35,*,4,3,51,17.00,0,75.0%,12.75,0,0,,0,0,0,,0,0,0,,,,,,1,13,13.00,0,2,15,7.50,0,0,0,0.0,,
38,2007,2007-09-16,2,28.162,DAL,@,MIA,W 37-20,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,49,24.50,0,0,0,0.0,,
39,2007,2007-09-23,3,28.169,DAL,@,CHI,W 34-10,*,7,3,27,9.00,0,42.9%,3.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,2,1.00,0,0,0,0.0,,
40,2007,2007-09-30,4,28.176,DAL,,STL,W 35-7,*,8,7,184,26.29,2,87.5%,23.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,45,22.50,0,2,12,0.0,,
41,2007,2007-10-08,5,28.184,DAL,@,BUF,W 25-24,*,9,6,73,12.17,1,66.7%,8.11,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,9,9.00,0,1,6,0.0,,
42,2007,2007-10-14,6,28.190,DAL,,NWE,L 27-48,*,9,5,46,9.20,1,55.6%,5.11,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,,
43,2007,2007-10-21,7,28.197,DAL,,MIN,W 24-14,*,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,19,9.50,0,0,0,0.0,,
44,2007,2007-11-04,8,28.211,DAL,@,PHI,W 38-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
45,2007,2007-11-11,9,28.218,DAL,@,NYG,W 31-20,,5,5,66,13.20,1,100.0%,13.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,,
46,2007,2007-11-18,10,28.225,DAL,,WAS,W 28-23,*,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,,,,,1,9,9.00,0,1,9,9.00,0,0,0,0.0,,
47,2007,2007-11-29,12,28.236,DAL,,GNB,W 37-27,*,6,3,42,14.00,2,50.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,10,10.00,0,2,12,0.0,,
48,2007,2007-12-09,13,28.246,DAL,@,DET,W 28-27,*,6,3,46,15.33,0,50.0%,7.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
49,2007,2007-12-16,14,28.253,DAL,,PHI,L 6-10,*,3,2,54,27.00,0,66.7%,18.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,20,6.67,0,0,0,0.0,,
50,2007,2007-12-22,15,28.259,DAL,@,CAR,W 20-13,*,9,7,65,9.29,0,77.8%,7.22,0,0,,0,0,0,,0,0,0,,,,,,1,4,4.00,0,4,20,5.00,0,0,0,0.0,,
51,2007,2007-12-30,16,28.267,DAL,@,WAS,L 6-27,*,5,2,8,4.00,0,40.0%,1.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,3,1.50,0,0,0,0.0,,
52,2008,2008-09-07,1,29.153,DAL,@,CLE,W 28-10,*,6,6,82,13.67,0,100.0%,13.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
53,2008,2008-09-15,2,29.161,DAL,,PHI,W 41-37,,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
54,2008,2008-09-21,3,29.167,DAL,@,GNB,W 27-16,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
55,2008,2008-09-28,4,29.174,DAL,,WAS,L 24-26,*,10,7,87,12.43,0,70.0%,8.70,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
56,2008,2008-10-05,5,29.181,DAL,,CIN,W 31-22,,3,1,15,15.00,1,33.3%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0.0,0,0
57,2008,2008-10-12,6,29.188,DAL,@,ARI,L 24-30,*,6,3,84,28.00,1,50.0%,14.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0.0,0,0
58,2008,2008-10-19,7,29.195,DAL,@,STL,L 14-34,*,7,3,30,10.00,0,42.9%,4.29,1,11,11.00,0,0,0,,0,0,0,,0,,,,0,0,,0,2,41,20.50,0,0,0,0.0,0,0
59,2008,2008-10-26,8,29.202,DAL,,TAM,W 13-9,,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,5,5.00,0,0,0,0.0,0,0
60,2008,2008-11-02,9,29.209,DAL,@,NYG,L 14-35,*,8,4,46,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,6.00,0,0,0,0.0,1,0
61,2008,2008-11-16,10,29.223,DAL,@,WAS,W 14-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,26,8.67,0,0,0,0.0,0,0
62,2008,2008-11-23,11,29.230,DAL,,SFO,W 35-22,*,3,2,16,8.00,1,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,,,,1,11,11.00,0,2,16,8.00,0,1,6,0.0,0,0
63,2008,2008-11-27,12,29.234,DAL,,SEA,W 34-9,,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,15,7.50,0,0,0,0.0,0,0
64,2008,2008-12-07,13,29.244,DAL,@,PIT,L 13-20,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
65,2008,2008-12-14,14,29.251,DAL,,NYG,W 20-8,,3,2,49,24.50,1,66.7%,16.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,34,8.50,0,1,6,0.0,0,0
66,2008,2008-12-20,15,29.257,DAL,,BAL,L 24-33,,5,3,58,19.33,0,60.0%,11.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
