ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2017,2017-09-10,1,22.235,NYJ,@,BUF,L 12-21,,0,0,0,,0,0.0%,
2,2017,2017-09-17,2,22.242,NYJ,@,OAK,L 20-45,,0,0,0,,0,0.0%,
3,2017,2017-10-01,4,22.256,NYJ,,JAX,W 23-20,,0,0,0,,0,0.0%,
4,2017,2017-10-08,5,22.263,NYJ,@,CLE,W 17-14,,0,0,0,,0,0.0%,
5,2017,2017-10-15,6,22.270,NYJ,,NWE,L 17-24,,0,0,0,,0,0.0%,
6,2017,2017-10-22,7,22.277,NYJ,@,MIA,L 28-31,,0,0,0,,0,0.0%,
7,2017,2017-10-29,8,22.284,NYJ,,ATL,L 20-25,,0,0,0,,0,0.0%,
8,2017,2017-11-02,9,22.288,NYJ,,BUF,W 34-21,,0,0,0,,0,0.0%,
9,2017,2017-11-12,10,22.298,NYJ,@,TAM,L 10-15,,4,3,33,11.00,0,75.0%,8.25
10,2017,2017-11-26,11,22.312,NYJ,,CAR,L 27-35,,1,0,0,,0,0.0%,0.00
11,2017,2017-12-03,12,22.319,NYJ,,KAN,W 38-31,,3,2,25,12.50,0,66.7%,8.33
12,2017,2017-12-10,13,22.326,NYJ,@,DEN,L 0-23,,0,0,0,,0,0.0%,
13,2017,2017-12-17,14,22.333,NYJ,@,NOR,L 19-31,,4,3,21,7.00,0,75.0%,5.25
14,2017,2017-12-24,15,22.340,NYJ,,LAC,L 7-14,,1,0,0,,0,0.0%,0.00
15,2017,2017-12-31,16,22.347,NYJ,@,NWE,L 6-26,*,4,1,15,15.00,0,25.0%,3.75
