ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1993,1993-09-05,1,24.227,MIN,@,RAI,L 7-24,
2,1993,1993-09-12,2,24.234,MIN,,CHI,W 10-7,
3,1993,1993-09-26,3,24.248,MIN,,GNB,W 15-13,
4,1993,1993-10-03,4,24.255,MIN,@,SFO,L 19-38,1.0
5,1993,1993-10-10,5,24.262,MIN,,TAM,W 15-0,
6,1993,1993-10-25,6,24.277,MIN,@,CHI,W 19-12,
7,1993,1993-10-31,7,24.283,MIN,,DET,L 27-30,
8,1993,1993-11-07,8,24.290,MIN,,SDG,L 17-30,
9,1993,1993-11-14,9,24.297,MIN,@,DEN,W 26-23,
10,1993,1993-11-21,10,24.304,MIN,@,TAM,L 10-23,
11,1994,1994-10-30,8,25.282,MIN,@,TAM,W 36-13,
12,1994,1994-11-06,9,25.289,MIN,,NOR,W 21-20,0.5
13,1994,1994-11-13,10,25.296,MIN,@,NWE,L 20-26,
14,1994,1994-11-27,12,25.310,MIN,,TAM,L 17-20,
15,1994,1994-12-01,13,25.314,MIN,,CHI,W 33-27,
16,1994,1994-12-11,14,25.324,MIN,@,BUF,W 21-17,
17,1994,1994-12-26,16,25.339,MIN,,SFO,W 21-14,
18,1995,1995-09-10,2,26.232,JAX,@,CIN,L 17-24,
19,1995,1995-09-17,3,26.239,JAX,@,NYJ,L 10-27,
20,1995,1995-12-17,15,26.330,STL,,WAS,L 23-35,
21,1995,1995-12-24,16,26.337,STL,,MIA,L 22-41,
