ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1983,1983-09-04,1,23.248,ATL,@,CHI,W 20-17,0,0,,0,0,0,,0,,,,
2,1983,1983-09-11,2,23.255,ATL,,NYG,L 13-16,0,0,,0,0,0,,0,,,,
3,1983,1983-09-18,3,23.262,ATL,@,DET,W 30-14,0,0,,0,0,0,,0,,,,
4,1983,1983-09-25,4,23.269,ATL,@,SFO,L 20-24,0,0,,0,0,0,,0,,,,
5,1983,1983-10-02,5,23.276,ATL,,PHI,L 24-28,0,0,,0,0,0,,0,,,,
6,1983,1983-10-09,6,23.283,ATL,,NOR,L 17-19,0,0,,0,0,0,,0,,,,
7,1983,1983-10-16,7,23.290,ATL,@,RAM,L 21-27,0,0,,0,0,0,,0,,,,
8,1983,1983-10-23,8,23.297,ATL,@,NYJ,W 27-21,0,0,,0,0,0,,0,,,,
9,1983,1983-10-30,9,23.304,ATL,,NWE,W 24-13,0,0,,0,0,0,,0,,,,
10,1983,1983-11-06,10,23.311,ATL,@,NOR,L 10-27,0,0,,0,0,0,,0,,,,
11,1983,1983-11-14,11,23.319,ATL,,RAM,L 13-36,0,0,,0,1,16,16.00,0,0,0,,0
12,1983,1983-11-20,12,23.325,ATL,,SFO,W 28-24,0,0,,0,0,0,,0,,,,
13,1983,1983-11-27,13,23.332,ATL,,GNB,W 47-41,0,0,,0,0,0,,0,,,,
14,1983,1983-12-04,14,23.339,ATL,@,WAS,L 21-37,1,15,15.00,0,0,0,,0,0,0,,0
15,1983,1983-12-10,15,23.345,ATL,@,MIA,L 24-31,0,0,,0,1,10,10.00,0,0,0,,0
16,1983,1983-12-18,16,23.353,ATL,,BUF,W 31-14,0,0,,0,0,0,,0,,,,
17,1984,1984-09-02,1,24.247,ATL,@,NOR,W 36-28,0,0,,0,0,0,,0,0,0,,0
18,1984,1984-09-09,2,24.254,ATL,,DET,L 24-27,0,0,,0,5,98,19.60,0,0,0,,0
19,1984,1984-09-16,3,24.261,ATL,@,MIN,L 20-27,0,0,,0,1,9,9.00,0,0,0,,0
20,1984,1984-09-23,4,24.268,ATL,,HOU,W 42-10,0,0,,0,0,0,,0,0,0,,0
21,1984,1984-09-30,5,24.275,ATL,@,SFO,L 5-14,0,0,,0,0,0,,0,0,0,,0
22,1984,1984-10-07,6,24.282,ATL,@,RAM,W 30-28,0,0,,0,0,0,,0,0,0,,0
23,1984,1984-10-14,7,24.289,ATL,,NYG,L 7-19,0,0,,0,0,0,,0,2,9,4.50,0
24,1984,1984-10-22,8,24.297,ATL,,RAM,L 10-24,1,7,7.00,0,0,0,,0,3,3,1.00,0
25,1984,1984-10-28,9,24.303,ATL,@,PIT,L 10-35,0,0,,0,0,0,,0,4,9,2.25,0
26,1984,1984-11-05,10,24.311,ATL,@,WAS,L 14-27,0,0,,0,0,0,,0,0,0,,0
27,1984,1984-11-25,13,24.331,ATL,@,CIN,L 14-35,0,0,,0,2,61,30.50,0,0,0,,0
28,1984,1984-12-02,14,24.338,ATL,,SFO,L 17-35,0,0,,0,3,51,17.00,0,0,0,,0
29,1984,1984-12-09,15,24.345,ATL,@,TAM,L 6-23,0,0,,0,0,0,,0,0,0,,0
30,1984,1984-12-16,16,24.352,ATL,,PHI,W 26-10,0,0,,0,0,0,,0,0,0,,0
