ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1959,1959-09-27,1,25.168,PHI,@,SFO,L 14-24,0,0,,0,1,11,11.00,0,0,,,,,
2,1959,1959-10-04,2,25.175,PHI,,NYG,W 49-21,2,-5,-2.50,0,1,-2,-2.00,0,0,,,,,
3,1960,1960-10-02,4,26.173,NYT,@,DTX,W 37-35,4,6,1.50,0,0,0,,0,0,0,5,219,43.80,0
4,1960,1960-10-09,5,26.180,NYT,@,HOU,L 21-27,1,3,3.00,0,0,0,,0,0,0,2,89,44.50,0
5,1960,1960-10-16,6,26.187,NYT,@,BUF,W 17-13,1,6,6.00,0,0,0,,0,0,0,3,117,39.00,0
6,1960,1960-10-23,7,26.194,NYT,,HOU,L 28-42,3,10,3.33,0,0,0,,0,0,0,4,109,27.25,0
7,1960,1960-10-28,8,26.199,NYT,,OAK,L 27-28,0,0,,0,0,0,,0,0,0,3,120,40.00,0
8,1960,1960-11-04,9,26.206,NYT,,LAC,L 7-21,0,0,,0,0,0,,0,0,0,5,199,39.80,0
9,1960,1960-11-11,10,26.213,NYT,@,BOS,L 21-38,6,15,2.50,1,1,13,13.00,0,1,6,5,157,31.40,0
10,1960,1960-11-24,11,26.226,NYT,,DTX,W 41-35,0,0,,0,0,0,,0,0,0,5,182,36.40,0
11,1960,1960-12-04,12,26.236,NYT,@,DEN,W 30-27,0,0,,0,0,0,,0,0,0,6,202,33.67,0
12,1960,1960-12-11,13,26.243,NYT,@,OAK,W 31-28,1,4,4.00,0,0,0,,0,0,0,5,163,32.60,0
13,1960,1960-12-18,14,26.250,NYT,@,LAC,L 43-50,1,25,25.00,0,0,0,,0,0,0,5,222,44.40,0
