ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,22.257,CHI,@,WAS,L 7-9,,3,10,3.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,
2,2005,2005-09-18,2,22.264,CHI,,DET,W 38-6,,16,49,3.06,0,0,0,0,,0,0.0%,,,0,0,0.0,,
3,2005,2005-10-09,4,22.285,CHI,@,CLE,L 10-20,,5,6,1.20,0,0,0,0,,0,0.0%,,,0,0,0.0,,
4,2005,2005-10-16,5,22.292,CHI,,MIN,W 28-3,,3,2,0.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,
5,2005,2005-10-23,6,22.299,CHI,,BAL,W 10-6,,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
6,2005,2005-10-30,7,22.306,CHI,@,DET,W 19-13,,3,35,11.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,
7,2005,2005-11-06,8,22.313,CHI,@,NOR,W 20-17,,14,79,5.64,0,0,0,0,,0,0.0%,,,0,0,0.0,,
8,2005,2005-11-13,9,22.320,CHI,,SFO,W 17-9,*,12,50,4.17,0,0,0,0,,0,0.0%,,,0,0,0.0,,
9,2005,2006-01-01,16,23.004,CHI,@,MIN,L 10-34,,9,35,3.89,0,1,1,3,3.00,0,100.0%,3.00,,0,0,0.0,,
10,2006,2006-09-10,1,23.256,CHI,@,GNB,W 26-0,,11,34,3.09,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,,
11,2006,2006-09-17,2,23.263,CHI,,DET,W 34-7,,10,25,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,
12,2006,2006-10-01,4,23.277,CHI,,SEA,W 37-6,,11,37,3.36,0,0,0,0,,0,0.0%,,,0,0,0.0,,
13,2006,2006-10-08,5,23.284,CHI,,BUF,W 40-7,,14,48,3.43,2,2,2,14,7.00,0,100.0%,7.00,,2,12,0.0,,
14,2006,2006-10-16,6,23.292,CHI,@,ARI,W 24-23,,1,4,4.00,0,1,1,8,8.00,0,100.0%,8.00,,0,0,0.0,,
15,2006,2006-10-29,7,23.305,CHI,,SFO,W 41-10,,8,26,3.25,1,1,1,3,3.00,0,100.0%,3.00,,1,6,0.0,,
16,2006,2006-11-05,8,23.312,CHI,,MIA,L 13-31,,8,34,4.25,0,0,0,0,,0,0.0%,,,0,0,0.0,,
17,2006,2006-11-12,9,23.319,CHI,@,NYG,W 38-20,,6,7,1.17,0,1,1,-1,-1.00,0,100.0%,-1.00,,0,0,0.0,,
18,2006,2006-11-19,10,23.326,CHI,@,NYJ,W 10-0,,10,51,5.10,0,0,0,0,,0,0.0%,,,0,0,0.0,,
19,2006,2006-11-26,11,23.333,CHI,@,NWE,L 13-17,,10,46,4.60,1,0,0,0,,0,0.0%,,,1,6,0.0,,
20,2006,2006-12-03,12,23.340,CHI,,MIN,W 23-13,,9,60,6.67,1,0,0,0,,0,0.0%,,,1,6,0.0,,
21,2006,2006-12-11,13,23.348,CHI,@,STL,W 42-27,,16,64,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
22,2006,2006-12-17,14,23.354,CHI,,TAM,W 34-31,,15,53,3.53,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,,
23,2006,2006-12-24,15,23.361,CHI,@,DET,W 26-21,,15,49,3.27,0,2,2,8,4.00,0,100.0%,4.00,,0,0,0.0,,
24,2006,2006-12-31,16,24.003,CHI,,GNB,L 7-26,,13,109,8.38,0,1,1,22,22.00,0,100.0%,22.00,,0,0,0.0,,
25,2007,2007-09-09,1,24.255,CHI,@,SDG,L 3-14,*,19,42,2.21,0,2,1,11,11.00,0,50.0%,5.50,,0,0,0.0,,
26,2007,2007-09-16,2,24.262,CHI,,KAN,W 20-10,*,24,101,4.21,0,1,1,9,9.00,0,100.0%,9.00,,0,0,0.0,,
27,2007,2007-09-23,3,24.269,CHI,,DAL,L 10-34,*,16,46,2.88,1,1,1,8,8.00,0,100.0%,8.00,,1,6,0.0,,
28,2007,2007-09-30,4,24.276,CHI,@,DET,L 27-37,*,15,50,3.33,0,7,5,24,4.80,0,71.4%,3.43,,0,0,0.0,,
29,2007,2007-10-07,5,24.283,CHI,@,GNB,W 27-20,*,27,64,2.37,1,2,1,5,5.00,0,50.0%,2.50,,1,6,0.0,,
30,2007,2007-10-14,6,24.290,CHI,,MIN,L 31-34,*,18,67,3.72,0,5,2,18,9.00,0,40.0%,3.60,,0,0,0.0,,
31,2007,2007-10-21,7,24.297,CHI,@,PHI,W 19-16,*,17,46,2.71,0,1,1,19,19.00,0,100.0%,19.00,,0,0,0.0,,
32,2007,2007-10-28,8,24.304,CHI,,DET,L 7-16,*,13,50,3.85,0,4,2,10,5.00,0,50.0%,2.50,,0,0,0.0,,
33,2007,2007-11-11,9,24.318,CHI,@,OAK,W 17-6,*,28,72,2.57,1,2,2,21,10.50,0,100.0%,10.50,,1,6,0.0,,
34,2007,2007-11-18,10,24.325,CHI,@,SEA,L 23-30,*,11,89,8.09,1,2,1,-2,-2.00,0,50.0%,-1.00,,1,6,0.0,,
35,2007,2007-11-25,11,24.332,CHI,,DEN,W 37-34,*,8,47,5.88,0,0,0,0,,0,0.0%,,,0,0,0.0,,
36,2008,2008-10-05,5,25.282,CIN,@,DAL,L 22-31,,10,30,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
37,2008,2008-10-12,6,25.289,CIN,@,NYJ,L 14-26,,4,6,1.50,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
38,2008,2008-10-19,7,25.296,CIN,,PIT,L 10-38,*,14,52,3.71,0,2,1,10,10.00,0,50.0%,5.00,,0,0,0.0,0,0
39,2008,2008-10-26,8,25.303,CIN,@,HOU,L 6-35,*,13,49,3.77,0,2,2,20,10.00,0,100.0%,10.00,,0,0,0.0,0,0
40,2008,2008-11-02,9,25.310,CIN,,JAX,W 21-19,*,24,104,4.33,1,2,1,5,5.00,0,50.0%,2.50,,1,6,0.0,0,0
41,2008,2008-11-16,10,25.324,CIN,,PHI,T 13-13,*,23,42,1.83,0,6,6,37,6.17,0,100.0%,6.17,,0,0,0.0,0,0
