ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
1,1994,1994-09-04,1,22.140,RAM,,ARI,W 14-12,,0,0,,0,0.0,1,1,0
2,1994,1994-09-11,2,22.147,RAM,@,ATL,L 13-31,,,,,,,,,
3,1994,1994-09-18,3,22.154,RAM,,SFO,L 19-34,,,,,,,,,
4,1994,1994-09-25,4,22.161,RAM,@,KAN,W 16-0,,0,0,,0,0.0,1,0,0
5,1994,1994-10-02,5,22.168,RAM,,ATL,L 5-8,,,,,,,,,
6,1994,1994-10-09,6,22.175,RAM,@,GNB,L 17-24,,,,,,,,,
7,1994,1994-10-16,7,22.182,RAM,,NYG,W 17-10,,,,,,,,,
8,1994,1994-10-23,8,22.189,RAM,@,NOR,L 34-37,,,,,,,,,
9,1994,1994-11-06,9,22.203,RAM,,DEN,W 27-21,,,,,,,,,
10,1994,1994-11-13,10,22.210,RAM,,RAI,L 17-20,,,,,,,,,
11,1994,1994-11-20,11,22.217,RAM,@,SFO,L 27-31,,,,,,,,,
12,1994,1994-11-27,12,22.224,RAM,@,SDG,L 17-31,,,,,,,,,
13,1994,1994-12-04,13,22.231,RAM,,NOR,L 15-31,,,,,,,,,
14,1994,1994-12-11,14,22.238,RAM,@,TAM,L 14-24,,,,,,,,,
15,1994,1994-12-18,15,22.245,RAM,@,CHI,L 13-27,,,,,,,,,
16,1994,1994-12-24,16,22.251,RAM,,WAS,L 21-24,,,,,,,,,
17,1995,1995-09-03,1,23.139,STL,@,GNB,W 17-14,,0,0,,0,0.0,1,31,0
18,1995,1995-09-10,2,23.146,STL,,NOR,W 17-13,,1,4,4.00,0,0.0,0,0,0
19,1995,1995-09-17,3,23.153,STL,@,CAR,W 31-10,,0,0,,0,0.0,1,11,0
20,1995,1995-09-24,4,23.160,STL,,CHI,W 34-28,,0,0,,0,,,,
21,1995,1995-10-01,5,23.167,STL,@,IND,L 18-21,,0,0,,0,,,,
22,1995,1995-10-12,6,23.178,STL,,ATL,W 21-19,,0,0,,0,,,,
