ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1967,1967-12-10,13,26.312,KAN,@,NYJ,W 21-7,1,0,0.00,0
2,1970,1970-09-20,1,29.231,KAN,@,MIN,L 10-27,,,,
3,1970,1970-09-28,2,29.239,KAN,@,BAL,W 44-24,,,,
4,1970,1970-10-04,3,29.245,KAN,@,DEN,L 13-26,,,,
5,1970,1970-10-11,4,29.252,KAN,,BOS,W 23-10,,,,
6,1970,1970-10-18,5,29.259,KAN,@,CIN,W 27-19,,,,
7,1970,1970-10-25,6,29.266,KAN,,DAL,L 16-27,,,,
8,1970,1970-11-01,7,29.273,KAN,,OAK,T 17-17,,,,
9,1970,1970-11-08,8,29.280,KAN,,HOU,W 24-9,,,,
10,1970,1970-11-15,9,29.287,KAN,@,PIT,W 31-14,,,,
11,1970,1970-11-22,10,29.294,KAN,,STL,T 6-6,,,,
12,1970,1970-11-29,11,29.301,KAN,,SDG,W 26-14,,,,
13,1970,1970-12-06,12,29.308,KAN,,DEN,W 16-0,,,,
14,1970,1970-12-12,13,29.314,KAN,@,OAK,L 6-20,,,,
15,1970,1970-12-20,14,29.322,KAN,@,SDG,L 13-31,,,,
16,1971,1971-09-19,1,30.230,KAN,@,SDG,L 14-21,,,,
17,1971,1971-09-26,2,30.237,KAN,@,HOU,W 20-16,,,,
18,1971,1971-10-03,3,30.244,KAN,@,DEN,W 16-3,,,,
19,1971,1971-10-10,4,30.251,KAN,,SDG,W 31-10,,,,
20,1971,1971-10-18,5,30.259,KAN,,PIT,W 38-16,,,,
21,1971,1971-10-24,6,30.265,KAN,,WAS,W 27-20,,,,
22,1971,1971-10-31,7,30.272,KAN,@,OAK,T 20-20,,,,
23,1971,1971-11-07,8,30.279,KAN,@,NYJ,L 10-13,,,,
24,1971,1971-11-14,9,30.286,KAN,,CLE,W 13-7,,,,
25,1971,1971-11-21,10,30.293,KAN,,DEN,W 28-10,,,,
26,1971,1971-11-25,11,30.297,KAN,@,DET,L 21-32,,,,
27,1971,1971-12-06,12,30.308,KAN,@,SFO,W 26-17,,,,
28,1971,1971-12-12,13,30.314,KAN,,OAK,W 16-14,,,,
29,1971,1971-12-19,14,30.321,KAN,,BUF,W 22-9,,,,
30,1972,1972-09-17,1,31.229,KAN,,MIA,L 10-20,,,,
31,1972,1972-09-25,2,31.237,KAN,@,NOR,W 20-17,,,,
32,1972,1972-10-01,3,31.243,KAN,@,DEN,W 45-24,,,,
33,1972,1972-10-08,4,31.250,KAN,@,CLE,W 31-7,,,,
34,1972,1972-10-15,5,31.257,KAN,,CIN,L 16-23,,,,
35,1972,1972-10-22,6,31.264,KAN,,PHI,L 20-21,,,,
36,1972,1972-10-29,7,31.271,KAN,@,SDG,W 26-14,,,,
37,1972,1972-11-05,8,31.278,KAN,,OAK,W 27-14,,,,
38,1972,1972-11-12,9,31.285,KAN,@,PIT,L 7-16,,,,
39,1972,1972-11-19,10,31.292,KAN,,SDG,L 17-27,,,,
40,1972,1972-11-26,11,31.299,KAN,@,OAK,L 3-26,,,,
41,1972,1972-12-03,12,31.306,KAN,,DEN,W 24-21,,,,
42,1972,1972-12-10,13,31.313,KAN,,BAL,W 24-10,,,,
43,1972,1972-12-17,14,31.320,KAN,@,ATL,W 17-14,,,,
44,1973,1973-10-29,7,32.270,KAN,@,BUF,L 14-23,,,,
45,1973,1973-11-04,8,32.276,KAN,@,SDG,W 19-0,,,,
46,1973,1973-11-12,9,32.284,KAN,,CHI,W 19-7,,,,
47,1973,1973-11-18,10,32.290,KAN,,HOU,W 38-14,,,,
48,1973,1973-11-25,11,32.297,KAN,@,DEN,L 10-14,,,,
49,1973,1973-12-02,12,32.304,KAN,,CLE,T 20-20,,,,
50,1973,1973-12-08,13,32.310,KAN,@,OAK,L 7-37,,,,
51,1973,1973-12-16,14,32.318,KAN,,SDG,W 33-6,,,,
52,1974,1974-09-15,1,33.226,KAN,,NYJ,W 24-16,,,,
53,1974,1974-09-22,2,33.233,KAN,@,OAK,L 7-27,,,,
54,1974,1974-09-29,3,33.240,KAN,@,HOU,W 17-7,,,,
55,1974,1974-10-06,4,33.247,KAN,,DEN,L 14-17,,,,
56,1974,1974-10-13,5,33.254,KAN,,PIT,L 24-34,,,,
