ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,21.229,BAL,,CIN,W 17-10,*,22,64,2.91,0,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
2,2008,2008-09-21,2,21.243,BAL,,CLE,W 28-10,,5,21,4.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
3,2008,2008-09-29,3,21.251,BAL,@,PIT,L 20-23,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
4,2008,2008-10-05,4,21.257,BAL,,TEN,L 10-13,,,,,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
5,2008,2008-10-12,5,21.264,BAL,@,IND,L 3-31,,6,23,3.83,0,8,7,64,9.14,0,87.5%,8.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
6,2008,2008-10-19,6,21.271,BAL,@,MIA,W 27-13,*,7,13,1.86,0,2,2,46,23.00,0,100.0%,23.00,0,0,,0,0,0,,,,,,4,101,25.25,0,,0,0,0.0,0,0
7,2008,2008-10-26,7,21.278,BAL,,OAK,W 29-10,,8,64,8.00,0,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,,,,,,2,54,27.00,0,,0,0,0.0,0,0
8,2008,2008-11-02,8,21.285,BAL,@,CLE,W 37-27,*,21,154,7.33,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,,,,,1,6,6.00,0,,0,0,0.0,0,0
9,2008,2008-11-09,9,21.292,BAL,@,HOU,W 41-13,*,7,17,2.43,0,2,2,2,1.00,0,100.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
10,2008,2008-11-16,10,21.299,BAL,@,NYG,L 10-30,,8,19,2.38,0,5,4,18,4.50,0,80.0%,3.60,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
11,2008,2008-11-23,11,21.306,BAL,,PHI,W 36-7,,8,7,0.88,0,6,3,42,14.00,0,50.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
12,2008,2008-11-30,12,21.313,BAL,@,CIN,W 34-3,,11,41,3.73,0,6,4,14,3.50,0,66.7%,2.33,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
13,2008,2008-12-07,13,21.320,BAL,,WAS,W 24-10,,3,31,10.33,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
14,2009,2009-09-13,1,22.234,BAL,,KAN,W 38-24,*,19,108,5.68,0,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
15,2009,2009-09-20,2,22.241,BAL,@,SDG,W 31-26,*,8,36,4.50,0,6,5,46,9.20,0,83.3%,7.67,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
16,2009,2009-09-27,3,22.248,BAL,,CLE,W 34-3,*,11,48,4.36,1,7,4,27,6.75,0,57.1%,3.86,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,0,0
17,2009,2009-10-04,4,22.255,BAL,@,NWE,L 21-27,,11,103,9.36,0,7,5,49,9.80,0,71.4%,7.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
18,2009,2009-10-11,5,22.262,BAL,,CIN,L 14-17,*,14,69,4.93,0,8,7,74,10.57,1,87.5%,9.25,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,0,0
19,2009,2009-10-18,6,22.269,BAL,@,MIN,L 31-33,*,10,77,7.70,2,11,10,117,11.70,0,90.9%,10.64,0,0,,0,0,0,,0,,,,0,0,,0,,2,12,0.0,0,0
20,2009,2009-11-01,7,22.283,BAL,,DEN,W 30-7,*,23,84,3.65,1,5,5,24,4.80,0,100.0%,4.80,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,0,0
21,2009,2009-11-08,8,22.290,BAL,@,CIN,L 7-17,*,12,48,4.00,1,8,8,87,10.88,0,100.0%,10.88,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,0,0
22,2009,2009-11-16,9,22.298,BAL,@,CLE,W 16-0,*,20,89,4.45,1,3,3,15,5.00,0,100.0%,5.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,1,6,0.0,0,0
23,2009,2009-11-22,10,22.304,BAL,,IND,L 15-17,*,20,71,3.55,0,10,7,64,9.14,0,70.0%,6.40,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
24,2009,2009-11-29,11,22.311,BAL,,PIT,W 20-17,*,19,88,4.63,0,5,5,67,13.40,0,100.0%,13.40,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
25,2009,2009-12-07,12,22.319,BAL,@,GNB,L 14-27,*,14,54,3.86,0,6,3,17,5.67,0,50.0%,2.83,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
26,2009,2009-12-13,13,22.325,BAL,,DET,W 48-3,*,13,166,12.77,1,7,4,53,13.25,0,57.1%,7.57,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,0,0
27,2009,2009-12-20,14,22.332,BAL,,CHI,W 31-7,*,16,87,5.44,0,5,5,17,3.40,0,100.0%,3.40,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
28,2009,2009-12-27,15,22.339,BAL,@,PIT,L 20-23,*,30,141,4.70,0,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,3,0
29,2009,2010-01-03,16,22.346,BAL,@,OAK,W 21-13,*,14,70,5.00,0,7,4,19,4.75,0,57.1%,2.71,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0
30,2010,2010-09-13,1,23.234,BAL,@,NYJ,W 10-9,*,21,43,2.05,0,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
31,2010,2010-09-19,2,23.240,BAL,@,CIN,L 10-15,*,16,87,5.44,0,6,4,30,7.50,0,66.7%,5.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0
32,2010,2010-09-26,3,23.247,BAL,,CLE,W 24-17,*,15,80,5.33,0,5,4,16,4.00,0,80.0%,3.20,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
