ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,def_int,def_int_yds,def_int_td
1,1956,1956-11-18,8,23.306,CHI,,RAM,W 30-21,3,17,5.67,0,0,0,,0,,,
2,1956,1956-12-09,11,23.327,CHI,,CRD,W 10-3,16,68,4.25,1,0,0,,0,,,
3,1956,1956-12-16,12,23.334,CHI,,DET,W 38-21,15,56,3.73,1,0,0,,0,,,
4,1957,1957-11-03,6,24.290,CHI,@,RAM,W 16-10,1,1,1.00,0,0,0,,0,,,
5,1957,1957-12-08,11,24.325,CHI,@,CRD,W 14-6,0,0,,0,1,33,33.00,0,,,
6,1958,1958-09-28,1,25.254,CHI,@,GNB,W 34-20,5,32,6.40,0,0,0,,0,,,
7,1958,1958-10-04,2,25.260,CHI,@,BAL,L 38-51,2,5,2.50,0,0,0,,0,,,
8,1958,1958-10-12,3,25.268,CHI,,SFO,W 28-6,4,14,3.50,0,1,6,6.00,0,,,
9,1958,1958-10-19,4,25.275,CHI,,RAM,W 31-10,5,13,2.60,0,1,-4,-4.00,0,,,
10,1958,1958-10-26,5,25.282,CHI,@,SFO,W 27-14,5,27,5.40,0,2,56,28.00,1,,,
11,1958,1958-11-02,6,25.289,CHI,@,RAM,L 35-41,1,2,2.00,0,1,20,20.00,0,,,
12,1958,1958-11-09,7,25.296,CHI,,GNB,W 24-10,6,17,2.83,0,0,0,,0,,,
13,1958,1958-11-16,8,25.303,CHI,,BAL,L 0-17,3,11,3.67,0,0,0,,0,,,
14,1958,1958-12-07,11,25.324,CHI,,CRD,W 30-14,2,0,0.00,0,0,0,,0,,,
15,1960,1960-11-13,7,27.301,CHI,,BAL,L 20-24,0,0,,0,0,0,,0,1,31,0
16,1960,1960-12-18,12,27.336,CHI,@,DET,L 0-36,0,0,,0,0,0,,0,2,0,0
17,1961,1961-09-23,2,28.249,CHI,@,RAM,W 21-17,0,0,,0,0,0,,0,1,28,0
18,1961,1961-11-26,11,28.313,CHI,,RAM,W 28-24,0,0,,0,0,0,,0,2,20,0
19,1962,1962-11-25,11,29.312,CHI,@,BAL,W 57-0,0,0,,0,0,0,,0,1,21,0
20,1962,1962-12-16,14,29.333,CHI,,DET,W 3-0,0,0,,0,0,0,,0,1,0,0
21,1963,1963-10-27,7,30.283,CHI,,PHI,W 16-7,0,0,,0,0,0,,0,1,3,0
22,1964,1964-10-11,5,31.268,CHI,,RAM,W 38-17,0,0,,0,0,0,,0,1,79,0
23,1964,1964-12-13,14,31.331,CHI,,MIN,L 14-41,0,0,,0,0,0,,0,1,5,0
