ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2001,2001-09-23,2,22.310,IND,,BUF,W 42-26,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
2,2001,2001-10-14,4,22.331,IND,,OAK,L 18-23,*,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
3,2001,2001-10-21,5,22.338,IND,,NWE,L 17-38,*,6,3,33,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
4,2001,2001-10-25,6,22.342,IND,@,KAN,W 35-28,*,7,5,63,12.60,0,71.4%,9.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
5,2001,2001-11-04,7,22.352,IND,@,BUF,W 30-14,*,4,2,58,29.00,0,50.0%,14.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
6,2001,2001-11-11,8,22.359,IND,,MIA,L 24-27,*,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
7,2001,2001-11-18,9,23.001,IND,@,NOR,L 20-34,*,5,2,31,15.50,0,40.0%,6.20,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
8,2001,2001-12-02,11,23.015,IND,@,BAL,L 27-39,,4,3,11,3.67,0,75.0%,2.75,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
9,2001,2001-12-10,12,23.023,IND,@,MIA,L 6-41,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
10,2001,2001-12-16,13,23.029,IND,,ATL,W 41-27,*,8,5,78,15.60,0,62.5%,9.75,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
11,2001,2001-12-23,14,23.036,IND,,NYJ,L 28-29,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
12,2001,2001-12-30,15,23.043,IND,@,STL,L 17-42,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
13,2001,2002-01-06,16,23.050,IND,,DEN,W 29-10,*,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
14,2002,2002-09-08,1,23.295,IND,@,JAX,W 28-25,,2,2,35,17.50,0,100.0%,17.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
15,2002,2002-09-15,2,23.302,IND,,MIA,L 13-21,*,5,2,17,8.50,0,40.0%,3.40,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
16,2002,2002-09-22,3,23.309,IND,@,HOU,W 23-3,,4,3,53,17.67,1,75.0%,13.25,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
17,2002,2002-10-06,4,23.323,IND,,CIN,W 28-21,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
18,2002,2002-10-13,5,23.330,IND,,BAL,W 22-20,*,6,4,44,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
19,2002,2002-10-21,6,23.338,IND,@,PIT,L 10-28,,6,4,33,8.25,0,66.7%,5.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
20,2002,2002-10-27,7,23.344,IND,@,WAS,L 21-26,,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
21,2002,2002-11-03,8,23.351,IND,,TEN,L 15-23,,6,5,93,18.60,0,83.3%,15.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
22,2002,2002-11-10,9,23.358,IND,@,PHI,W 35-13,*,6,6,121,20.17,1,100.0%,20.17,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
23,2002,2002-11-17,10,24.000,IND,,DAL,W 20-3,*,6,2,9,4.50,0,33.3%,1.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
24,2002,2002-11-24,11,24.007,IND,@,DEN,W 23-20,*,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
25,2002,2002-12-01,12,24.014,IND,,HOU,W 19-3,,5,3,43,14.33,0,60.0%,8.60,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
26,2002,2002-12-08,13,24.021,IND,@,TEN,L 17-27,*,9,5,103,20.60,0,55.6%,11.44,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
27,2002,2002-12-15,14,24.028,IND,@,CLE,W 28-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
28,2002,2002-12-22,15,24.035,IND,,NYG,L 27-44,,6,6,104,17.33,2,100.0%,17.33,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0.0,,
29,2002,2002-12-29,16,24.042,IND,,JAX,W 20-13,*,3,3,29,9.67,0,100.0%,9.67,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
30,2003,2003-09-07,1,24.294,IND,@,CLE,W 9-6,*,5,3,39,13.00,0,60.0%,7.80,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
31,2003,2003-09-14,2,24.301,IND,,TEN,W 33-7,*,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
32,2003,2003-09-21,3,24.308,IND,,JAX,W 23-13,*,13,10,141,14.10,2,76.9%,10.85,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0.0,,
33,2003,2003-09-28,4,24.315,IND,@,NOR,W 55-21,*,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
34,2003,2003-10-06,5,24.323,IND,@,TAM,W 38-35,*,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
35,2003,2003-10-12,6,24.329,IND,,CAR,L 20-23,*,5,4,71,17.75,1,80.0%,14.20,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
36,2003,2003-10-26,7,24.343,IND,,HOU,W 30-21,*,7,6,96,16.00,2,85.7%,13.71,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0.0,,
37,2003,2003-11-02,8,24.350,IND,@,MIA,W 23-17,*,6,2,20,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
