ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1983,1983-09-04,1,22.167,DET,@,TAM,W 11-0,11,23,2.09,0,,3,49,16.33,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
2,1983,1983-09-11,2,22.174,DET,,CLE,L 26-31,10,44,4.40,0,,3,20,6.67,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
3,1983,1983-09-18,3,22.181,DET,,ATL,L 14-30,8,36,4.50,1,,5,58,11.60,0,,,0,0,,0,0,0,,0,,,,0,0,,0,1,6
4,1983,1983-09-25,4,22.188,DET,@,MIN,L 17-20,23,85,3.70,0,,5,54,10.80,0,,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
5,1983,1983-10-02,5,22.195,DET,@,RAM,L 10-21,12,43,3.58,0,,2,7,3.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
6,1983,1983-10-09,6,22.202,DET,,GNB,W 38-14,19,64,3.37,3,,3,22,7.33,0,,,0,0,,0,0,0,,0,,,,0,0,,0,3,18
7,1983,1983-10-16,7,22.209,DET,,CHI,W 31-17,5,24,4.80,0,,2,56,28.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
8,1983,1983-10-23,8,22.216,DET,@,WAS,L 17-38,12,38,3.17,0,,4,28,7.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
9,1983,1983-10-30,9,22.223,DET,@,CHI,W 38-17,7,25,3.57,2,,2,20,10.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,2,12
10,1983,1983-11-07,10,22.231,DET,,NYG,W 15-9,11,15,1.36,0,,4,34,8.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
11,1983,1983-11-13,11,22.237,DET,@,HOU,L 17-27,2,4,2.00,0,,6,54,9.00,1,,,0,0,,0,0,0,,0,,,,0,0,,0,1,6
12,1983,1983-11-20,12,22.244,DET,@,GNB,W 23-20,1,5,5.00,0,,1,11,11.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
13,1983,1983-12-11,15,22.265,DET,@,CIN,L 9-17,0,0,,0,,1,16,16.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
14,1983,1983-12-18,16,22.272,DET,,TAM,W 23-20,14,69,4.93,0,,5,38,7.60,0,,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
15,1984,1984-09-02,1,23.165,DET,,SFO,L 27-30,8,31,3.88,0,,5,25,5.00,1,,,0,0,,0,0,0,,0,,,,0,0,,0,1,6
