ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2012,2012-10-28,8,24.145,NWE,@,STL,W 45-7,,1,3,33.33,17,0,0,53.5,0,0,5.67,5.67,3,-3,-1.00,0,0,0
2,2012,2012-11-18,10,24.166,NWE,,IND,W 59-24,,,,,,,,,,,,,,,,,,
3,2012,2012-11-22,11,24.170,NWE,@,NYJ,W 49-19,,0,0,,0,0,0,,0,0,,,2,-3,-1.50,0,0,0
4,2012,2012-12-10,13,24.188,NWE,,HOU,W 42-14,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,3,-3,-1.00,0,0,0
5,2014,2014-09-14,2,26.101,HOU,@,OAK,W 30-14,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0
6,2014,2014-11-16,10,26.164,HOU,@,CLE,W 23-7,*,20,30,66.67,211,2,1,95.3,0,0,7.03,6.87,4,-3,-0.75,0,0,0
7,2014,2014-11-23,11,26.171,HOU,,CIN,L 13-22,*,21,45,46.67,189,0,1,49.2,1,5,4.20,3.20,1,2,2.00,0,0,0
8,2015,2015-09-13,1,27.100,HOU,,KAN,L 20-27,,8,13,61.54,98,1,0,110.4,1,7,7.54,9.08,1,6,6.00,0,0,0
9,2015,2015-09-20,2,27.107,HOU,@,CAR,L 17-24,*,27,58,46.55,244,1,1,57.0,1,5,4.21,3.78,1,6,6.00,1,1,6
10,2015,2015-09-27,3,27.114,HOU,,TAM,W 19-9,*,24,39,61.54,228,1,1,75.6,1,1,5.85,5.21,1,-1,-1.00,0,0,0
11,2015,2015-10-04,4,27.121,HOU,@,ATL,L 21-48,*,12,27,44.44,150,0,1,46.8,0,0,5.56,3.89,0,0,,0,0,0
12,2015,2015-10-08,5,27.125,HOU,,IND,L 20-27,*,7,10,70.00,50,0,1,41.7,1,0,5.00,0.50,1,0,0.00,0,0,0
13,2015,2015-10-18,6,27.135,HOU,@,JAX,W 31-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
14,2015,2015-12-27,15,27.205,BAL,,PIT,W 20-17,*,28,41,68.29,274,1,0,95.0,1,9,6.68,7.17,0,0,,0,0,0
15,2015,2016-01-03,16,27.212,BAL,@,CIN,L 16-24,*,30,56,53.57,292,1,2,59.5,1,10,5.21,3.96,1,4,4.00,0,0,0
16,2016,2016-11-06,8,28.154,BAL,,PIT,W 21-14,,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0
17,2016,2016-11-10,9,28.158,BAL,,CLE,W 28-7,,0,0,,0,0,0,,0,0,,,2,-3,-1.50,0,0,0
18,2016,2016-12-04,12,28.182,BAL,,MIA,W 38-6,,1,3,33.33,5,0,0,42.4,0,0,1.67,1.67,3,-3,-1.00,0,0,0
19,2016,2017-01-01,16,28.210,BAL,@,CIN,L 10-27,,1,2,50.00,12,0,1,29.2,0,0,6.00,-16.50,0,0,,0,0,0
20,2017,2017-09-24,3,29.111,BAL,@,JAX,L 7-44,,6,9,66.67,36,1,0,111.3,0,0,4.00,6.22,0,0,,0,0,0
21,2017,2017-10-26,8,29.143,BAL,,MIA,W 40-0,,3,7,42.86,20,1,0,89.9,0,0,2.86,5.71,4,-3,-0.75,0,0,0
