ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2017,2017-09-10,1,23.007,CLE,,PIT,L 18-21,,3,7,2.33,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0
2,2017,2017-09-17,2,23.014,CLE,@,BAL,L 10-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
3,2017,2017-09-24,3,23.021,CLE,@,IND,L 28-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
4,2017,2017-10-01,4,23.028,CLE,,CIN,L 7-31,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0
5,2017,2017-10-08,5,23.035,CLE,,NYJ,L 14-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
6,2017,2017-10-15,6,23.042,CLE,@,HOU,L 17-33,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
7,2017,2017-10-22,7,23.049,CLE,,TEN,L 9-12,,0,0,,0,0,0,0,,0,0.0%,,1,30,30.00,0
8,2017,2017-10-29,8,23.056,CLE,,MIN,L 16-33,,0,0,,0,1,1,15,15.00,0,100.0%,15.00,3,105,35.00,0
9,2017,2017-11-12,9,23.070,CLE,@,DET,L 24-38,,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0
10,2017,2017-11-19,10,23.077,CLE,,JAX,L 7-19,,0,0,,0,2,1,5,5.00,0,50.0%,2.50,2,62,31.00,0
11,2017,2017-11-26,11,23.084,CLE,@,CIN,L 16-30,,0,0,,0,0,0,0,,0,0.0%,,5,103,20.60,0
12,2017,2017-12-03,12,23.091,CLE,@,LAC,L 10-19,,0,0,,0,0,0,0,,0,0.0%,,2,51,25.50,0
13,2017,2017-12-10,13,23.098,CLE,,GNB,L 21-27,,0,0,,0,0,0,0,,0,0.0%,,2,24,12.00,0
14,2017,2017-12-17,14,23.105,CLE,,BAL,L 10-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
15,2017,2017-12-24,15,23.112,CLE,@,CHI,L 3-20,,1,4,4.00,0,0,0,0,,0,0.0%,,1,18,18.00,0
16,2017,2017-12-31,16,23.119,CLE,@,PIT,L 24-28,,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0
