ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,22.017,HOU,,WAS,W 17-6,*,,,,,,,,,,0.0%,,,,,,,,
2,2014,2014-09-14,2,22.024,HOU,@,OAK,W 30-14,,,,,,,,,,,0.0%,,,,,,,,
3,2014,2014-09-21,3,22.031,HOU,@,NYG,L 17-30,*,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
4,2014,2014-09-28,4,22.038,HOU,,BUF,W 23-17,*,0,0,,0,2,1,24,24.00,0,50.0%,12.00,0,0,,0,0.0,0,0
5,2014,2014-10-05,5,22.045,HOU,@,DAL,L 17-20,,,,,,,,,,,0.0%,,,,,,,,
6,2014,2014-10-09,6,22.049,HOU,,IND,L 28-33,,,,,,,,,,,0.0%,,,,,,,,
7,2014,2014-10-20,7,22.060,HOU,@,PIT,L 23-30,,,,,,,,,,,0.0%,,,,,,,,
8,2014,2014-10-26,8,22.066,HOU,@,TEN,W 30-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
9,2014,2014-11-02,9,22.073,HOU,,PHI,L 21-31,,,,,,0,,,,,0.0%,,,,,,,,
10,2014,2014-11-16,10,22.087,HOU,@,CLE,W 23-7,,,,,,,,,,,0.0%,,,,,,,,
11,2014,2014-11-23,11,22.094,HOU,,CIN,L 13-22,,,,,,,,,,,0.0%,,,,,,,,
12,2014,2014-11-30,12,22.101,HOU,,TEN,W 45-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0.0,0,1
13,2014,2014-12-07,13,22.108,HOU,@,JAX,W 27-13,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0
14,2014,2014-12-14,14,22.115,HOU,@,IND,L 10-17,,,,,,,,,,,0.0%,,,,,,,,
15,2014,2014-12-21,15,22.122,HOU,,BAL,W 25-13,*,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
