ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1992,1992-09-07,1,22.115,WAS,@,DAL,L 10-23,,,0,0,,0,0.0%,,0,0,,0,3,73,24.33,0,0,0,,0,0,0
2,1992,1992-09-13,2,22.121,WAS,,ATL,W 24-17,,,0,0,,0,0.0%,,0,0,,0,2,49,24.50,0,0,55,,0,0,0
3,1992,1992-09-20,3,22.128,WAS,,DET,W 13-10,,,0,0,,0,0.0%,,0,0,,0,2,38,19.00,0,1,2,2.00,0,0,0
4,1992,1992-10-04,4,22.142,WAS,@,PHO,L 24-27,,,0,0,,0,0.0%,,0,0,,0,1,28,28.00,0,0,0,,0,0,0
5,1992,1992-10-12,5,22.150,WAS,,DEN,W 34-3,,,0,0,,0,0.0%,,0,0,,0,1,14,14.00,0,1,10,10.00,0,0,0
6,1992,1992-10-18,6,22.156,WAS,,PHI,W 16-12,,,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,0,0,,0,0,0
7,1992,1992-10-25,7,22.163,WAS,@,MIN,W 15-13,,,0,0,,0,0.0%,,0,0,,0,1,15,15.00,0,1,18,18.00,0,0,0
8,1992,1992-11-01,8,22.170,WAS,,NYG,L 7-24,,,0,0,,0,0.0%,,0,0,,0,2,41,20.50,0,0,0,,0,0,0
9,1992,1992-11-08,9,22.177,WAS,@,SEA,W 16-3,,,0,0,,0,0.0%,,0,0,,0,1,29,29.00,0,1,2,2.00,0,0,0
10,1992,1992-11-15,10,22.184,WAS,@,KAN,L 16-35,,,0,0,,0,0.0%,,0,0,,0,1,42,42.00,0,1,0,0.00,0,0,0
11,1992,1992-11-23,11,22.192,WAS,@,NOR,L 3-20,,1,1,8,8.00,0,100.0%,8.00,1,7,7.00,0,1,20,20.00,0,0,0,,0,0,0
12,1992,1992-11-29,12,22.198,WAS,,PHO,W 41-3,,1,1,5,5.00,0,100.0%,5.00,1,2,2.00,0,2,40,20.00,0,0,0,,0,0,0
13,1992,1992-12-06,13,22.205,WAS,@,NYG,W 28-10,,,0,0,,0,0.0%,,1,5,5.00,0,1,11,11.00,0,1,-3,-3.00,0,0,0
14,1992,1992-12-13,14,22.212,WAS,,DAL,W 20-17,,,0,0,,0,0.0%,,0,0,,0,2,36,18.00,0,0,0,,0,0,0
15,1992,1992-12-20,15,22.219,WAS,@,PHI,L 13-17,,,0,0,,0,0.0%,,0,0,,0,1,8,8.00,0,0,0,,0,0,0
16,1992,1992-12-26,16,22.225,WAS,,RAI,L 20-21,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,0
17,1993,1993-09-06,1,23.114,WAS,,DAL,W 35-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,
18,1993,1993-09-12,2,23.120,WAS,,PHO,L 10-17,,,0,0,,0,0.0%,,0,0,,0,3,63,21.00,0,0,0,,0,0,0
19,1993,1993-09-19,3,23.127,WAS,@,PHI,L 31-34,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,1,12,12.00,0,1,0,0.00,0,0,0
20,1993,1993-10-04,4,23.142,WAS,@,MIA,L 10-17,,,0,0,,0,0.0%,,2,17,8.50,0,1,19,19.00,0,1,0,0.00,0,0,0
21,1993,1993-10-10,5,23.148,WAS,,NYG,L 7-41,,4,3,40,13.33,0,75.0%,10.00,0,0,,0,1,30,30.00,0,0,0,,0,0,0
22,1993,1993-10-17,6,23.155,WAS,@,PHO,L 6-36,,,0,0,,0,0.0%,,0,0,,0,2,30,15.00,0,2,25,12.50,0,0,0
23,1993,1993-11-01,7,23.170,WAS,@,BUF,L 10-24,,8,2,38,19.00,0,25.0%,4.75,0,0,,0,1,8,8.00,0,0,0,,0,0,0
24,1993,1993-11-07,8,23.176,WAS,,IND,W 30-24,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,0,0
25,1993,1993-11-14,9,23.183,WAS,@,NYG,L 6-20,,4,0,0,,0,0.0%,0.00,0,0,,0,1,17,17.00,0,0,0,,0,0,0
26,1993,1993-11-21,10,23.190,WAS,@,RAM,L 6-10,,7,2,25,12.50,0,28.6%,3.57,0,0,,0,0,0,,0,0,0,,0,0,0
27,1993,1993-11-28,11,23.197,WAS,,PHI,L 14-17,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,2,49,24.50,0,0,0,,0,0,0
28,1993,1993-12-05,12,23.204,WAS,@,TAM,W 23-17,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,1,17,17.00,0,0,0,,0,0,0
29,1993,1993-12-11,13,23.210,WAS,,NYJ,L 0-3,,2,1,14,14.00,0,50.0%,7.00,0,0,,0,2,47,23.50,0,0,0,,0,0,0
30,1993,1993-12-19,14,23.218,WAS,,ATL,W 30-17,,5,3,44,14.67,0,60.0%,8.80,0,0,,0,2,47,23.50,0,0,0,,0,0,0
31,1993,1993-12-26,15,23.225,WAS,@,DAL,L 3-38,,6,2,19,9.50,0,33.3%,3.17,0,0,,0,3,43,14.33,0,0,0,,0,0,0
32,1993,1993-12-31,16,23.230,WAS,,MIN,L 9-14,,8,6,68,11.33,0,75.0%,8.50,0,0,,0,1,23,23.00,0,0,0,,0,0,0
33,1994,1994-09-04,1,24.112,WAS,,SEA,L 7-28,,5,1,27,27.00,1,20.0%,5.40,0,0,,0,0,0,,0,0,0,,0,1,6
34,1994,1994-09-11,2,24.119,WAS,@,NOR,W 38-24,,4,2,37,18.50,1,50.0%,9.25,0,0,,0,0,0,,0,0,0,,0,1,6
35,1994,1994-09-18,3,24.126,WAS,@,NYG,L 23-31,,9,4,56,14.00,0,44.4%,6.22,0,0,,0,0,0,,0,0,0,,0,0,0
36,1994,1994-09-25,4,24.133,WAS,,ATL,L 20-27,,4,1,25,25.00,0,25.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,0
37,1994,1994-10-02,5,24.140,WAS,,DAL,L 7-34,,2,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,0,
38,1994,1994-10-09,6,24.147,WAS,@,PHI,L 17-21,,4,2,46,23.00,0,50.0%,11.50,0,0,,0,0,0,,0,0,0,,0,0,0
39,1994,1994-10-16,7,24.154,WAS,,ARI,L 16-19,,4,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,0,
40,1994,1994-10-23,8,24.161,WAS,@,IND,W 41-27,,6,2,12,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,0,0
41,1994,1994-10-30,9,24.168,WAS,,PHI,L 29-31,,8,3,34,11.33,1,37.5%,4.25,0,0,,0,0,0,,0,0,0,,0,1,6
42,1994,1994-11-06,10,24.175,WAS,,SFO,L 22-37,,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0
43,1994,1994-11-20,11,24.189,WAS,@,DAL,L 7-31,,17,7,107,15.29,1,41.2%,6.29,0,0,,0,0,0,,0,0,0,,0,1,6
44,1994,1994-11-27,12,24.196,WAS,,NYG,L 19-21,,6,3,59,19.67,0,50.0%,9.83,0,0,,0,0,0,,0,0,0,,0,0,0
45,1994,1994-12-04,13,24.203,WAS,@,TAM,L 21-26,,9,5,130,26.00,1,55.6%,14.44,0,0,,0,0,0,,0,0,0,,0,1,6
46,1994,1994-12-11,14,24.210,WAS,@,ARI,L 15-17,,8,4,83,20.75,0,50.0%,10.38,0,0,,0,0,0,,0,0,0,,0,0,0
47,1994,1994-12-18,15,24.217,WAS,,TAM,L 14-17,,10,4,60,15.00,0,40.0%,6.00,1,4,4.00,0,0,0,,0,0,0,,0,0,0
48,1994,1994-12-24,16,24.223,WAS,@,RAM,W 24-21,,4,1,39,39.00,0,25.0%,9.75,0,0,,0,0,0,,0,0,0,,0,0,0
49,1995,1995-09-03,1,25.111,JAX,,HOU,L 3-10,,9,3,33,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,2,16,8.00,0,0,0
50,1995,1995-09-10,2,25.118,JAX,@,CIN,L 17-24,,8,4,50,12.50,0,50.0%,6.25,1,8,8.00,0,0,0,,0,2,8,4.00,0,0,0
51,1995,1995-09-17,3,25.125,JAX,@,NYJ,L 10-27,,7,2,24,12.00,0,28.6%,3.43,0,0,,0,0,0,,0,2,24,12.00,0,0,0
52,1995,1995-09-24,4,25.132,JAX,,GNB,L 14-24,,5,2,24,12.00,0,40.0%,4.80,0,0,,0,0,0,,0,4,82,20.50,0,0,0
53,1995,1995-10-01,5,25.139,JAX,@,HOU,W 17-16,,7,3,32,10.67,1,42.9%,4.57,0,0,,0,0,0,,0,3,29,9.67,0,1,6
54,1995,1995-10-08,6,25.146,JAX,,PIT,W 20-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,20,10.00,0,0,0
55,1995,1995-11-12,10,25.181,JAX,,SEA,L 30-47,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,3,19,6.33,0,0,0
56,1995,1995-11-19,11,25.188,JAX,@,TAM,L 16-17,,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,2,21,10.50,0,0,0
57,1995,1995-11-26,12,25.195,JAX,,CIN,L 13-17,,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,3,25,8.33,0,0,0
58,1995,1995-12-03,13,25.202,JAX,@,DEN,L 23-31,,3,3,35,11.67,0,100.0%,11.67,0,0,,0,5,92,18.40,0,1,2,2.00,0,0,0
59,1995,1995-12-10,14,25.209,JAX,,IND,L 31-41,,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,0,0,,0,0,0
60,1995,1995-12-17,15,25.216,JAX,@,DET,L 0-44,,7,4,26,6.50,0,57.1%,3.71,0,0,,0,0,0,,0,0,0,,0,0,0
61,1995,1995-12-24,16,25.223,JAX,,CLE,W 24-21,,2,1,24,24.00,0,50.0%,12.00,0,0,,0,4,68,17.00,0,0,0,,0,0,0
62,1996,1996-09-01,1,26.109,GNB,@,TAM,W 34-3,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,3,42,14.00,0,0,0
63,1996,1996-09-09,2,26.117,GNB,,PHI,W 39-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,25,5.00,0,0,0
64,1996,1996-09-15,3,26.123,GNB,,SDG,W 42-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,7,118,16.86,1,1,6
65,1996,1996-09-22,4,26.130,GNB,@,MIN,L 21-30,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,5,71,14.20,0,0,0
66,1996,1996-09-29,5,26.137,GNB,@,SEA,W 31-10,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,4,68,17.00,0,0,0
67,1996,1996-10-06,6,26.144,GNB,@,CHI,W 37-6,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,2,20,10.00,0,0,0
68,1996,1996-10-14,7,26.152,GNB,,SFO,W 23-20,,5,4,30,7.50,0,80.0%,6.00,0,0,,0,0,0,,0,6,28,4.67,0,0,0
69,1996,1996-10-27,8,26.165,GNB,,TAM,W 13-7,,8,5,30,6.00,0,62.5%,3.75,0,0,,0,2,38,19.00,0,2,24,12.00,0,0,0
70,1996,1996-11-03,9,26.172,GNB,,DET,W 28-18,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,1,27,27.00,0,3,43,14.33,0,0,0
71,1996,1996-11-10,10,26.179,GNB,@,KAN,L 20-27,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,5,100,20.00,0,3,19,6.33,0,0,0
72,1996,1996-11-18,11,26.187,GNB,@,DAL,L 6-21,,2,0,0,,0,0.0%,0.00,0,0,,0,6,120,20.00,0,3,14,4.67,0,0,0
73,1996,1996-11-24,12,26.193,GNB,@,STL,W 24-9,,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,3,53,17.67,0,0,0
74,1996,1996-12-01,13,26.200,GNB,,CHI,W 28-17,,0,0,0,,0,0.0%,,0,0,,0,3,73,24.33,0,1,75,75.00,1,1,6
75,1996,1996-12-08,14,26.207,GNB,,DEN,W 41-6,,0,0,0,,0,0.0%,,0,0,,0,3,45,15.00,0,2,24,12.00,0,0,0
76,1996,1996-12-15,15,26.214,GNB,@,DET,W 31-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,167,33.40,1,1,6
77,1996,1996-12-22,16,26.221,GNB,,MIN,W 38-10,,0,0,0,,0,0.0%,,0,0,,0,1,40,40.00,0,4,84,21.00,0,0,0
78,1997,1997-08-31,1,27.108,OAK,@,TEN,L 21-24,,0,0,0,,0,0.0%,,0,0,,0,2,79,39.50,0,2,7,3.50,0,0,0
79,1997,1997-09-08,2,27.116,OAK,,KAN,L 27-28,,0,0,0,,0,0.0%,,0,0,,0,5,114,22.80,0,2,23,11.50,0,0,0
80,1997,1997-09-14,3,27.122,OAK,@,ATL,W 36-31,,0,0,0,,0,0.0%,,0,0,,0,2,57,28.50,0,2,0,0.00,0,0,0
81,1997,1997-09-21,4,27.129,OAK,@,NYJ,L 22-23,,0,0,0,,0,0.0%,,0,0,,0,5,100,20.00,0,2,26,13.00,0,0,0
82,1997,1997-09-28,5,27.136,OAK,,STL,W 35-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,27,9.00,0,0,0
83,1997,1997-10-05,6,27.143,OAK,,SDG,L 10-25,,0,0,0,,0,0.0%,,0,0,,0,7,157,22.43,0,0,0,,0,0,0
