ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1995,1995-09-03,1,22.020,PHI,,TAM,L 6-21,,,,,,,
2,1995,1995-09-10,2,22.027,PHI,@,ARI,W 31-19,,,,,,,
3,1995,1995-09-17,3,22.034,PHI,,SDG,L 21-27,,,,,,,
4,1995,1995-09-24,4,22.041,PHI,@,OAK,L 17-48,,,,,,,
5,1995,1995-10-01,5,22.048,PHI,@,NOR,W 15-10,,0,0,2.0,0,0,0
6,1995,1995-10-08,6,22.055,PHI,,WAS,W 37-34,,,,,,,
7,1995,1995-10-15,7,22.062,PHI,@,NYG,W 17-14,,0,0,0.5,0,0,0
8,1995,1995-10-29,8,22.076,PHI,,STL,W 20-9,,,,,,,
9,1995,1995-11-06,9,22.084,PHI,@,DAL,L 12-34,,,,,,,
10,1995,1995-11-12,10,22.090,PHI,,DEN,W 31-13,,,,,,,
11,1995,1995-11-19,11,22.097,PHI,,NYG,W 28-19,,0,0,3.0,0,0,0
12,1995,1995-12-10,14,22.118,PHI,,DAL,W 20-17,,,,,,,
13,1995,1995-12-17,15,22.125,PHI,,ARI,W 21-20,,,,,,,
14,1995,1995-12-24,16,22.132,PHI,@,CHI,L 14-20,,,,,,,
15,1996,1996-09-01,1,23.018,PHI,@,WAS,W 17-14,,0,0,2.0,0,0,0
16,1996,1996-09-09,2,23.026,PHI,@,GNB,L 13-39,,,,,,,
17,1996,1996-09-15,3,23.032,PHI,,DET,W 24-17,,,,,,,
18,1996,1996-09-22,4,23.039,PHI,@,ATL,W 33-18,,0,0,0.5,0,0,0
19,1996,1996-09-30,5,23.047,PHI,,DAL,L 19-23,,,,,,,
20,1996,1996-10-13,6,23.060,PHI,@,NYG,W 19-10,,0,0,2.5,0,0,0
21,1996,1996-10-20,7,23.067,PHI,,MIA,W 35-28,,0,0,1.0,0,0,0
22,1996,1996-10-27,8,23.074,PHI,,CAR,W 20-9,,,,,,,
23,1996,1996-11-03,9,23.081,PHI,@,DAL,W 31-21,,,,,,,
24,1996,1996-11-10,10,23.088,PHI,,BUF,L 17-24,,,,,,,
25,1996,1996-11-17,11,23.095,PHI,,WAS,L 21-26,,,,,,,
26,1996,1996-11-24,12,23.102,PHI,@,ARI,L 30-36,,,,,,,
27,1996,1996-12-01,13,23.109,PHI,,NYG,W 24-0,,,,,,,
28,1996,1996-12-05,14,23.113,PHI,@,IND,L 10-37,,,,,,,
29,1996,1996-12-14,15,23.122,PHI,@,NYJ,W 21-20,,0,0,1.0,0,0,0
