ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2011,2011-09-11,1,22.333,CHI,,ATL,W 30-12,,1,1,6,6.00,0,100.0%,6.00,1,-4,-4.00,0,0,0,0.0,0,0,0,0,0
2,2011,2011-09-18,2,22.340,CHI,@,NOR,L 13-30,,7,3,33,11.00,1,42.9%,4.71,0,0,,0,1,6,0.0,0,0,0,0,0
3,2011,2011-09-25,3,22.347,CHI,,GNB,L 17-27,*,7,5,27,5.40,1,71.4%,3.86,0,0,,0,1,6,0.0,0,0,0,0,0
4,2011,2011-10-02,4,22.354,CHI,,CAR,W 34-29,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0
5,2011,2011-10-10,5,22.362,CHI,@,DET,L 13-24,,10,6,64,10.67,0,60.0%,6.40,0,0,,0,0,0,0.0,0,0,0,0,0
6,2011,2011-10-16,6,23.003,CHI,,MIN,W 39-10,,3,1,13,13.00,1,33.3%,4.33,0,0,,0,1,6,0.0,0,0,0,0,0
7,2011,2011-10-23,7,23.010,CHI,@,TAM,W 24-18,,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,0.0,0,0,0,0,0
8,2011,2011-11-07,8,23.025,CHI,@,PHI,W 30-24,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0
9,2011,2011-11-13,9,23.031,CHI,,DET,W 37-13,,,,,,,0.0%,,,,,,,,,,,,,
10,2011,2011-11-20,10,23.038,CHI,,SDG,W 31-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0
11,2011,2011-11-27,11,23.045,CHI,@,OAK,L 20-25,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
12,2011,2011-12-04,12,23.052,CHI,,KAN,L 3-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0
13,2011,2011-12-11,13,23.059,CHI,@,DEN,L 10-13,,,,,,,0.0%,,,,,,,,,,,,,
14,2011,2011-12-18,14,23.066,CHI,,SEA,L 14-38,,6,2,26,13.00,0,33.3%,4.33,0,0,,0,0,0,0.0,1,0,0,0,0
15,2011,2011-12-25,15,23.073,CHI,@,GNB,L 21-35,,7,4,51,12.75,0,57.1%,7.29,0,0,,0,0,0,0.0,0,0,0,0,0
16,2011,2012-01-01,16,23.080,CHI,@,MIN,W 17-13,,4,2,27,13.50,0,50.0%,6.75,0,0,,0,0,0,0.0,0,0,0,0,0
17,2012,2012-10-01,4,23.354,CHI,@,DAL,W 34-18,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0
18,2012,2012-10-07,5,23.360,CHI,@,JAX,W 41-3,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,0.0,0,0,0,0,0
19,2012,2012-10-22,6,24.009,CHI,,DET,W 13-7,,,,,,,0.0%,,,,,,,,,,,,,
