ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-17,1,22.279,PIT,,NYG,L 7-18,8,48,6.00,0,0,0,,0,0,0,,0,0,,,,,,
2,1950,1950-09-24,2,22.286,PIT,@,DET,L 7-10,3,4,1.33,0,5,22,4.40,0,0,0,,0,0,,,,,,
3,1950,1950-10-01,3,22.293,PIT,@,WAS,W 26-7,8,27,3.38,1,0,0,,0,0,0,,0,0,,,,,,
4,1950,1950-10-07,4,22.299,PIT,,CLE,L 17-30,3,7,2.33,0,4,42,10.50,0,0,0,,0,0,0,,0,0,,
5,1950,1950-10-15,5,22.307,PIT,@,NYG,W 17-6,4,24,6.00,0,0,0,,0,0,0,,0,0,,,,,,
6,1950,1950-10-22,6,22.314,PIT,,PHI,L 10-17,2,15,7.50,0,1,64,64.00,1,0,0,,0,0,,,,,,
7,1950,1950-10-29,7,22.321,PIT,@,CLE,L 7-45,6,55,9.17,0,2,9,4.50,0,0,0,,0,0,,,,,,
8,1950,1950-11-05,8,22.328,PIT,@,PHI,W 9-7,15,59,3.93,0,0,0,,0,0,0,,0,0,,,,,,
9,1950,1950-11-12,9,22.335,PIT,,BAL,W 17-7,12,40,3.33,1,0,0,,0,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00
10,1950,1950-11-23,10,22.346,PIT,@,CRD,W 28-17,19,68,3.58,0,0,0,,0,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00
11,1950,1950-12-03,11,22.356,PIT,,WAS,L 7-24,7,20,2.86,0,0,0,,0,1,2,50.00,10,0,0,64.6,0,0,5.00,5.00
12,1950,1950-12-10,12,22.363,PIT,,CRD,W 28-7,5,51,10.20,1,0,0,,0,0,0,,0,0,,,,,,
13,1951,1951-10-01,1,23.293,PIT,,NYG,T 13-13,18,50,2.78,0,0,0,,0,0,0,,0,0,,,,,,
14,1951,1951-10-07,2,23.299,PIT,@,GNB,L 33-35,16,59,3.69,1,1,9,9.00,0,0,0,,0,0,,,,,,
15,1951,1951-10-14,3,23.306,PIT,,SFO,L 24-28,10,26,2.60,0,0,0,,0,0,0,,0,0,,,,,,
16,1951,1951-10-21,4,23.313,PIT,@,CLE,L 0-17,6,23,3.83,0,1,11,11.00,0,0,0,,0,0,,,,,,
17,1951,1951-10-28,5,23.320,PIT,@,CRD,W 28-14,4,6,1.50,0,0,0,,0,0,0,,0,0,,,,,,
18,1951,1951-11-04,6,23.327,PIT,,PHI,L 13-34,4,6,1.50,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
19,1951,1951-11-11,7,23.334,PIT,,GNB,W 28-7,7,20,2.86,0,1,2,2.00,0,0,0,,0,0,,,,,,
20,1951,1951-11-18,8,23.341,PIT,,WAS,L 7-22,5,6,1.20,0,0,0,,0,0,0,,0,0,,,,,,
21,1951,1951-11-25,9,23.348,PIT,@,PHI,W 17-13,14,76,5.43,1,0,0,,0,0,0,,0,0,,,,,,
22,1951,1951-12-02,10,23.355,PIT,@,NYG,L 0-14,9,31,3.44,0,0,0,,0,0,0,,0,0,,,,,,
23,1951,1951-12-09,11,23.362,PIT,,CLE,L 0-28,9,24,2.67,0,0,0,,0,0,0,,0,0,,,,,,
24,1951,1951-12-16,12,24.004,PIT,@,WAS,W 20-10,7,58,8.29,1,2,31,15.50,0,0,0,,0,0,,,,,,
25,1952,1952-09-28,1,24.291,PIT,,PHI,L 25-31,6,16,2.67,0,1,16,16.00,0,0,0,,0,0,,,,,,
26,1952,1952-10-04,2,24.297,PIT,,CLE,L 20-21,11,46,4.18,0,1,7,7.00,0,0,0,,0,0,,,,,,
27,1952,1952-10-12,3,24.305,PIT,@,PHI,L 21-26,16,51,3.19,0,0,0,,0,0,0,,0,0,,,,,,
28,1952,1952-10-26,5,24.319,PIT,@,CRD,W 34-28,6,10,1.67,0,0,0,,0,0,0,,0,0,,,,,,
29,1952,1952-11-02,6,24.326,PIT,@,WAS,W 24-23,8,26,3.25,1,0,0,,0,0,0,,0,0,,,,,,
30,1952,1952-11-09,7,24.333,PIT,,DET,L 6-31,4,12,3.00,1,0,0,,0,0,0,,0,0,,,,,,
31,1952,1952-11-16,8,24.340,PIT,@,CLE,L 28-29,6,4,0.67,0,0,0,,0,0,0,,0,0,,,,,,
32,1952,1952-11-23,9,24.347,PIT,,CRD,W 17-14,1,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,
33,1952,1952-11-30,10,24.354,PIT,,NYG,W 63-7,5,16,3.20,0,0,0,,0,0,0,,0,0,,,,,,
34,1952,1952-12-07,11,24.361,PIT,@,SFO,W 24-7,13,30,2.31,1,0,0,,0,0,0,,0,0,,,,,,
35,1952,1952-12-14,12,25.002,PIT,@,RAM,L 14-28,8,19,2.38,0,4,13,3.25,0,0,0,,0,0,,,,,,
36,1953,1953-09-27,1,25.289,PIT,@,DET,L 21-38,16,62,3.88,0,3,8,2.67,0,0,0,,0,0,,,,,,
37,1953,1953-10-03,2,25.295,PIT,,NYG,W 24-14,20,55,2.75,0,1,6,6.00,0,0,0,,0,0,,,,,,
38,1953,1953-10-11,3,25.303,PIT,,CRD,W 31-28,17,53,3.12,2,0,0,,0,0,0,,0,0,,,,,,
39,1953,1953-10-17,4,25.309,PIT,@,PHI,L 7-23,13,33,2.54,0,0,0,,0,0,0,,0,0,,,,,,
40,1953,1953-10-24,5,25.316,PIT,,GNB,W 31-14,19,168,8.84,0,0,0,,0,0,0,,0,0,,,,,,
41,1953,1953-11-01,6,25.324,PIT,,PHI,L 7-35,8,5,0.63,0,1,19,19.00,0,0,0,,0,0,,,,,,
42,1953,1953-11-08,7,25.331,PIT,@,CLE,L 16-34,16,48,3.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
43,1953,1953-11-15,8,25.338,PIT,@,NYG,W 14-10,8,25,3.13,0,1,-1,-1.00,0,0,0,,0,0,,,,,,
44,1953,1953-11-22,9,25.345,PIT,,CLE,L 16-20,14,73,5.21,0,0,0,,0,0,0,,0,0,,,,,,
45,1953,1953-11-29,10,25.352,PIT,,WAS,L 9-17,6,5,0.83,0,0,0,,0,0,0,,0,0,,,,,,
46,1954,1954-09-26,1,26.288,PIT,@,GNB,W 21-20,14,70,5.00,0,3,3,1.00,0,0,0,,0,0,,,,,,
47,1954,1954-10-02,2,26.294,PIT,,WAS,W 37-7,6,13,2.17,1,0,0,,0,0,0,,0,0,,,,,,
48,1954,1954-10-09,3,26.301,PIT,@,PHI,L 22-24,13,33,2.54,0,1,11,11.00,0,0,0,,0,0,,,,,,
49,1954,1954-10-17,4,26.309,PIT,,CLE,W 55-27,12,45,3.75,0,1,13,13.00,1,0,0,,0,0,,,,,,
50,1954,1954-10-23,5,26.315,PIT,,PHI,W 17-7,11,38,3.45,0,1,0,0.00,0,0,0,,0,0,,,,,,
51,1954,1954-10-31,6,26.323,PIT,@,CRD,L 14-17,1,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,
52,1954,1954-11-07,7,26.330,PIT,,NYG,L 6-30,4,12,3.00,0,2,-4,-2.00,0,0,0,,0,0,,,,,,
53,1954,1954-11-14,8,26.337,PIT,@,WAS,L 14-17,5,14,2.80,0,4,30,7.50,0,0,0,,0,0,,,,,,
54,1954,1954-11-20,9,26.343,PIT,,SFO,L 3-31,6,31,5.17,0,2,-1,-0.50,0,0,0,,0,0,,,,,,
55,1954,1954-11-28,10,26.351,PIT,,CRD,W 20-17,22,102,4.64,0,2,-9,-4.50,0,0,0,,0,0,,,,,,
56,1954,1954-12-05,11,26.358,PIT,@,NYG,L 3-24,11,42,3.82,0,1,2,2.00,0,0,0,,0,0,,,,,,
57,1954,1954-12-12,12,27.000,PIT,@,CLE,L 7-42,6,15,2.50,0,1,6,6.00,0,0,0,,0,0,,,,,,
58,1955,1955-09-26,1,27.288,PIT,,CRD,W 14-7,18,50,2.78,0,0,0,,0,0,0,,0,0,,,,,,
59,1955,1955-10-02,2,27.294,PIT,@,RAM,L 26-27,15,73,4.87,0,1,4,4.00,0,0,0,,0,0,,,,,,
60,1955,1955-10-09,3,27.301,PIT,,NYG,W 30-23,16,69,4.31,1,1,16,16.00,0,0,0,,0,0,,,,,,
61,1955,1955-10-15,4,27.307,PIT,,PHI,W 13-7,24,90,3.75,0,1,10,10.00,0,0,0,,0,0,,,,,,
62,1955,1955-10-23,5,27.315,PIT,@,NYG,W 19-17,17,80,4.71,0,4,50,12.50,0,0,0,,0,0,,,,,,
63,1955,1955-10-30,6,27.322,PIT,@,PHI,L 0-24,13,23,1.77,0,4,7,1.75,0,0,0,,0,0,,,,,,
64,1955,1955-11-05,7,27.328,PIT,@,CRD,L 13-27,14,58,4.14,0,4,27,6.75,0,0,0,,0,0,,,,,,
65,1955,1955-11-13,8,27.336,PIT,,DET,L 28-31,9,34,3.78,0,4,67,16.75,0,0,0,,0,0,,,,,,
66,1955,1955-11-20,9,27.343,PIT,@,CLE,L 14-41,9,16,1.78,0,0,0,,0,0,0,,0,0,,,,,,
67,1955,1955-11-27,10,27.350,PIT,,WAS,L 14-23,14,48,3.43,0,1,7,7.00,0,0,0,,0,0,,,,,,
68,1955,1955-12-04,11,27.357,PIT,,CLE,L 7-30,6,17,2.83,0,0,0,,0,0,0,,0,0,,,,,,
69,1955,1955-12-11,12,27.364,PIT,@,WAS,L 17-28,13,30,2.31,1,4,34,8.50,0,0,0,,0,0,,,,,,
70,1956,1956-09-30,1,28.293,PIT,,WAS,W 30-13,12,48,4.00,0,2,22,11.00,0,0,0,,0,0,,,,,,
71,1956,1956-10-06,2,28.299,PIT,,CLE,L 10-14,9,12,1.33,0,1,7,7.00,0,0,0,,0,0,,,,,,
72,1956,1956-10-14,3,28.307,PIT,,PHI,L 21-35,5,7,1.40,0,4,9,2.25,0,0,0,,0,0,,,,,,
