ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1995,1995-09-03,1,22.242,CHI,,MIN,W 31-14,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,192,38.40,0
2,1995,1995-09-11,2,22.250,CHI,,GNB,L 24-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,103,34.33,0
3,1995,1995-09-17,3,22.256,CHI,@,TAM,W 25-6,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,218,43.60,0
4,1995,1995-09-24,4,22.263,CHI,@,STL,L 28-34,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,106,35.33,0
5,1995,1995-10-08,5,22.277,CHI,,CAR,W 31-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,7,277,39.57,0
6,1995,1995-10-15,6,22.284,CHI,@,JAX,W 30-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,1,29,29.00,0
7,1995,1995-10-22,7,22.291,CHI,,HOU,W 35-32,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,79,39.50,0
8,1995,1995-10-30,8,22.299,CHI,@,MIN,W 14-6,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,149,37.25,0
9,1995,1995-11-05,9,22.305,CHI,,PIT,L 34-37,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,107,35.67,0
10,1995,1995-11-12,10,22.312,CHI,@,GNB,L 28-35,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,167,41.75,0
11,1995,1995-11-26,12,22.326,CHI,@,NYG,W 27-24,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,126,42.00,0
12,1995,1995-12-04,13,22.334,CHI,@,DET,L 7-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,191,38.20,0
13,1995,1995-12-10,14,22.340,CHI,@,CIN,L 10-16,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,183,30.50,0
14,1995,1995-12-17,15,22.347,CHI,,TAM,W 31-10,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,110,36.67,0
15,1995,1995-12-24,16,22.354,CHI,,PHI,W 20-14,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,1,43,43.00,0
16,1996,1996-09-02,1,23.242,CHI,,DAL,W 22-6,,0,0,,0,1,1,100.00,47,0,0,118.7,0,0,47.00,47.00,,,,,,,0,0,3,160,53.33,0
17,1996,1996-09-08,2,23.248,CHI,@,WAS,L 3-10,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,7,332,47.43,0
18,1996,1996-09-15,3,23.255,CHI,,MIN,L 14-20,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,7,358,51.14,0
19,1996,1996-09-22,4,23.262,CHI,@,DET,L 16-35,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,6,294,49.00,0
20,1996,1996-09-29,5,23.269,CHI,,OAK,W 19-17,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,7,279,39.86,0
21,1996,1996-10-06,6,23.276,CHI,,GNB,L 6-37,,0,0,,0,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,,,,,,,0,0,3,158,52.67,0
22,1996,1996-10-13,7,23.283,CHI,@,NOR,L 24-27,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,5,219,43.80,0
23,1996,1996-10-28,8,23.298,CHI,@,MIN,W 15-13,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,121,40.33,0
24,1996,1996-11-03,9,23.304,CHI,,TAM,W 13-10,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,7,295,42.14,0
25,1996,1996-11-10,10,23.311,CHI,@,DEN,L 12-17,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,147,49.00,0
26,1996,1996-11-17,11,23.318,CHI,@,KAN,L 10-14,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,7,348,49.71,0
27,1996,1996-11-24,12,23.325,CHI,,DET,W 31-14,,1,3,3.00,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,61,20.33,0
28,1996,1996-12-01,13,23.332,CHI,@,GNB,L 17-28,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,5,201,40.20,0
29,1996,1996-12-08,14,23.339,CHI,,STL,W 35-9,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,5,217,43.40,0
30,1996,1996-12-14,15,23.345,CHI,,SDG,W 27-14,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,172,43.00,0
31,1996,1996-12-22,16,23.353,CHI,@,TAM,L 19-34,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,129,43.00,0
32,1997,1997-09-01,1,24.240,CHI,@,GNB,L 24-38,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,289,48.17,0
