ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2016,2016-09-11,1,24.291,GNB,@,JAX,W 27-23,,0,0,,0,0.0,0,0
2,2016,2016-09-18,2,24.298,GNB,@,MIN,L 14-17,,0,0,,0,0.0,1,0
3,2016,2016-09-25,3,24.305,GNB,,DET,W 34-27,,0,0,,0,1.0,1,0
4,2016,2016-10-09,4,24.319,GNB,,NYG,W 23-16,,0,0,,0,1.0,2,1
5,2016,2016-10-16,5,24.326,GNB,,DAL,L 16-30,,0,0,,0,0.0,0,0
6,2016,2016-10-20,6,24.330,GNB,,CHI,W 26-10,,0,0,,0,0.0,0,0
7,2016,2016-10-30,7,24.340,GNB,@,ATL,L 32-33,,0,0,,0,0.0,0,0
8,2016,2016-11-06,8,24.347,GNB,,IND,L 26-31,,0,0,,0,0.0,3,0
9,2016,2016-11-13,9,24.354,GNB,@,TEN,L 25-47,,0,0,,0,0.0,1,0
10,2016,2016-11-20,10,24.361,GNB,@,WAS,L 24-42,,0,0,,0,0.0,0,0
11,2016,2016-12-18,14,25.023,GNB,@,CHI,W 30-27,,0,0,,0,0.0,0,0
12,2016,2016-12-24,15,25.029,GNB,,MIN,W 38-25,,0,0,,0,0.0,0,0
13,2016,2017-01-01,16,25.037,GNB,@,DET,W 31-24,,0,0,,0,0.0,0,0
14,2017,2017-09-10,1,25.289,GNB,,SEA,W 17-9,,0,0,,0,0.0,0,0
15,2017,2017-09-17,2,25.296,GNB,@,ATL,L 23-34,,0,0,,0,0.0,0,0
16,2017,2017-09-24,3,25.303,GNB,,CIN,W 27-24,,0,0,,0,0.0,0,1
17,2017,2017-09-28,4,25.307,GNB,,CHI,W 35-14,,0,0,,0,0.0,0,0
18,2017,2017-10-08,5,25.317,GNB,@,DAL,W 35-31,,0,0,,0,0.0,0,0
19,2017,2017-10-15,6,25.324,GNB,@,MIN,L 10-23,,0,0,,0,0.0,1,1
20,2017,2017-10-22,7,25.331,GNB,,NOR,L 17-26,,0,0,,0,0.0,1,1
21,2017,2017-11-06,8,25.346,GNB,,DET,L 17-30,,0,0,,0,0.0,0,2
22,2017,2017-11-12,9,25.352,GNB,@,CHI,W 23-16,,0,0,,0,0.0,1,0
23,2017,2017-11-19,10,25.359,GNB,,BAL,L 0-23,,0,0,,0,1.0,4,1
24,2017,2017-11-26,11,26.001,GNB,@,PIT,L 28-31,*,0,0,,0,0.0,2,0
25,2017,2017-12-03,12,26.008,GNB,,TAM,W 26-20,,0,0,,0,0.0,2,0
26,2017,2017-12-10,13,26.015,GNB,@,CLE,W 27-21,,0,0,,0,1.0,2,0
27,2017,2017-12-17,14,26.022,GNB,@,CAR,L 24-31,,0,0,,0,0.0,0,0
28,2017,2017-12-23,15,26.028,GNB,,MIN,L 0-16,*,1,11,11.00,0,1.0,3,0
29,2017,2017-12-31,16,26.036,GNB,@,DET,L 11-35,,0,0,,0,0.0,2,0
30,2018,2018-09-09,1,26.288,GNB,,CHI,W 24-23,,0,0,,0,0.0,0,0
31,2018,2018-09-16,2,26.295,GNB,,MIN,T 29-29,,0,0,,0,0.0,1,0
32,2018,2018-09-23,3,26.302,GNB,@,WAS,L 17-31,,0,0,,0,0.0,1,0
