ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,2003,2003-11-02,8,22.083,ATL,,PHI,L 16-23,,,,,,
2,2003,2003-11-23,11,22.104,ATL,,TEN,L 31-38,,,,,,
3,2003,2003-12-14,14,22.125,ATL,@,IND,L 7-38,,,,,,
4,2005,2005-09-18,2,24.038,DEN,,SDG,W 20-17,,0,0,,0,1.0
5,2005,2005-09-26,3,24.046,DEN,,KAN,W 30-10,,,,,,
6,2005,2005-10-02,4,24.052,DEN,@,JAX,W 20-7,,,,,,
7,2005,2005-10-09,5,24.059,DEN,,WAS,W 21-19,,,,,,
8,2005,2005-10-16,6,24.066,DEN,,NWE,W 28-20,,,,,,
9,2005,2005-10-23,7,24.073,DEN,@,NYG,L 23-24,,,,,,
10,2005,2005-10-30,8,24.080,DEN,,PHI,W 49-21,,,,,,
11,2005,2005-11-13,9,24.094,DEN,@,OAK,W 31-17,,,,,,
12,2005,2005-11-20,10,24.101,DEN,,NYJ,W 27-0,,,,,,
13,2005,2005-11-24,11,24.105,DEN,@,DAL,W 24-21,,,,,,
14,2005,2005-12-04,12,24.115,DEN,@,KAN,L 27-31,,1,6,6.00,0,0.0
15,2005,2005-12-11,13,24.122,DEN,,BAL,W 12-10,,,,,,
16,2005,2005-12-17,14,24.128,DEN,@,BUF,W 28-17,,,,,,
17,2005,2005-12-24,15,24.135,DEN,,OAK,W 22-3,,,,,,
18,2005,2005-12-31,16,24.142,DEN,@,SDG,W 23-7,,,,,,
19,2006,2006-09-10,1,25.030,DEN,@,STL,L 10-18,,,,,,
20,2006,2006-09-17,2,25.037,DEN,,KAN,W 9-6,,,,,,
21,2006,2006-09-24,3,25.044,DEN,@,NWE,W 17-7,,,,,,
22,2006,2006-10-09,4,25.059,DEN,,BAL,W 13-3,,,,,,
23,2006,2006-10-15,5,25.065,DEN,,OAK,W 13-3,,0,0,,0,1.0
24,2006,2006-10-22,6,25.072,DEN,@,CLE,W 17-7,,,,,,
25,2006,2006-10-29,7,25.079,DEN,,IND,L 31-34,*,,,,,
26,2006,2006-11-05,8,25.086,DEN,@,PIT,W 31-20,,0,0,,0,0.5
27,2006,2006-11-12,9,25.093,DEN,@,OAK,W 17-13,,,,,,
28,2006,2006-11-19,10,25.100,DEN,,SDG,L 27-35,,,,,,
29,2006,2006-11-23,11,25.104,DEN,@,KAN,L 10-19,,,,,,
30,2006,2006-12-03,12,25.114,DEN,,SEA,L 20-23,,,,,,
31,2006,2006-12-10,13,25.121,DEN,@,SDG,L 20-48,,,,,,
32,2006,2006-12-17,14,25.128,DEN,@,ARI,W 37-20,,,,,,
33,2006,2006-12-24,15,25.135,DEN,,CIN,W 24-23,,,,,,
34,2006,2006-12-31,16,25.142,DEN,,SFO,L 23-26,,,,,,
35,2007,2007-11-11,9,26.092,TEN,,JAX,L 13-28,,,,,,
36,2007,2007-11-19,10,26.100,TEN,@,DEN,L 20-34,,,,,,
37,2007,2007-11-25,11,26.106,TEN,@,CIN,L 6-35,,,,,,
