ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2014,2014-09-07,1,23.077,TAM,,CAR,L 14-20,,2,2,100.0,,,,0,2
2,2014,2014-09-14,2,23.084,TAM,,STL,L 17-19,,2,2,100.0,1,2,50.0,0,5
3,2014,2014-09-18,3,23.088,TAM,@,ATL,L 14-56,,2,2,100.0,,,,0,2
4,2014,2014-09-28,4,23.098,TAM,@,PIT,W 27-24,,3,3,100.0,2,2,100.0,0,9
5,2014,2014-10-05,5,23.105,TAM,@,NOR,L 31-37,,4,4,100.0,1,1,100.0,0,7
6,2014,2014-10-12,6,23.112,TAM,,BAL,L 17-48,,2,2,100.0,1,2,50.0,0,5
7,2014,2014-10-26,7,23.126,TAM,,MIN,L 13-19,,1,1,100.0,2,2,100.0,0,7
8,2014,2014-11-02,8,23.133,TAM,@,CLE,L 17-22,,2,2,100.0,1,3,33.3,0,5
9,2014,2014-11-09,9,23.140,TAM,,ATL,L 17-27,,2,2,100.0,1,1,100.0,0,5
10,2014,2014-11-16,10,23.147,TAM,@,WAS,W 27-7,,3,3,100.0,2,2,100.0,0,9
11,2014,2014-11-23,11,23.154,TAM,@,CHI,L 13-21,,1,1,100.0,2,2,100.0,0,7
12,2014,2014-11-30,12,23.161,TAM,,CIN,L 13-14,,1,1,100.0,2,2,100.0,0,7
13,2014,2014-12-07,13,23.168,TAM,@,DET,L 17-34,,2,2,100.0,1,1,100.0,0,5
14,2014,2014-12-14,14,23.175,TAM,@,CAR,L 17-19,,2,2,100.0,1,1,100.0,0,5
15,2014,2014-12-21,15,23.182,TAM,,GNB,L 3-20,,,,,1,1,100.0,0,3
16,2014,2014-12-28,16,23.189,TAM,,NOR,L 20-23,,2,2,100.0,2,2,100.0,0,8
17,2016,2016-09-11,1,25.081,CLE,@,PHI,L 10-29,,1,1,100.0,1,1,100.0,0,4
18,2016,2016-09-18,2,25.088,CLE,,BAL,L 20-25,,2,3,66.7,,1,0.0,0,2
19,2017,2017-10-15,5,26.115,TAM,@,ARI,L 33-38,,1,1,100.0,,,,0,1
20,2017,2017-10-22,6,26.122,TAM,@,BUF,L 27-30,,3,3,100.0,2,2,100.0,0,9
21,2017,2017-10-29,7,26.129,TAM,,CAR,L 3-17,,,,,1,1,100.0,0,3
22,2017,2017-11-05,8,26.136,TAM,@,NOR,L 10-30,,1,1,100.0,1,2,50.0,0,4
23,2017,2017-11-12,9,26.143,TAM,,NYJ,W 15-10,,,,,3,3,100.0,0,9
24,2017,2017-11-19,10,26.150,TAM,@,MIA,W 30-20,,3,3,100.0,3,4,75.0,0,12
25,2017,2017-11-26,11,26.157,TAM,@,ATL,L 20-34,,2,2,100.0,2,2,100.0,0,8
26,2017,2017-12-03,12,26.164,TAM,@,GNB,L 20-26,,2,2,100.0,2,2,100.0,0,8
27,2017,2017-12-10,13,26.171,TAM,,DET,L 21-24,,3,3,100.0,,,,0,3
28,2017,2017-12-18,14,26.179,TAM,,ATL,L 21-24,,3,3,100.0,,1,0.0,0,3
29,2017,2017-12-24,15,26.185,TAM,@,CAR,L 19-22,,1,1,100.0,4,5,80.0,0,13
30,2017,2017-12-31,16,26.192,TAM,,NOR,W 31-24,,2,3,66.7,1,1,100.0,0,5
