ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2015,2015-09-13,1,23.100,HOU,,KAN,L 20-27,,3,2,23,11.50,0,66.7%,7.67,0,0,,0,4,14,3.50,0
2,2015,2015-09-20,2,23.107,HOU,@,CAR,L 17-24,,2,0,0,,0,0.0%,0.00,0,0,,0,6,58,9.67,0
3,2015,2015-09-27,3,23.114,HOU,,TAM,W 19-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
4,2015,2015-10-04,4,23.121,HOU,@,ATL,L 21-48,,7,4,56,14.00,0,57.1%,8.00,3,70,23.33,0,0,0,,0
5,2015,2015-10-08,5,23.125,HOU,,IND,L 20-27,*,8,4,23,5.75,0,50.0%,2.88,0,0,,0,2,11,5.50,0
6,2015,2015-10-18,6,23.135,HOU,@,JAX,W 31-20,*,4,2,8,4.00,0,50.0%,2.00,1,14,14.00,0,2,25,12.50,0
7,2015,2015-10-25,7,23.142,HOU,@,MIA,L 26-44,,3,1,16,16.00,0,33.3%,5.33,3,88,29.33,0,2,21,10.50,0
8,2015,2015-11-01,8,23.149,HOU,,TEN,W 20-6,*,2,1,3,3.00,0,50.0%,1.50,1,29,29.00,0,3,28,9.33,0
9,2015,2015-11-16,9,23.164,HOU,@,CIN,W 10-6,,0,0,0,,0,0.0%,,3,64,21.33,0,1,10,10.00,0
10,2015,2015-11-22,10,23.170,HOU,,NYJ,W 24-17,,0,0,0,,0,0.0%,,0,0,,0,5,24,4.80,0
11,2015,2015-11-29,11,23.177,HOU,,NOR,W 24-6,,0,0,0,,0,0.0%,,2,52,26.00,0,4,31,7.75,0
12,2015,2015-12-06,12,23.184,HOU,@,BUF,L 21-30,,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,,0
13,2015,2015-12-13,13,23.191,HOU,,NWE,L 6-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
14,2015,2015-12-20,14,23.198,HOU,@,IND,W 16-10,,0,0,0,,0,0.0%,,0,0,,0,3,21,7.00,0
15,2015,2015-12-27,15,23.205,HOU,@,TEN,W 34-6,,0,0,0,,0,0.0%,,0,0,,0,4,37,9.25,0
16,2015,2016-01-03,16,23.212,HOU,,JAX,W 30-6,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
17,2016,2016-09-22,3,24.109,HOU,@,NWE,L 0-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
18,2016,2016-10-02,4,24.119,HOU,,TEN,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
19,2016,2016-10-16,6,24.133,HOU,,IND,W 26-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
20,2016,2016-11-13,9,24.161,HOU,@,JAX,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
21,2016,2016-11-21,10,24.169,HOU,@,OAK,L 20-27,,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0
22,2016,2016-11-27,11,24.175,HOU,,SDG,L 13-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
23,2016,2016-12-04,12,24.182,HOU,@,GNB,L 13-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
24,2016,2016-12-11,13,24.189,HOU,@,IND,W 22-17,*,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0
25,2016,2016-12-18,14,24.196,HOU,,JAX,W 21-20,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0
26,2016,2016-12-24,15,24.202,HOU,,CIN,W 12-10,*,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0
27,2016,2017-01-01,16,24.210,HOU,@,TEN,L 17-24,,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,0
